n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
1330,1330.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.8,0.7,45.0,-1768.6666945780628,54.19626560599414,3501.156578822863,1287.748301473404,10.0
1331,1331.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.8,1.0,1.0,55.0,-1024.5115395297482,86.29487042938065,2765.5424732233723,1917.5143084382416,6.0
1332,1332.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.8,0.8,0.7,55.0,-579.4267025034426,130.58794234320223,2508.7264877449184,3251.769754526935,6.0
1333,1333.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.7,0.7,0.9,50.0,-845.0548318019556,76.26200830265213,2197.8494276843994,1522.1796894427248,6.0
1334,1334.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,0.9,30.0,-1737.7249783320526,41.50495899604326,2824.7224204236268,981.2876435893429,10.0
1335,1335.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.8,1.0,1.0,35.0,-1837.4725162714394,52.38197966632623,3372.230887744918,925.1719150704149,6.0
1336,1336.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,1.0,0.8,0.8,20.0,-2024.0559524648681,41.50495899604326,3256.479313344408,804.4885642957032,8.0
1337,1337.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.7,0.9,0.9,35.0,-1426.7986452295768,41.50495899604326,2527.9054422059457,676.3356085626353,6.0
1338,1338.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,1.0,0.8,1.0,35.0,-1923.1394998547596,41.50495899604326,3501.156578822863,1005.6107053696289,10.0
1339,1339.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,1.0,0.9,0.9,25.0,-1678.8450350345329,77.9143539830844,3441.8941460836354,862.7331947238666,2.0
1340,1340.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.9,0.7,25.0,-1469.6960395502792,41.50495899604326,2637.1344804841456,627.6894850020634,6.0
1341,1341.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,20.0,-2361.2468716979283,41.50495899604326,3794.973600605181,652.0125467823494,6.0
1342,1342.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.9,0.7,0.8,35.0,-1421.769270928421,41.50495899604326,2489.54753328389,804.4885642957032,8.0
1343,1343.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,1.0,1.0,0.9,25.0,-2093.170742371867,41.50495899604326,3663.928993344408,523.8595910492817,4.0
1344,1344.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.8,0.8,0.8,25.0,-1539.706341207581,41.50495899604326,2472.1064732233726,956.9645818090569,10.0
1345,1345.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.7,0.8,35.0,-1259.000699196013,41.50495899604326,2179.539420423627,956.9645818090569,10.0
1346,1346.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.8,1.0,0.8,45.0,-928.9420494731493,127.66028995263277,2820.4724950056907,2507.8113611130116,4.0
1347,1347.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,1.0,0.7,1.0,25.0,-1892.0101389764275,41.50495899604326,3016.1344588228626,1005.6107053696289,10.0
1348,1348.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.7,0.8,1.0,60.0,-639.1082507773334,130.58794234320223,3081.9194276844005,2856.4812884154503,4.0
1349,1349.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.7,0.8,0.9,55.0,-539.8292499039666,130.58794234320223,3081.9194276844005,2727.3622661534205,4.0
1350,1350.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,1.0,0.7,50.0,-1745.2307119128675,63.93268598001005,3559.6934276844,1348.513903665278,8.0
1351,1351.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,1.0,55.0,-896.467765661973,130.58794234320223,3391.9275405446633,2856.4812884154503,4.0
1352,1352.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.8,0.8,30.0,-1752.7184868650747,45.618047621683765,3100.2294349451727,557.57571521223,4.0
1353,1353.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,1.0,0.9,60.0,-457.89962270778153,130.58794234320223,2948.011540544663,2727.3622661534205,4.0
1354,1354.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,0.8,0.9,60.0,-364.13038857116874,130.58794234320223,2672.885547805436,2727.3622661534205,4.0
1355,1355.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,1.0,0.7,0.8,50.0,-214.60838003183724,130.58794234320223,2653.7065933444082,1815.5977109938156,2.0
1356,1356.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.8,0.8,0.8,60.0,-862.5664641309779,127.66028995263277,2946.471200484145,3264.552611715347,6.0
1357,1357.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.7,0.7,0.8,25.0,-1569.0138283749404,41.50495899604326,2615.2073149451726,804.4885642957032,8.0
1358,1358.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,0.9,45.0,-1944.5853002073786,41.50495899604326,3518.0799405446633,981.2876435893429,10.0
1359,1359.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,0.7,35.0,-2157.2227535207644,41.50495899604326,3723.8524877449177,780.1655025154172,8.0
1360,1360.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.7,1.0,25.0,-1634.33053683263,41.50495899604326,2843.0324276844,395.70663531621386,2.0
1361,1361.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.9,0.9,0.8,30.0,-1843.663524560212,41.50495899604326,3277.735086023117,652.0125467823494,6.0
1362,1362.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.7,0.9,0.7,55.0,-794.7598727552395,97.69713597956785,2527.9054422059457,2588.6021556866244,8.0
1363,1363.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.9,1.0,0.8,30.0,-1829.6540722273028,57.70311697755309,3481.4599260231175,975.8206740077658,6.0
1364,1364.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.8,1.0,1.0,50.0,-1553.2675137701076,68.90193226572049,3390.540895005691,1645.1552771195327,8.0
1365,1365.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.9,1.0,0.7,25.0,-1839.3467777659494,62.443653980531586,3499.7699332838906,793.1329494666609,4.0
