n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex,flat
193,193,366963.7935,1.0,0.97,1,50,0.94,816.1602059168,422743.8923678,8
194,194,273480.1829,0.93,0.99,1,45,0.98,796.3787670893,422762.0053672,10
195,195,282171.9752,0.92,0.99,1,45,0.92,792.3388126205,422735.7998837,10
196,196,482150.7396,0.96,0.97,1,55,0.93,800.0003880415,422740.1674643,10
197,197,-41643.2303,0.92,0.95,1,30,0.95,775.3423277119,422746.3319171,2
198,198,484421.9819,0.95,0.96,1,55,0.95,791.7113123455,422748.9026254,10
199,199,477791.667,0.99,0.95,1,55,0.92,803.6220089937,422734.5145295,6
200,200,-56635.1541,0.97,0.93,1,30,0.98,787.0438576017,422760.077336,4
201,201,69310.4015,0.91,0.94,1,35,1.0,767.0532520159,422768.1698201,2
202,202,67844.4678,0.93,0.97,1,35,0.92,787.880524635,422733.2291753,2
203,203,487143.9335,0.93,0.98,1,55,0.95,792.1296458622,422748.2599484,8
204,204,594982.1826,0.92,0.96,1,60,0.97,779.591448939,422756.9951095,8
205,205,-50487.5667,0.92,0.98,1,30,0.99,788.0896913933,422764.4449165,4
206,206,591454.4747,0.93,0.96,1,60,0.98,783.6314034079,422761.3626901,8
207,207,47239.0284,0.99,0.94,1,35,1.0,799.3728877665,422769.4551742,6
208,208,61741.1366,0.94,0.95,1,35,0.98,783.4222366495,422759.4346589,2
209,209,277533.7197,0.91,1.0,1,45,0.98,792.5479793788,422761.3626901,8
210,210,588190.356,0.94,0.99,1,60,0.94,800.4187215581,422744.5350449,10
211,211,269849.461,0.98,0.97,1,45,0.91,808.0802969792,422731.4323031,10
212,212,45446.342,0.99,0.99,1,35,0.95,820.6184939023,422747.6172713,6
213,213,485887.4679,0.93,0.97,1,55,0.98,787.880524635,422761.3626901,8
214,214,260478.4772,1.0,0.94,1,45,0.99,803.4128422354,422766.3729478,10
215,215,392552.6479,0.91,0.95,1,50,0.95,771.302373243,422748.9026254,10
216,216,-54895.2557,0.94,0.97,1,30,0.99,791.9204791038,422764.4449165,4
217,217,59194.7867,0.92,1.0,1,35,0.99,796.5879338476,422765.0875936,6
218,218,-54488.8378,0.96,0.97,1,30,0.93,800.0003880415,422740.1674643,10
219,219,367294.6254,0.98,1.0,1,50,0.95,820.8276606606,422748.2599484,8
220,220,379686.0326,0.97,0.95,1,50,0.92,795.542100056,422734.5145295,6
221,221,479929.0085,1.0,0.92,1,55,0.91,794.9145997811,422730.789626,8
222,222,157464.0532,0.99,0.94,1,40,0.98,799.3728877665,422761.3626901,8
223,223,162074.4602,0.98,0.95,1,40,0.95,799.5820545249,422746.3319171,2
224,224,55973.2541,0.98,0.94,1,35,0.94,795.3329332977,422744.5350449,10
225,225,168857.0663,0.99,0.91,1,40,0.91,786.6255240851,422729.5042718,4
226,226,-69773.3224,0.99,1.0,1,30,0.95,824.8676151294,422746.3319171,2
227,227,167053.3112,0.94,1.0,1,40,0.94,804.6678427853,422743.2496907,6
228,228,269042.2028,0.98,0.94,1,45,0.96,795.3329332977,422750.6994977,2
229,229,263367.5026,0.97,0.98,1,45,0.99,808.2894637375,422763.8022395,2
230,230,491644.4714,0.92,0.98,1,55,0.93,788.0896913933,422738.239433,4
231,231,582085.87,0.97,0.99,1,60,0.92,812.5385849646,422733.8718524,4
232,232,387663.5777,0.91,0.98,1,50,0.96,784.0497369245,422751.9848519,6
233,233,274722.4651,0.96,0.96,1,45,0.93,795.7512668143,422737.5967559,2
234,234,474055.4433,1.0,0.92,1,55,0.98,794.9145997811,422759.4346589,2
235,235,154708.4417,0.99,0.96,1,40,0.98,807.8711302208,422761.3626901,8
236,236,582600.4263,0.94,1.0,1,60,0.99,804.6678427853,422765.7302707,8
237,237,567417.8908,1.0,1.0,1,60,0.98,828.9075695983,422762.0053672,10
238,238,44174.9588,0.98,0.99,1,35,0.99,816.5785394335,422764.4449165,4
239,239,279229.3383,0.96,0.94,1,45,0.91,787.25302436,422730.789626,8
240,240,579777.7467,0.99,0.96,1,60,0.93,807.8711302208,422739.5247872,8
241,241,376544.9743,0.94,0.98,1,50,0.99,796.169600331,422766.3729478,10
