n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
30,30.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.8,1.0,1.0,50.0,-575.3390578158445,76.75990796775443,622.27983528091,2361.8784435324656,10.0
31,31.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.7,0.9,0.8,35.0,-187.89728533257627,107.28334889774962,500.4676037528191,1483.346123047867,4.0
32,32.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.8,0.7,1.0,45.0,-173.60739998585746,107.28334889774962,501.88830069663703,1558.5355920109073,4.0
33,33.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9,0.8,0.7,35.0,-603.8616982200494,22.074667526002244,612.5090922247281,661.7367940778461,8.0
34,34.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.8,0.7,0.8,25.0,-254.29445186149775,107.28334889774962,440.10558069663705,1483.2281021145336,4.0
35,35.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.9,0.8,0.8,55.0,-31.46346335820312,107.28334889774962,569.6406522247281,1483.346123047867,4.0
36,36.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.7,20.0,-757.7718809643493,22.074667526002244,677.52351528091,509.94836345484185,6.0
37,37.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.9,1.0,50.0,-220.45163333747527,107.28334889774962,637.393003752819,2149.82971560876,6.0
38,38.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.8,1.0,40.0,-455.02193643886756,83.97021315471582,520.034092224728,2579.0985166871696,10.0
39,39.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.7,0.7,0.8,25.0,-418.6032597983821,31.063215397439986,420.20658069663705,663.3827994975608,6.0
40,40.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.8,0.7,0.9,55.0,88.83762956630542,107.28334889774962,539.9935806966371,2703.5291047250935,8.0
41,41.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.8,0.7,0.7,20.0,-201.74521922725526,107.28334889774962,440.10558069663705,854.4572649684934,2.0
42,42.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.7,0.7,45.0,-540.6682523666668,33.72394175925645,557.1319806966371,902.3031811394216,8.0
43,43.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.7,1.0,0.7,50.0,100.95168380093605,107.28334889774962,628.00011528091,854.4572649684934,2.0
44,44.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,0.7,0.8,45.0,-247.15221543011108,106.10900631115182,479.9035806966371,3214.514788352446,10.0
45,45.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.8,1.0,0.9,20.0,-815.0850367361694,22.074667526002244,622.27983528091,829.1203880110872,10.0
46,46.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.9,0.7,1.0,60.0,161.77065868672128,107.28334889774962,529.5101406966371,1558.5355920109073,4.0
47,47.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.9,1.0,0.8,30.0,-569.0169649100696,31.063215397439986,580.3961152809101,856.1335636140192,8.0
48,48.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,1.0,0.8,35.0,-594.0333154216928,22.074667526002244,594.65799528091,669.5343757329645,8.0
49,49.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,0.9,0.7,0.7,55.0,48.12272433530786,107.28334889774962,460.0045806966371,1445.7513885663468,4.0
50,50.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,0.8,0.8,50.0,-352.5090539579199,106.10900631115182,612.5090922247281,2630.9430718886033,8.0
