n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
1028,1028.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,1.0,0.8,50.0,-326.36103332404133,23.078289705525684,692.0421312644187,438.0910069961145,2.0
1029,1029.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,1.0,0.7,50.0,-445.8560117875262,4.435883168136524,681.0496148563664,156.1198730509215,10.0
1030,1030.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,0.8,40.0,-476.3602802764561,4.435883168136524,745.6361312644187,130.80380415115704,8.0
1031,1031.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.7,1.0,0.7,50.0,-352.58825183981526,15.319057170482901,599.9814548563663,477.72076606171083,8.0
1032,1032.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.7,0.9,50.0,-413.8378321733272,23.078289705525684,783.425647672471,569.1256381210809,6.0
1033,1033.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.8,0.9,0.9,60.0,-314.41397489624853,23.078289705525684,698.432607672471,633.9210627182342,6.0
1034,1034.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.8,0.9,1.0,30.0,-476.2905885359524,4.435883168136524,736.2221240805234,130.80380415115704,8.0
1035,1035.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.7,0.7,40.0,-395.9447093096331,4.435883168136524,627.4556148563663,118.98799273031736,8.0
1036,1036.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.9,0.7,1.0,60.0,-298.78156575572024,23.078289705525684,759.0942440805235,455.0117541107328,4.0
1037,1037.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.8,0.7,50.0,-377.314834724227,18.312927771802244,668.5978148563663,538.8854114822418,8.0
1038,1038.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.8,0.8,0.9,30.0,-460.75664685169494,4.435883168136524,698.432607672471,124.89589844073718,8.0
1039,1039.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.9,1.0,30.0,-516.1092287046797,4.435883168136524,781.9663640805235,150.21196734050164,10.0
1040,1040.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.7,1.0,1.0,60.0,-369.321395980921,23.078289705525684,740.8241640805232,666.3187750168108,6.0
1041,1041.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,40.0,-458.8162709631299,4.435883168136524,718.3051640805235,156.1198730509215,10.0
1042,1042.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.9,0.9,0.8,30.0,-424.08370622125216,8.126778234860332,683.5152112644187,128.32602250183683,2.0
1043,1043.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.9,0.9,50.0,-378.29623827001257,23.078289705525684,783.425647672471,633.9210627182342,6.0
1044,1044.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.8,30.0,-496.3189317957169,4.435883168136524,745.6361312644187,156.1198730509215,10.0
1045,1045.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.9,1.0,50.0,-375.5950065050765,23.078289705525684,821.2151640805233,405.69329469753785,2.0
1046,1046.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.7,0.9,40.0,-341.37162594250367,23.078289705525684,680.515647672471,455.0117541107328,4.0
1047,1047.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.9,0.7,40.0,-417.83316007469887,4.435883168136524,654.2526148563663,150.21196734050164,10.0
1048,1048.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.7,1.0,60.0,-194.59157038505433,23.078289705525684,718.3051640805235,340.89787010038464,2.0
1049,1049.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,0.7,0.9,60.0,-350.99015658596153,23.078289705525684,729.8316476724711,683.239522131429,8.0
1050,1050.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.7,1.0,30.0,-527.9337977820794,4.435883168136524,794.4181640805233,118.98799273031736,8.0
1051,1051.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.9,50.0,-338.1940601546621,23.078289705525684,744.1768476724711,438.0910069961145,2.0
1052,1052.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.8,0.8,0.7,30.0,-346.66062540608624,21.34758413565328,622.8535748563663,338.79141981709404,2.0
1053,1053.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.7,1.0,0.7,50.0,-287.47058283470494,23.078289705525684,599.9814548563663,552.2048910064627,4.0
1054,1054.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.8,0.8,30.0,-467.42567628643843,4.435883168136524,692.0421312644187,144.3040616300818,10.0
1055,1055.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,0.9,0.8,40.0,-371.4987089889723,4.435883168136524,574.6441312644188,111.39564096181242,6.0
1056,1056.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.8,0.9,0.9,50.0,-417.7647320965969,13.682790068623277,698.432607672471,342.2576662519987,6.0
1057,1057.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,1.0,0.9,40.0,-399.2708486844302,4.435883168136524,612.4336476724711,117.30354667223224,6.0
1058,1058.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.7,0.7,0.8,60.0,-177.07373166108465,23.078289705525684,637.7709712644187,455.0117541107328,4.0
1059,1059.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.9,0.8,1.0,50.0,-455.68273098554937,15.616849859709033,794.4181640805233,518.8652284049439,10.0
1060,1060.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.7,0.9,0.8,60.0,-166.95498342954295,23.078289705525684,637.7709712644187,405.69329469753785,2.0
1061,1061.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,0.8,40.0,-442.11375486911606,9.617224844721495,718.8391312644187,235.98188941621245,6.0
1062,1062.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,1.0,0.9,40.0,-479.59483832107,4.435883168136524,729.8316476724711,136.71170986157688,8.0
1063,1063.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.8,0.9,40.0,-414.8644962129274,17.228584059626538,729.8316476724711,421.52069669203553,6.0
1064,1064.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.9,1.0,30.0,-495.66817474382214,4.435883168136524,767.6211640805233,130.80380415115704,8.0
1065,1065.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.7,1.0,30.0,-477.21965440806446,4.435883168136524,740.8241640805232,99.57982954097272,6.0
1066,1066.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.9,30.0,-500.84958689925304,4.435883168136524,783.425647672471,97.89538348288765,4.0
1067,1067.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.8,1.0,60.0,-441.3301752928023,18.312927771802244,781.9663640805235,538.8854114822418,8.0
1068,1068.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.9,0.8,0.8,40.0,-342.3053501210241,23.078289705525684,683.5152112644187,373.29558239896124,2.0
1069,1069.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.7,0.9,0.8,60.0,-288.790101174235,23.078289705525684,637.7709712644187,862.1488307389305,10.0
1070,1070.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.9,40.0,-398.3723347335302,23.078289705525684,744.1768476724711,438.0910069961145,2.0
1071,1071.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,0.8,0.8,60.0,-220.58432370567002,23.078289705525684,692.0421312644187,373.29558239896124,2.0
1072,1072.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.7,0.9,40.0,-336.94617175373634,23.078289705525684,680.515647672471,340.89787010038464,2.0
1073,1073.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.8,1.0,0.7,60.0,-311.74277786276457,23.078289705525684,622.8535748563663,780.4326590271588,8.0
1074,1074.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.9,0.9,60.0,-322.3391954308211,23.078289705525684,680.515647672471,748.0349467285823,8.0
1075,1075.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,0.8,0.8,60.0,-265.705067380743,23.078289705525684,574.6441312644188,715.6372344300057,8.0
1076,1076.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.9,0.9,0.9,60.0,-413.6334898643607,16.95437678922671,721.304727672471,514.360414751726,8.0
1077,1077.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.9,0.7,0.8,40.0,-444.5819994058038,8.126778234860332,718.8391312644187,249.66496083364717,10.0
1078,1078.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.8,60.0,-324.8047768098303,23.078289705525684,642.7261312644187,666.3187750168108,6.0
