n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
823,823.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.7,1.0,50.0,-903.4615493583653,90.2139868922699,2578.5873004236273,2056.043416929866,6.0
824,824.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.9,1.0,45.0,-1076.865151614528,70.24022911054423,2637.1344804841456,1693.4087145273106,8.0
825,825.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,1.0,1.0,60.0,-346.69654992415525,130.58794234320223,3353.920880484145,2073.835755517876,2.0
826,826.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,0.9,40.0,-953.1898630738914,123.94374175228508,2824.7224204236268,2513.422326629025,4.0
827,827.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.9,0.9,30.0,-1533.3869254856932,52.38197966632623,2965.452600605181,893.1493684589781,6.0
828,828.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,1.0,0.9,20.0,-1859.7047649728308,41.50495899604326,3189.7618204236273,523.8595910492817,4.0
829,829.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,20.0,-2651.4494389831652,41.50495899604326,4033.8606006051814,981.2876435893429,10.0
830,830.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9,1.0,50.0,-1057.5080163479208,130.58794234320223,3314.3551005446634,2856.4812884154503,4.0
831,831.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,1.0,0.9,30.0,-1925.259411981045,41.50495899604326,3189.7618204236273,828.8116260759891,8.0
832,832.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.7,1.0,50.0,-464.73921136072346,130.58794234320223,2179.539420423627,2856.4812884154503,4.0
