n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex,flat
307,307,17570.3614,0.7,0.9,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,65.88161144054745,47.26621686372658,29.573480103004425,715.0818818335101,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2647610625294565,14.6453,18.5568,49133.43621739344,957.384566468,1222.2419654,8
308,308,33763.4204,0.8,1.0,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,48.006723984877624,29.586585493471958,28.49378667348809,796.9055551447542,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.36263986934797865,13.4875,14.5599,31621.635468731572,495.4756501184,911.9655068,6
309,309,-123384.8013,1.0,1.0,1,55,0.9,2,1,0,0,1,1,1,0,1,1,0,76.61206142079595,60.02661224764761,33.74589072419426,1044.7933178039202,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,14.2602,21.1205,62054.69010733156,1378.6069422014,1358.8767491,8
310,310,-172711.9463,0.7,1.0,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,56.766464710847785,37.79144397324915,33.5790377921296,1134.472040628519,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.3831,16.6607,33223.97743648827,596.7841173124,1149.1000314,8
311,311,-493834.2667,0.8,1.0,1,25,0.9,2,1,0,0,1,1,1,0,1,1,0,62.83631440932472,44.7827966950853,30.16901097553136,870.1597643821669,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.928,31.3862,37171.71426649582,1231.003388324,1107.7097269,2
312,312,-386856.8355,0.7,0.7,1,35,0.9,2,1,0,0,1,1,1,0,1,1,0,85.19134255557842,66.46605077927094,36.81320140854879,1050.9382491095046,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.8329,25.1658,56180.30168977656,1486.1686960193,1402.6294632,8
313,313,-209940.2351,0.9,1.0,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,87.78697995216555,67.18230014649566,37.853825076642615,1214.598214638009,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.7928,21.582,66908.72202722455,1520.7714491379,1195.438022,2
314,314,-236196.0001,0.8,0.7,1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,79.10067143016236,58.432443160051605,35.741694779646984,1035.741755352587,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,12.3826,21.4378,58669.56608644292,1327.4358327086,1316.9454579,8
315,315,-653352.5757,0.8,1.0,1,20,1.0,2,1,0,0,1,1,1,0,1,1,0,97.6800170724985,78.75549151785184,33.340316413889965,863.3082842932729,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,7.929,26.1116,55931.090944623866,1518.0130098635,1794.2213345,10
316,316,-491294.1711,0.8,1.0,1,20,1.0,2,1,0,0,1,1,1,0,1,1,0,73.3446018837027,55.9553372204993,29.61267034626698,741.9221203357049,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.1731,28.2024,35706.04560510527,1056.3353846079,1586.2823646,8
317,317,47851.8405,0.7,1.0,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,57.55840922643637,36.083980795034165,33.76711191701855,966.2184537197579,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.39404555132305547,14.36,15.1301,39125.286554109545,637.7271663577,1122.1851161,8
318,318,-151865.7176,0.9,0.9,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,73.5874260928102,56.35116937262916,32.042157045680135,899.0580501858066,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,11.8951,23.2082,52896.85444317288,1285.034867814,1439.6192187,6
319,319,-113989.6136,1.0,0.7,1,25,0.9,2,1,0,0,1,1,1,0,1,1,0,40.17546183911665,21.521719882274393,22.54688861119977,589.9299311282837,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0153,16.6532,18568.22567989542,332.4788649705,893.2012609,8
320,320,497.4948,0.9,0.8,1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,68.5735714688564,50.07378258700268,34.80166999627188,1009.8770474908396,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.2047104921456273,13.0051,17.6824,49960.724561506126,939.6565411631,1315.7930405,8
321,321,-233343.9798,0.9,0.9,1,20,0.9,2,1,0,0,1,1,1,0,1,1,0,49.76231427090622,29.279838056247357,29.141822152901455,795.3207258601857,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.402,18.04,25567.13794954017,494.7070068942,918.8153758,8
