n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
584,584,-356885.8205,0.95,0.92,0.9,25,0.93,774.7148274369,1934.6943460895
585,585,-400880.7294,0.97,0.97,1,25,0.93,804.0403425103,2065.6156904218
586,586,372501.5864,0.92,0.98,1,50,0.99,788.0896913933,2084.3841307111
587,587,404762.0289,0.91,0.96,0.9,50,0.94,775.5514944702,1937.822419471
588,588,-353362.4247,0.93,0.92,0.9,25,0.93,766.6349184992,1934.6943460895
589,589,670509.9565,0.96,0.99,0.9,60,0.97,808.4986304958,1947.2066396157
590,590,119035.2096,0.97,0.95,0.9,40,0.92,795.542100056,1931.5662727079
591,591,522542.9812,1.0,1.0,0.9,55,0.99,828.9075695983,1953.4627863787
592,592,-24138.993,0.92,0.98,0.9,35,0.91,788.0896913933,1928.4381993264
593,593,114101.3857,0.98,0.98,0.9,40,0.93,812.3294182063,1934.6943460895
594,594,239640.4673,0.92,0.97,1,45,0.92,783.8405701662,2062.4876170403
595,595,-233087.2935,1.0,0.99,1,30,0.92,824.6584483711,2062.4876170403
596,596,118467.0147,0.99,0.92,0.9,40,0.92,790.8746453122,1931.5662727079
597,597,-195363.6735,0.95,0.97,0.9,30,1.0,795.9604335727,1956.5908597603
598,598,655097.5572,0.93,0.99,1,60,0.91,796.3787670893,2059.3595436587
599,599,-397333.9096,0.94,1.0,1,25,0.92,804.6678427853,2062.4876170403
600,600,-605483.4037,0.97,0.99,1,20,0.96,812.5385849646,2074.9999105665
601,601,656372.0946,0.96,0.92,1,60,0.91,778.7547819057,2059.3595436587
602,602,-225460.3437,0.93,0.95,1,30,1.0,779.3822821807,2087.5122040926
603,603,-70289.6661,0.98,0.96,1,35,0.97,803.831175752,2078.127983948
604,604,654671.8755,0.96,0.94,1,60,0.91,787.25302436,2059.3595436587
605,605,-70255.6447,0.98,0.97,1,35,0.96,808.0802969792,2074.9999105665
606,606,123115.1211,0.96,0.93,0.9,40,0.91,783.0039031329,1928.4381993264
607,607,-586608.5377,0.91,0.94,1,20,0.93,767.0532520159,2065.6156904218
608,608,-552171.2894,0.93,0.94,0.9,20,0.91,775.1331609536,1928.4381993264
609,609,-605073.5511,0.96,0.98,1,20,0.98,804.2495092687,2081.2560573295
610,610,78722.9487,1.0,0.97,1,40,0.98,816.1602059168,2081.2560573295
611,611,-193130.035,0.92,1.0,0.9,30,1.0,796.5879338476,1956.5908597603
612,612,-369557.0242,1.0,0.96,0.9,25,0.93,811.9110846897,1934.6943460895
613,613,91939.2913,0.94,0.98,1,40,0.93,796.169600331,2065.6156904218
614,614,-372840.2267,1.0,0.97,0.9,25,0.95,816.1602059168,1940.9504928526
615,615,-590880.8427,0.92,0.93,1,20,0.96,766.8440852576,2074.9999105665
616,616,-23498.1345,0.91,0.95,0.9,35,0.95,771.302373243,1940.9504928526
617,617,-230555.1182,1.0,0.91,1,30,0.97,790.6654785539,2078.127983948
618,618,515167.3991,0.94,0.97,1,55,0.92,791.9204791038,2062.4876170403
619,619,654729.6511,0.95,0.91,1,60,0.96,770.4657062098,2074.9999105665
620,620,-559463.1795,0.91,0.98,0.9,20,0.97,784.0497369245,1947.2066396157
621,621,-556250.5111,0.94,0.94,0.9,20,0.93,779.1731154224,1934.6943460895
622,622,99568.875,0.92,0.94,1,40,0.92,771.0932064847,2062.4876170403
623,623,404903.5049,0.92,0.94,0.9,50,0.94,771.0932064847,1937.822419471
624,624,682008.9873,0.94,0.92,0.9,60,0.94,770.6748729681,1937.822419471
625,625,370539.0867,0.97,0.94,1,50,0.96,791.2929788289,2074.9999105665
626,626,669964.7239,0.99,0.97,0.9,60,0.94,812.120251448,1937.822419471
627,627,93537.3949,0.93,0.97,1,40,0.94,787.880524635,2068.7437638034
628,628,529242.2319,0.99,0.93,0.9,55,1.0,795.1237665394,1956.5908597603
629,629,397109.7893,0.97,0.94,0.9,50,0.94,791.2929788289,1937.822419471
630,630,90621.967,0.97,0.92,1,40,0.95,782.7947363746,2071.8718371849
631,631,-602609.792,0.98,0.93,1,20,0.97,791.0838120705,2078.127983948
632,632,231514.2552,0.93,0.99,1,45,0.98,796.3787670893,2081.2560573295
633,633,82655.0785,0.97,0.97,1,40,0.99,804.0403425103,2084.3841307111
634,634,-410221.3588,1.0,0.94,1,25,0.99,803.4128422354,2084.3841307111
635,635,393669.5008,0.97,0.99,0.9,50,0.93,812.5385849646,1934.6943460895
636,636,-368930.6642,0.98,0.99,0.9,25,0.93,816.5785394335,1934.6943460895
637,637,398283.9548,0.93,0.99,0.9,50,0.95,796.3787670893,1940.9504928526
638,638,680229.0676,0.94,0.96,0.9,60,0.92,787.6713578767,1931.5662727079
639,639,-22471.6885,0.92,0.91,0.9,35,0.96,758.3458428033,1944.0785662341
640,640,-185969.7385,0.94,0.98,0.9,30,0.91,796.169600331,1928.4381993264
641,641,377642.094,0.92,0.91,1,50,1.0,758.3458428033,2087.5122040926
642,642,-66042.3768,0.96,0.97,1,35,0.95,800.0003880415,2071.8718371849
643,643,531655.0844,1.0,0.95,0.9,55,0.93,807.6619634625,1934.6943460895
644,644,266149.4633,0.91,0.97,0.9,45,0.92,779.8006156973,1931.5662727079
645,645,681747.9604,0.93,0.97,0.9,60,0.91,787.880524635,1928.4381993264
646,646,-404912.8411,0.96,0.97,1,25,0.98,800.0003880415,2081.2560573295
647,647,-220866.9366,0.92,0.95,1,30,0.97,775.3423277119,2078.127983948
648,648,652967.6566,0.94,0.93,1,60,0.98,774.9239941952,2081.2560573295
649,649,-371851.124,0.99,0.99,0.9,25,0.94,820.6184939023,1937.822419471
650,650,-359542.6629,0.93,0.96,0.9,25,0.95,783.6314034079,1940.9504928526
651,651,262904.7393,0.91,0.97,0.9,45,0.96,779.8006156973,1944.0785662341
652,652,-30268.9152,0.94,0.92,0.9,35,1.0,770.6748729681,1956.5908597603
653,653,-569986.2568,0.95,0.98,0.9,20,1.0,800.2095547998,1956.5908597603
654,654,-601187.4127,0.95,0.97,1,20,0.97,795.9604335727,2078.127983948
655,655,363999.2372,0.98,0.97,1,50,0.99,808.0802969792,2084.3841307111
656,656,-231462.3205,0.99,0.98,1,30,0.93,816.3693726751,2065.6156904218
657,657,94910.2435,0.96,0.93,1,40,0.91,783.0039031329,2059.3595436587
658,658,529813.3893,0.99,0.99,0.9,55,0.93,820.6184939023,1934.6943460895
659,659,229980.0173,0.95,1.0,1,45,0.95,808.7077972541,2071.8718371849
660,660,-40290.7867,0.98,0.98,0.9,35,0.98,812.3294182063,1950.3347129972
661,661,-66745.4312,0.97,0.97,1,35,0.94,804.0403425103,2068.7437638034
662,662,248797.4802,1.0,0.99,0.9,45,0.94,824.6584483711,1937.822419471
663,663,-402689.2753,1.0,0.91,1,25,0.95,790.6654785539,2071.8718371849
664,664,107646.0753,0.99,0.97,0.9,40,1.0,812.120251448,1956.5908597603
665,665,-35852.2577,0.98,0.92,0.9,35,0.99,786.8346908434,1953.4627863787
666,666,91747.0866,0.93,0.96,1,40,0.97,783.6314034079,2078.127983948
667,667,388121.2368,0.99,0.99,0.9,50,0.96,820.6184939023,1944.0785662341
668,668,645926.4247,1.0,0.96,1,60,0.92,811.9110846897,2062.4876170403
669,669,-182477.8872,0.93,0.96,0.9,30,0.91,783.6314034079,1928.4381993264
670,670,107613.2524,0.99,0.98,0.9,40,0.99,816.3693726751,1953.4627863787
671,671,88532.0376,0.95,0.96,1,40,0.97,791.7113123455,2078.127983948
672,672,651249.5123,0.95,0.97,1,60,0.94,795.9604335727,2068.7437638034
673,673,-38975.7158,1.0,0.97,0.9,35,0.94,816.1602059168,1937.822419471
674,674,679273.3326,0.91,0.95,0.9,60,1.0,771.302373243,1956.5908597603
675,675,677049.806,0.95,0.96,0.9,60,0.94,791.7113123455,1937.822419471
676,676,-201439.9098,0.97,1.0,0.9,30,1.0,816.7877061918,1956.5908597603
677,677,-606595.0556,0.95,0.99,1,20,1.0,804.458676027,2087.5122040926
678,678,-30352.1541,0.98,0.92,0.9,35,0.93,786.8346908434,1934.6943460895
679,679,118139.6514,0.95,0.93,0.9,40,0.99,778.9639486641,1953.4627863787
680,680,388019.6112,0.98,1.0,0.9,50,0.97,820.8276606606,1947.2066396157
681,681,92773.2095,0.94,0.92,1,40,0.98,770.6748729681,2081.2560573295
682,682,99713.9751,0.93,0.91,1,40,0.93,762.3857972721,2065.6156904218
683,683,-185798.0052,0.95,0.96,0.9,30,0.91,791.7113123455,1928.4381993264
684,684,656411.9449,0.96,0.91,1,60,0.92,774.5056606786,2062.4876170403
685,685,647906.8497,0.94,0.98,1,60,0.99,796.169600331,2084.3841307111
686,686,-394097.5552,0.96,0.93,1,25,0.92,783.0039031329,2062.4876170403
687,687,230316.4004,0.96,0.93,1,45,1.0,783.0039031329,2087.5122040926
688,688,515752.482,0.91,0.98,1,55,0.96,784.0497369245,2074.9999105665
689,689,372868.2387,0.96,0.95,1,50,0.94,791.5021455872,2068.7437638034
690,690,234089.3006,0.94,0.97,1,45,0.95,791.9204791038,2071.8718371849
691,691,396928.463,0.96,0.97,0.9,50,0.93,800.0003880415,1934.6943460895
692,692,-406891.0463,0.98,0.93,1,25,1.0,791.0838120705,2087.5122040926
693,693,234113.8745,0.95,0.98,1,45,0.92,800.2095547998,2062.4876170403
694,694,-186141.4718,0.93,1.0,0.9,30,0.91,800.6278883165,1928.4381993264
695,695,116550.8861,0.97,0.96,0.9,40,0.94,799.7912212832,1937.822419471
696,696,-370960.8847,0.94,1.0,0.9,25,1.0,804.6678427853,1956.5908597603
697,697,264771.1299,0.93,0.94,0.9,45,0.93,775.1331609536,1934.6943460895
698,698,530460.2475,0.97,1.0,0.9,55,0.95,816.7877061918,1940.9504928526
699,699,-195102.2082,0.96,0.97,0.9,30,0.98,800.0003880415,1950.3347129972
700,700,117286.142,0.95,0.94,0.9,40,0.99,783.2130698912,1953.4627863787
701,701,-407230.3649,0.96,0.97,1,25,1.0,800.0003880415,2087.5122040926
702,702,-354304.6792,0.92,0.96,0.9,25,0.92,779.591448939,1931.5662727079
703,703,511584.3809,0.99,0.93,1,55,0.91,795.1237665394,2059.3595436587
704,704,254621.4799,0.98,0.92,0.9,45,0.98,786.8346908434,1950.3347129972
705,705,-230031.2401,0.98,0.93,1,30,0.98,791.0838120705,2081.2560573295
706,706,510592.7954,0.98,0.96,1,55,0.91,803.831175752,2059.3595436587
707,707,253424.7679,0.95,0.97,0.9,45,1.0,795.9604335727,1956.5908597603
708,708,256063.3634,0.97,0.95,0.9,45,0.95,795.542100056,1940.9504928526
709,709,-354667.4219,0.91,0.97,0.9,25,0.93,779.8006156973,1934.6943460895
710,710,376290.6019,0.97,0.92,1,50,0.91,782.7947363746,2059.3595436587
711,711,-237350.7152,0.99,0.97,1,30,1.0,812.120251448,2087.5122040926
712,712,117012.5445,0.94,1.0,0.9,40,0.95,804.6678427853,1940.9504928526
713,713,543478.1711,0.94,0.94,0.9,55,0.91,779.1731154224,1928.4381993264
714,714,126660.8333,0.91,0.98,0.9,40,0.91,784.0497369245,1928.4381993264
715,715,-186885.4829,0.91,0.95,0.9,30,1.0,771.302373243,1956.5908597603
716,716,-63428.8031,0.91,0.98,1,35,1.0,784.0497369245,2087.5122040926
717,717,-358746.6436,0.92,0.97,0.9,25,0.95,783.8405701662,1940.9504928526
718,718,528232.7211,0.99,0.98,0.9,55,0.96,816.3693726751,1944.0785662341
719,719,-181434.5031,0.94,0.92,0.9,30,0.92,770.6748729681,1931.5662727079
720,720,-57656.622,0.92,0.96,1,35,0.94,779.591448939,2068.7437638034
721,721,113379.8668,0.98,0.95,0.9,40,0.97,799.5820545249,1947.2066396157
722,722,241418.7338,0.92,0.93,1,45,0.94,766.8440852576,2068.7437638034
723,723,-38243.1126,0.99,0.98,0.9,35,0.94,816.3693726751,1937.822419471
724,724,-28887.4966,0.91,0.99,0.9,35,0.97,788.2988581517,1947.2066396157
725,725,-68854.5944,1.0,0.97,1,35,0.91,816.1602059168,2059.3595436587
726,726,668220.6547,0.97,0.97,0.9,60,1.0,804.0403425103,1956.5908597603
727,727,374444.9071,0.94,0.93,1,50,0.98,774.9239941952,2081.2560573295
728,728,-223385.9284,0.94,0.92,1,30,0.99,770.6748729681,2084.3841307111
729,729,369910.1537,0.98,0.91,1,50,0.98,782.5855696162,2081.2560573295
730,730,-389608.4808,0.94,0.92,1,25,0.92,770.6748729681,2062.4876170403
731,731,652179.3224,0.95,0.94,1,60,0.96,783.2130698912,2074.9999105665
732,732,-64568.2253,0.94,0.99,1,35,0.95,800.4187215581,2071.8718371849
733,733,679357.033,0.93,0.96,0.9,60,0.95,783.6314034079,1940.9504928526
734,734,115010.2255,0.97,0.93,0.9,40,0.99,787.0438576017,1953.4627863787
735,735,649929.871,0.96,0.91,1,60,1.0,774.5056606786,2087.5122040926
736,736,400993.6847,0.93,0.92,0.9,50,0.99,766.6349184992,1953.4627863787
