n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
425,425.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.9,0.9,45.0,-164.0906794760777,6.6084749817854815,296.3300580861832,105.007373744685,10.0
426,426.0,1.0,0.0,1.0,1.0,2.0,1.0,0.9,0.9,0.7,1.0,50.0,-143.67610554220468,7.982795416418341,311.33226534695604,134.62411283040592,8.0
427,427.0,1.0,0.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,0.9,40.0,-204.23029337701857,9.744629023205515,374.13606534695606,113.91022680517491,2.0
428,428.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,0.9,50.0,-176.5691074458857,9.194281154186596,394.5550726077289,165.7695126093526,8.0
429,429.0,1.0,0.0,1.0,1.0,3.0,1.0,0.7,0.7,1.0,1.0,40.0,-146.97374273665076,9.194281154186596,294.67005082541027,110.4634584174797,2.0
430,430.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.8,0.9,25.0,-209.0890837078744,4.204950471585056,295.6468508254103,37.333733540408176,6.0
431,431.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.8,1.0,40.0,-145.71470219221422,7.982795416418341,279.68005808618324,100.30360978478404,4.0
432,432.0,1.0,0.0,1.0,1.0,3.0,2.0,0.7,0.7,1.0,1.0,50.0,-63.344468290110896,11.53015096905002,294.67005082541027,174.55640934505684,2.0
433,433.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,30.0,-257.17398530248795,3.304230922637724,347.5650726077289,34.06517728649659,10.0
434,434.0,1.0,0.0,1.0,1.0,3.0,1.0,0.9,0.9,1.0,1.0,55.0,-103.60412818130729,11.53015096905002,331.29006534695606,204.95152774068796,4.0
435,435.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,0.8,0.9,40.0,-153.0432351399867,8.610257067672498,316.30007260772896,127.67047563944533,6.0
436,436.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.8,0.9,25.0,-245.07891474180076,2.336191878650031,316.1300508254103,20.043264285577905,10.0
437,437.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,0.9,20.0,-251.91327075871277,5.063408075481224,347.5650726077289,33.3267015581209,2.0
438,438.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,60.0,-155.5205065676288,9.744629023205515,399.7400653469561,184.50689050521123,8.0
439,439.0,1.0,0.0,1.0,1.0,3.0,1.0,0.9,0.9,0.9,0.9,20.0,-241.16800256516586,3.304230922637724,314.6400653469561,16.152985588210885,2.0
440,440.0,1.0,0.0,1.0,1.0,3.0,1.0,0.7,0.7,0.9,1.0,50.0,-106.5766391632704,8.610257067672498,278.0200508254103,135.42659312872448,6.0
441,441.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.8,1.0,0.9,50.0,-146.10585446141667,10.751127173934911,355.8260580861831,166.05757762135525,4.0
442,442.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,1.0,20.0,-256.9958744404534,1.7609146983568025,329.6422726077289,10.704746135623765,6.0
443,443.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.9,0.9,30.0,-254.52373726732233,3.304230922637724,339.62505082541026,34.06517728649659,10.0
444,444.0,1.0,0.0,1.0,1.0,3.0,1.0,0.7,0.7,0.8,1.0,20.0,-207.3212303121248,1.7609146983568025,261.3700508254103,14.480694935623765,10.0
445,445.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,1.0,1.0,20.0,-262.9629967011214,2.336191878650031,337.5160508254102,20.78263494588021,10.0
446,446.0,1.0,0.0,1.0,1.0,3.0,2.0,0.8,0.8,0.9,0.9,25.0,-213.7393682551031,3.304230922637724,296.3300580861832,29.587129361925165,8.0
447,447.0,1.0,0.0,1.0,1.0,3.0,1.0,0.8,0.8,0.8,0.9,45.0,-150.33034889756527,6.6084749817854815,279.68005808618324,105.007373744685,10.0
448,448.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,40.0,-220.14293869729997,5.859528792858796,347.5650726077289,78.89296231826168,8.0
449,449.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.9,50.0,-124.82131979408709,10.751127173934911,332.95007260772894,166.05757762135525,4.0
450,450.0,1.0,0.0,1.0,1.0,1.0,2.0,0.8,0.8,0.8,1.0,55.0,-107.54385008110576,9.744629023205515,334.4400580861832,194.54889112430337,8.0
451,451.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.9,50.0,-111.44218194593185,10.751127173934911,316.30007260772896,166.05757762135525,4.0
452,452.0,1.0,0.0,1.0,1.0,2.0,2.0,0.7,0.7,0.7,1.0,35.0,-151.89756631356258,7.31875125910715,274.71225082541025,100.17015135618627,6.0
453,453.0,1.0,0.0,1.0,1.0,2.0,2.0,0.8,0.8,0.9,1.0,50.0,-121.02595036202862,9.744629023205515,334.89145808618326,171.01666989095796,6.0
454,454.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,0.9,35.0,-167.33752936244585,7.982795416418341,292.63505082541025,76.54504758805686,2.0
