,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
63,63.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.9,1.0,60.0,-651.432458041104,87.3084364982703,2472.975420423627,2804.407602699597,10.0
64,64.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,0.9,40.0,-1375.430030999206,130.58794234320223,3541.383420423627,1944.7167332558456,2.0
65,65.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,1.0,40.0,-1374.0128130990913,75.11727595467387,3153.0405405446627,1539.7035389953503,6.0
66,66.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,1.0,0.9,40.0,-1560.867183798162,77.404691278589,3518.0799405446633,1558.1381383897024,6.0
67,67.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.7,0.9,60.0,-504.40771729924006,130.29885231276955,2578.5873004236273,4278.034793040378,8.0
68,68.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.8,0.7,1.0,40.0,-1297.708807194528,41.50495899604326,2343.698480484145,1005.6107053696289,10.0
69,69.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.8,0.9,40.0,-929.1668101041508,130.58794234320223,2782.312140423627,1944.7167332558456,2.0
70,70.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,0.9,30.0,-1101.032640833321,119.96669715945328,2801.2935405446633,1699.268152240132,2.0
71,71.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.9,0.9,50.0,-729.0044865830763,130.58794234320223,2801.2935405446633,2727.3622661534205,4.0
72,72.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,1.0,0.9,30.0,-1559.4735977065795,41.50495899604326,2619.6934204236272,981.2876435893429,10.0
73,73.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,0.9,30.0,-1754.462122438044,41.50495899604326,3153.0405405446627,828.8116260759891,8.0
74,74.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.9,1.0,40.0,-1088.1247297753305,130.58794234320223,2986.036980423627,2073.835755517876,2.0
75,75.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.9,0.7,1.0,30.0,-1423.00466212769,41.50495899604326,2507.857540544663,700.6586703429214,6.0
76,76.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,0.9,30.0,-1461.5642863875973,70.24022911054423,2986.036980423627,1038.2681520253648,4.0
77,77.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.9,0.9,40.0,-1210.5771054292782,63.93268598001005,2637.1344804841456,1432.0305995300369,8.0
78,78.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.8,1.0,30.0,-1395.926571988588,70.85427533892505,2782.312140423627,793.0567408958491,2.0
79,79.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,0.9,30.0,-1693.1850482939874,41.50495899604326,2986.036980423627,828.8116260759891,8.0
80,80.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9,0.9,40.0,-1742.884425016878,52.38197966632623,3314.3551005446634,1094.79818477766,8.0
81,81.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,1.0,0.9,50.0,-904.4155620706213,130.58794234320223,3518.0799405446633,1944.7167332558456,2.0
82,82.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.7,1.0,50.0,-1080.4831719555427,68.90193226572049,2578.5873004236273,1645.1552771195327,8.0
83,83.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,0.9,30.0,-1810.4555444728278,41.50495899604326,3274.7893206051813,828.8116260759891,8.0
84,84.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,1.0,0.9,30.0,-1661.2825060578004,70.24022911054423,3353.920880484145,1038.2681520253648,4.0
85,85.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,1.0,30.0,-1608.9041050765345,41.50495899604326,2824.7224204236268,853.1346878562751,8.0
86,86.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.8,0.9,60.0,-193.98343300748385,130.58794234320223,3063.6094204236274,1944.7167332558456,2.0
87,87.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.7,1.0,30.0,-1799.5336529440715,41.50495899604326,2824.7224204236268,1005.6107053696289,10.0
88,88.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,1.0,60.0,-232.30068448759718,130.58794234320223,2801.2935405446633,2856.4812884154503,4.0
89,89.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,0.9,30.0,-1592.3326886352029,52.38197966632623,3071.064480605181,893.1493684589781,6.0
90,90.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,0.9,40.0,-1319.925102382277,77.404691278589,3110.630260544663,1558.1381383897024,6.0
91,91.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,0.9,30.0,-1431.3371621798144,75.11727595467387,2965.452600605181,814.2825070039069,2.0
92,92.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.8,0.7,1.0,60.0,-24.436852528333837,130.58794234320223,2343.698480484145,2073.835755517876,2.0
93,93.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,1.0,60.0,-683.1613631337673,130.58794234320223,2965.452600605181,3639.1268213130256,6.0
94,94.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,1.0,0.9,50.0,-746.20409276951,130.58794234320223,3541.383420423627,1944.7167332558456,2.0
95,95.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.7,1.0,50.0,-665.9049231645787,130.58794234320223,2988.881480484145,2073.835755517876,2.0
96,96.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.9,30.0,-1481.867994845188,52.38197966632623,2818.734600605181,691.5005521402959,4.0
97,97.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.8,0.9,40.0,-1622.413384308936,52.38197966632623,3110.630260544663,1094.79818477766,8.0
98,98.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,50.0,-864.0448263145994,130.58794234320223,3478.514160605181,1944.7167332558456,2.0
99,99.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,1.0,1.0,60.0,-1047.1801592635625,122.98836071631062,3541.383420423627,4031.7880686951094,8.0
100,100.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.7,0.9,30.0,-1377.2702694001448,41.50495899604326,2343.698480484145,981.2876435893429,10.0
101,101.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.7,1.0,50.0,-409.08203781834794,130.58794234320223,2507.857540544663,2856.4812884154503,4.0
102,102.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,1.0,1.0,60.0,-695.1134146652593,122.98836071631062,2948.011540544663,4031.7880686951094,8.0
103,103.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.9,1.0,30.0,-1785.1476137454215,41.50495899604326,2986.036980423627,1005.6107053696289,10.0
104,104.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.0,1.0,30.0,-1842.1897928836436,70.85427533892505,3541.383420423627,793.0567408958491,2.0
105,105.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,40.0,-1360.716465104406,80.09403807473525,3112.170600605181,1332.014446590384,4.0
106,106.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.7,0.9,1.0,30.0,-1406.233544291605,41.50495899604326,2472.975420423627,853.1346878562751,8.0
107,107.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.9,0.8,1.0,40.0,-1350.7590561716142,75.11727595467387,3110.630260544663,1539.7035389953503,6.0
108,108.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,50.0,-1566.9341931922866,90.2139868922699,3794.973600605181,2056.043416929866,6.0
109,109.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.9,1.0,50.0,-860.6969132286541,130.58794234320223,3794.973600605181,2073.835755517876,2.0
110,110.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,1.0,40.0,-1309.5351944259328,75.11727595467387,3071.064480605181,1539.7035389953503,6.0
111,111.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.7,0.7,0.9,60.0,-291.1019387904886,130.58794234320223,2179.539420423627,3510.0077990509953,6.0
112,112.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.9,50.0,-1062.8506549466067,130.58794234320223,3391.9275405446633,2727.3622661534205,4.0
