n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
26,26.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,1.0,1.0,55.0,152.93906931653504,190.19516550018875,1400.478394468143,2430.9465689756044,4.0
27,27.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.8,1.0,30.0,-1074.154500073208,56.00568523776178,925.9940922247281,1633.0198419145595,10.0
28,28.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,50.0,-149.23171928658448,190.19516550018875,1373.3231475745145,4033.8947054748023,8.0
29,29.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.9,0.8,0.9,50.0,43.049316516176496,190.19516550018875,949.1310522247281,3194.7843448399126,6.0
30,30.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.9,0.9,45.0,-246.81184331181535,190.19516550018875,1183.664371021329,3194.7843448399126,6.0
31,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,40.0,-185.25246320514876,190.19516550018875,1375.0212910213293,1591.8362083407142,2.0
32,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,30.0,-499.2289186311607,190.19516550018875,1297.7821475745145,1591.8362083407142,2.0
33,33.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.9,1.0,1.0,55.0,-30.59661831763721,190.19516550018875,1081.17411528091,4948.277650880274,10.0
34,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.9,60.0,78.66742541973032,190.19516550018875,1220.5430041277004,4033.8947054748023,8.0
35,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,1.0,20.0,-1510.125650611704,56.00568523776178,1223.939291021329,1633.0198419145595,10.0
36,36.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.8,0.7,0.9,30.0,-346.60685508023374,190.19516550018875,764.8735806966372,3194.7843448399126,6.0
37,37.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.7,1.0,0.9,35.0,-879.0572312131652,131.0908191817993,1195.8564344681429,3390.471014478368,10.0
38,38.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.9,0.9,50.0,-67.32778027484248,190.19516550018875,1183.664371021329,3194.7843448399126,6.0
39,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,55.0,134.17596096023613,190.19516550018875,1452.260434468143,2355.6739842050215,4.0
40,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8,1.0,0.9,45.0,-177.13646019379405,190.19516550018875,1005.6331152809101,3194.7843448399126,6.0
41,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,50.0,46.03180281514252,190.19516550018875,1296.0840041277004,2355.6739842050215,4.0
42,42.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.9,0.9,50.0,453.36859007117283,190.19516550018875,1300.102291021329,1516.5636235701313,2.0
