n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
29,29.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.8,50.0,-358.34461908604277,22.29896888868372,683.5152112644187,607.2803770234786,6.0
30,30.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.9,0.9,45.0,-386.3711610904217,16.95437678922671,675.560487672471,435.99354957637496,6.0
31,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,40.0,-412.7533369654505,23.078289705525684,756.6286476724712,438.0910069961145,2.0
32,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.8,30.0,-452.75952407623316,4.435883168136524,718.8391312644187,78.48722029354303,2.0
33,33.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,1.0,1.0,55.0,-427.38591065759636,19.359945033123836,794.4181640805233,720.1186602013825,10.0
34,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.7,60.0,-323.7757698560168,23.078289705525684,681.0496148563664,748.0349467285823,8.0
35,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.9,20.0,-504.66772747187537,4.435883168136524,703.0346476724711,156.1198730509215,10.0
36,36.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.7,30.0,-345.1446206557069,4.435883168136524,536.8546148563664,111.39564096181242,6.0
37,37.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.9,1.0,35.0,-401.91030321764157,4.435883168136524,616.1821640805234,150.21196734050164,10.0
38,38.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.9,0.9,50.0,-352.9652696802719,22.29896888868372,675.560487672471,607.2803770234786,6.0
39,39.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,55.0,-358.96169064630277,23.078289705525684,794.4181640805233,519.8071787078861,4.0
40,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,45.0,-442.61066646865186,16.95437678922671,767.6211640805233,435.99354957637496,6.0
41,41.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,50.0,-340.5397804388698,23.078289705525684,707.8466148563664,519.8071787078861,4.0
42,42.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,0.9,50.0,-248.21552434933625,23.078289705525684,680.515647672471,405.69329469753785,2.0
43,43.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.9,0.9,20.0,-473.29131052543767,4.435883168136524,744.1768476724711,72.57931458312319,2.0
44,44.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,1.0,0.7,25.0,-387.77546113216965,4.435883168136524,599.9814548563663,97.89538348288765,4.0
45,45.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.9,0.7,45.0,-374.6521932463606,11.838663262163552,622.8535748563663,397.677328729982,10.0
46,46.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.9,1.0,45.0,-275.29247157129197,23.078289705525684,616.1821640805234,519.8071787078861,4.0
47,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.9,40.0,-386.64818310968343,23.078289705525684,729.8316476724711,405.69329469753785,2.0
48,48.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,1.0,45.0,-367.91916643699864,23.078289705525684,821.2151640805233,405.69329469753785,2.0
49,49.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,1.0,0.9,55.0,-203.61387904792906,23.078289705525684,646.4746476724711,438.0910069961145,2.0
50,50.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,1.0,0.9,25.0,-453.1146338437366,8.126778234860332,729.8316476724711,138.64089491435095,2.0
51,51.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,20.0,-497.09917226594683,4.435883168136524,706.3873312644187,136.71170986157688,8.0
52,52.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,30.0,-491.6147078051325,4.435883168136524,718.3051640805235,156.1198730509215,10.0
53,53.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,60.0,-247.04890106515705,23.078289705525684,718.3051640805235,552.2048910064627,4.0
54,54.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,55.0,-450.87496409990246,15.616849859709033,783.425647672471,539.1868779709895,10.0
55,55.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.9,0.9,25.0,-443.4378574574928,4.435883168136524,675.560487672471,91.98747777246781,4.0
56,56.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.7,30.0,-385.81170200865984,18.312927771802244,668.5978148563663,330.1829304114267,2.0
57,57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.7,20.0,-472.47178811598707,4.435883168136524,654.2526148563663,150.21196734050164,10.0
58,58.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,1.0,1.0,55.0,-391.5057033150324,19.359945033123836,736.2221240805234,720.1186602013825,10.0
59,59.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,1.0,0.9,35.0,-444.10707315527776,9.617224844721495,721.304727672471,248.14832102220333,6.0
60,60.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.8,25.0,-468.9630859403112,4.435883168136524,683.5152112644187,130.80380415115704,8.0
61,61.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,50.0,-353.1690216741549,23.078289705525684,781.9663640805235,552.2048910064627,4.0
62,62.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9,1.0,60.0,-278.5421660049846,23.078289705525684,718.3051640805235,519.8071787078861,4.0
63,63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,50.0,-385.4815598255042,23.078289705525684,767.6211640805233,552.2048910064627,4.0
64,64.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.7,55.0,-232.73476231640353,23.078289705525684,707.8466148563664,405.69329469753785,2.0
65,65.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.9,1.0,45.0,-452.7577899861429,4.435883168136524,713.3500040805234,150.21196734050164,10.0
66,66.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,1.0,0.9,25.0,-414.8362162844559,4.435883168136524,612.4336476724711,136.71170986157688,8.0
67,67.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,1.0,1.0,60.0,-186.8088509106166,23.078289705525684,616.1821640805234,552.2048910064627,4.0
68,68.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,1.0,0.9,50.0,-407.9076825486375,14.616883262425365,698.432607672471,453.1712795827561,8.0
69,69.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,35.0,-391.3355105827588,12.063173059093632,646.4746476724711,298.65957472303137,6.0
70,70.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.9,0.9,30.0,-465.69764362620003,4.435883168136524,680.515647672471,150.21196734050164,10.0
71,71.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9,40.0,-396.25071583075635,23.078289705525684,729.8316476724711,438.0910069961145,2.0
72,72.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,1.0,0.7,40.0,-337.58402506613976,23.078289705525684,645.7256948563663,552.2048910064627,4.0
73,73.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,1.0,0.7,30.0,-362.1738708656674,4.435883168136524,570.8956148563664,78.48722029354303,2.0
74,74.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,1.0,0.7,50.0,-211.74168240716958,23.078289705525684,536.8546148563664,438.0910069961145,2.0
75,75.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,60.0,-402.916222215008,19.95577521581524,756.6286476724712,720.0221203166622,10.0
76,76.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,1.0,25.0,-416.5536486678205,12.39118903747125,684.2641640805234,197.17454623551333,2.0
77,77.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.9,0.8,45.0,-289.18218534647326,23.078289705525684,637.7709712644187,519.8071787078861,4.0
78,78.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,35.0,-441.6887869022856,9.617224844721495,718.3051640805235,248.14832102220333,6.0
79,79.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.9,0.8,30.0,-448.81550209154966,4.435883168136524,706.3873312644187,111.39564096181242,6.0
80,80.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.9,55.0,-298.78316000723015,23.078289705525684,680.515647672471,552.2048910064627,4.0
81,81.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,1.0,0.9,55.0,-303.4612982333962,23.078289705525684,646.4746476724711,780.4326590271588,8.0
82,82.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.9,0.7,55.0,-273.9458343788217,23.078289705525684,599.9814548563663,633.9210627182342,6.0
83,83.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,1.0,0.7,55.0,-303.90267802515837,23.078289705525684,645.7256948563663,780.4326590271588,8.0
84,84.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.9,1.0,20.0,-463.90447779947993,4.435883168136524,713.3500040805234,91.98747777246781,4.0
85,85.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.9,0.8,40.0,-364.84341151542736,23.078289705525684,706.3873312644187,519.8071787078861,4.0
86,86.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,1.0,1.0,60.0,-313.3444812906995,23.078289705525684,759.0942440805235,552.2048910064627,4.0
87,87.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,0.9,0.7,25.0,-348.49509797423514,4.435883168136524,502.8136148563663,111.39564096181242,6.0
88,88.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,0.7,60.0,-268.9696680153639,23.078289705525684,604.9366148563663,862.1488307389305,10.0
89,89.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.9,0.9,50.0,-377.4699757487922,16.76690825196367,675.560487672471,585.1085856123715,10.0
90,90.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,55.0,-317.86589298540247,23.078289705525684,794.4181640805233,519.8071787078861,4.0
91,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,50.0,-404.50377244485725,14.616883262425365,692.0421312644187,453.1712795827561,8.0
92,92.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.9,1.0,35.0,-425.87692509884346,4.435883168136524,650.2231640805235,130.80380415115704,8.0
93,93.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.9,0.7,40.0,-299.989392825483,23.078289705525684,654.2526148563663,405.69329469753785,2.0
94,94.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,1.0,0.8,50.0,-315.6094112753528,23.078289705525684,665.2451312644187,666.3187750168108,6.0
95,95.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.9,1.0,45.0,-343.69718367716143,23.078289705525684,781.9663640805235,405.69329469753785,2.0
96,96.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,0.7,55.0,-302.7563550936076,20.369443467053202,604.9366148563663,738.3378044627453,10.0
97,97.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,1.0,1.0,40.0,-460.58173020526095,16.098655575530614,794.4181640805233,431.73428251103377,6.0
98,98.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,0.9,0.9,60.0,-367.036014872444,19.95577521581524,698.432607672471,720.0221203166622,10.0
99,99.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,1.0,1.0,60.0,-192.7372598996296,23.078289705525684,616.1821640805234,438.0910069961145,2.0
100,100.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,45.0,-433.84581832765105,10.457588273626918,707.8466148563664,362.35932491296074,10.0
101,101.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,1.0,0.9,45.0,-419.5416207482481,8.126778234860332,675.560487672471,245.11740728197987,8.0
102,102.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,50.0,-402.9258998815464,22.29896888868372,756.6286476724712,607.2803770234786,6.0
103,103.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.9,1.0,25.0,-467.0648050585476,4.435883168136524,736.2221240805234,91.98747777246781,4.0
104,104.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,1.0,0.8,55.0,-339.7448200121505,19.359945033123836,637.7709712644187,628.3084732156171,8.0
105,105.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,1.0,40.0,-500.40354421775453,4.435883168136524,794.4181640805233,150.21196734050164,10.0
106,106.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,45.0,-380.87853726361027,21.34758413565328,718.3051640805235,604.6508985310101,6.0
107,107.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.7,60.0,-194.0712254457806,23.078289705525684,536.8546148563664,748.0349467285823,8.0
108,108.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,30.0,-476.6994675148486,4.435883168136524,707.8466148563664,136.71170986157688,8.0
109,109.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.8,1.0,0.9,20.0,-481.64688332165224,4.435883168136524,698.432607672471,117.30354667223224,6.0
110,110.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,1.0,0.7,20.0,-384.014062064953,4.435883168136524,570.8956148563664,78.48722029354303,2.0
111,111.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.9,25.0,-411.7006484171735,4.435883168136524,612.4336476724711,130.80380415115704,8.0
112,112.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.9,1.0,40.0,-492.68418259261153,4.435883168136524,781.9663640805235,150.21196734050164,10.0
113,113.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.7,40.0,-412.28878458272175,4.435883168136524,627.4556148563663,150.21196734050164,10.0
114,114.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.8,55.0,-386.64188511942433,13.682790068623277,665.2451312644187,482.6361971464782,10.0
115,115.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,1.0,0.8,50.0,-412.9569369218671,15.319057170482901,718.8391312644187,547.4306891452019,10.0
116,116.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,1.0,40.0,-453.4039771692589,4.435883168136524,718.3051640805235,150.21196734050164,10.0
