,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex,flat
102,102,-59219.1763,0.9,1.0,1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,74.98924646190585,51.35632471218241,25.78089845381149,542.8131888293932,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06016133057436735,14.9255,25.0392,48898.59952947813,1266.5205637183,1697.5360216,8
103,103,-400194.931,0.7,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,85.85493836614242,66.52685287071583,34.37701596537849,925.7637938352503,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.3498,22.8221,52220.45860239386,1247.0499750576,1801.6414635,10
104,104,-415944.7989,0.7,1.0,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,75.69322288710362,57.594879297186104,33.05509598289689,1024.771425823327,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.089,23.2122,53813.280766583,1310.957395734,1307.136014,2
105,105,-190759.472,1.0,1.0,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,95.20864738549176,74.11185258224481,39.958882187367095,1067.2881647451118,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.757,17.0684,74214.86848770991,1331.8052204694,1497.539932,4
106,106,-518999.4222,0.7,0.9,1,30,1.0,2,1,0,0,1,1,1,0,1,1,0,86.9351880941827,66.35312019282627,34.989039218196794,755.2951842911816,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,10.2271,26.3543,55953.03363215373,1540.9085871664,1672.3033657,8
107,107,-133581.3114,0.9,0.8,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,59.047134508791586,41.789660100780054,22.078802382306083,519.477763236013,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8194,20.1872,37457.24352127033,787.8331677988,1418.075821,6
108,108,14082.218,1.0,0.9,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,46.480752406361255,26.841895566688358,27.23711361787755,657.2814916680957,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.24639093024713002,10.356,16.3686,24137.85939542969,425.9221365183,1054.5263134,6
109,109,-99902.6517,1.0,0.9,1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,87.44689856336956,65.18692382406864,34.647234322456825,924.4979085002661,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0017897033232039344,10.0971,20.2103,65082.92066655353,1372.6486592192,1379.9860086,2
110,110,-174015.4361,1.0,0.7,1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,68.80825709606957,51.30521781588962,30.030420907693323,867.4376879395868,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.7947,20.4343,44938.28145625987,962.4613587579,1430.4265525,6
111,111,-39415.8953,0.7,0.7,1,60,0.9,2,1,0,0,1,1,1,0,1,1,0,57.37791494199678,35.37520728326387,25.858711043046114,652.8511722825019,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06095766995998465,11.0694,28.5186,29788.378533212108,892.8551975124,1241.0281708,6
