n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
35,35.0,1.0,1.0,2.0,2.0,0.7,2.0,2.0,0.7,0.8,0.7,55.0,-243.08079790452675,23.078289705525684,599.9814548563663,685.4702727989647
36,36.0,1.0,1.0,2.0,2.0,0.7,3.0,1.0,0.9,0.7,0.7,55.0,-256.7305361467131,23.078289705525684,570.8956148563664,653.0725605003879
37,37.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0,0.9,0.7,0.8,65.0,-319.6495437119764,23.078289705525684,718.8391312644187,531.2758249545732
38,38.0,1.0,1.0,2.0,2.0,0.6,3.0,1.0,0.7,0.9,1.0,65.0,-218.73084099247941,23.078289705525684,616.1821640805234,656.9696173246339
39,39.0,1.0,1.0,2.0,2.0,0.7,2.0,2.0,0.8,1.0,1.0,55.0,-411.56020256410113,16.098655575530614,736.2221240805234,474.0773757073737
40,40.0,1.0,1.0,2.0,2.0,0.2,3.0,2.0,0.7,1.0,0.7,55.0,-128.0323348858926,23.078289705525684,502.8136148563663,445.773858531581
41,41.0,1.0,1.0,2.0,2.0,0.7,1.0,1.0,0.7,1.0,1.0,65.0,-395.57777334793707,19.10304629375288,740.8241640805232,587.3511628635546
42,42.0,1.0,1.0,2.0,2.0,0.4,1.0,2.0,1.0,0.9,0.8,55.0,-358.5358312983835,23.078289705525684,745.6361312644187,535.1728817788191
43,43.0,1.0,1.0,2.0,2.0,0.8,1.0,1.0,0.9,0.8,0.9,55.0,-358.5358312983835,23.078289705525684,745.6361312644187,535.1728817788191
44,44.0,1.0,1.0,2.0,2.0,0.8,1.0,1.0,0.9,1.0,0.8,55.0,-358.5358312983835,23.078289705525684,745.6361312644187,535.1728817788191
45,45.0,1.0,1.0,2.0,2.0,0.6,2.0,1.0,0.8,0.7,1.0,55.0,-339.898819993171,23.078289705525684,736.2221240805234,592.1741927274807
46,46.0,1.0,1.0,2.0,2.0,0.8,3.0,2.0,0.9,0.9,1.0,45.0,-425.39922642493667,8.126778234860332,684.2641640805234,229.1388022306273
47,47.0,1.0,1.0,2.0,2.0,0.2,1.0,1.0,0.7,0.9,0.9,45.0,-337.6366508031114,23.078289705525684,703.0346476724711,413.3761462330045
48,48.0,1.0,1.0,2.0,2.0,0.4,2.0,1.0,0.8,0.7,0.7,45.0,-337.6366508031114,23.078289705525684,703.0346476724711,413.3761462330045
49,49.0,1.0,1.0,2.0,2.0,0.9,1.0,2.0,0.8,0.9,0.9,55.0,-337.6366508031114,23.078289705525684,703.0346476724711,413.3761462330045
50,50.0,1.0,1.0,2.0,2.0,0.4,1.0,1.0,0.8,0.7,0.9,55.0,-302.2946005997028,23.078289705525684,729.8316476724711,470.3774571816659
51,51.0,1.0,1.0,2.0,2.0,0.6,2.0,1.0,0.9,0.7,0.9,55.0,-390.86161261726744,19.95577521581524,721.304727672471,489.8206791722217
52,52.0,1.0,1.0,2.0,2.0,0.1,3.0,1.0,0.9,0.8,0.8,55.0,-245.72583552396995,23.078289705525684,608.6851312644187,320.08006616152045
53,53.0,1.0,1.0,2.0,2.0,0.3,3.0,1.0,0.9,0.8,1.0,65.0,-203.0469942494363,23.078289705525684,684.2641640805234,441.8768017073352
54,54.0,1.0,1.0,2.0,2.0,0.2,1.0,1.0,0.7,1.0,0.8,55.0,-316.82997024048683,23.078289705525684,665.2451312644187,445.773858531581
55,55.0,1.0,1.0,2.0,2.0,0.7,1.0,1.0,1.0,0.9,0.8,55.0,-316.82997024048683,23.078289705525684,665.2451312644187,445.773858531581
56,56.0,1.0,1.0,2.0,2.0,0.8,3.0,1.0,0.7,0.9,0.8,65.0,-316.82997024048683,23.078289705525684,665.2451312644187,445.773858531581
57,57.0,1.0,1.0,2.0,2.0,0.1,3.0,1.0,0.9,0.8,0.8,55.0,-316.82997024048683,23.078289705525684,665.2451312644187,445.773858531581
58,58.0,1.0,1.0,2.0,2.0,0.3,3.0,1.0,0.7,0.9,1.0,55.0,-293.48249045719064,23.078289705525684,616.1821640805234,474.2745140059118
59,59.0,1.0,1.0,2.0,2.0,0.8,2.0,2.0,0.9,0.9,0.7,45.0,-293.48249045719064,23.078289705525684,616.1821640805234,474.2745140059118
60,60.0,1.0,1.0,2.0,2.0,0.4,3.0,1.0,0.9,0.8,0.9,55.0,-293.48249045719064,23.078289705525684,616.1821640805234,474.2745140059118
61,61.0,1.0,1.0,2.0,2.0,0.4,1.0,2.0,0.9,1.0,0.7,55.0,-328.8542465731122,23.078289705525684,681.0496148563664,567.5705940773958
62,62.0,1.0,1.0,2.0,2.0,0.4,3.0,1.0,0.8,1.0,0.7,55.0,-213.4330805249797,23.078289705525684,536.8546148563664,567.5705940773958
63,63.0,1.0,1.0,2.0,2.0,0.4,1.0,1.0,0.8,1.0,0.7,55.0,-345.0848148994055,21.34758413565328,654.2526148563663,513.2896307532426
64,64.0,1.0,1.0,2.0,2.0,0.5,2.0,2.0,1.0,0.9,0.8,55.0,-351.41400318339026,23.078289705525684,706.3873312644187,596.0712495517265
65,65.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.8,1.0,0.9,55.0,-390.3588656875915,16.098655575530614,729.8316476724711,587.0966012805922
66,66.0,1.0,1.0,2.0,2.0,0.5,3.0,2.0,0.8,0.9,1.0,55.0,-248.1793937228003,23.078289705525684,650.2231640805235,596.0712495517265
67,67.0,1.0,1.0,2.0,2.0,0.9,2.0,2.0,0.9,1.0,1.0,45.0,-482.8454347001734,4.435883168136524,759.0942440805235,141.26812398685178
68,68.0,1.0,1.0,2.0,2.0,0.7,2.0,1.0,0.8,0.8,0.9,55.0,-401.1195138375782,14.616883262425365,698.432607672471,383.97385308557546
69,69.0,1.0,1.0,2.0,2.0,0.4,3.0,2.0,0.9,0.9,0.7,65.0,-133.7089730722513,23.078289705525684,570.8956148563664,535.1728817788191
70,70.0,1.0,1.0,2.0,2.0,0.3,3.0,2.0,0.7,0.7,0.8,45.0,-195.2463517028919,23.078289705525684,540.6031312644187,409.47908940875857
71,71.0,1.0,1.0,2.0,2.0,0.6,3.0,2.0,0.9,0.7,0.9,55.0,-312.00579342396605,23.078289705525684,646.4746476724711,592.1741927274807
72,72.0,1.0,1.0,2.0,2.0,0.9,1.0,2.0,0.9,0.7,0.7,65.0,-250.7992894887712,23.078289705525684,681.0496148563664,774.8692960462029
73,73.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.7,0.8,65.0,-389.336144442675,18.312927771802244,745.6361312644187,617.2844365663798
74,74.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.9,55.0,-452.93469480788707,10.930340600310041,744.1768476724711,371.03694634939416
75,75.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.7,0.7,0.9,55.0,-452.93469480788707,10.930340600310041,744.1768476724711,371.03694634939416
76,76.0,1.0,1.0,2.0,2.0,0.3,1.0,2.0,0.8,1.0,0.9,55.0,-340.814463416874,23.078289705525684,729.8316476724711,506.6722263044884
77,77.0,1.0,1.0,2.0,2.0,0.1,3.0,1.0,0.9,0.7,0.8,65.0,-132.2024556742576,23.078289705525684,608.6851312644187,287.6823538629437
78,78.0,1.0,1.0,2.0,2.0,0.4,2.0,1.0,1.0,1.0,0.8,45.0,-384.43218939873105,19.359945033123836,706.3873312644187,453.29223485672986
79,79.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.7,0.7,65.0,-325.4978629292097,23.078289705525684,707.8466148563664,835.76766381911
80,80.0,1.0,1.0,2.0,2.0,0.9,1.0,1.0,0.8,0.7,0.9,55.0,-437.2176077261023,10.930340600310041,729.8316476724711,306.2452938997563
81,81.0,1.0,1.0,2.0,2.0,0.7,3.0,2.0,0.9,0.7,0.7,55.0,-283.73792183620617,21.34758413565328,570.8956148563664,589.4643331279703
82,82.0,1.0,1.0,2.0,2.0,0.7,3.0,1.0,0.8,0.7,0.9,55.0,-281.48893891959307,23.078289705525684,612.4336476724711,653.0725605003879
83,83.0,1.0,1.0,2.0,2.0,0.2,1.0,1.0,0.9,0.7,1.0,65.0,-242.1130377381887,23.078289705525684,794.4181640805233,348.5807216358511
84,84.0,1.0,1.0,2.0,2.0,0.4,3.0,2.0,1.0,0.7,0.9,45.0,-297.5417722106461,23.078289705525684,680.515647672471,470.3774571816659
85,85.0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.9,0.7,55.0,-352.85448963157745,23.078289705525684,707.8466148563664,596.0712495517265
86,86.0,1.0,1.0,2.0,2.0,0.4,3.0,1.0,0.8,0.9,0.7,45.0,-270.98454235059074,21.34758413565328,536.8546148563664,483.88081925893744
87,87.0,1.0,1.0,2.0,2.0,0.5,1.0,1.0,0.8,1.0,0.8,45.0,-428.1528201689137,10.457588273626918,692.0421312644187,243.15462678044457
88,88.0,1.0,1.0,2.0,2.0,0.4,3.0,2.0,0.8,1.0,0.9,55.0,-217.90027548737922,23.078289705525684,612.4336476724711,567.5705940773958
89,89.0,1.0,1.0,2.0,2.0,0.5,2.0,2.0,1.0,0.7,0.8,55.0,-264.30072078154734,23.078289705525684,706.3873312644187,531.2758249545732
90,90.0,1.0,1.0,2.0,2.0,0.6,1.0,1.0,1.0,0.7,0.8,45.0,-452.2834137853512,10.930340600310041,745.6361312644187,236.46614671698586
91,91.0,1.0,1.0,2.0,2.0,0.5,3.0,1.0,0.8,0.8,0.7,65.0,-151.42361623901303,23.078289705525684,536.8546148563664,563.6735372531499
92,92.0,1.0,1.0,2.0,2.0,0.6,3.0,2.0,0.9,0.9,1.0,65.0,-220.24891306125926,23.078289705525684,684.2641640805234,656.9696173246339
93,93.0,1.0,1.0,2.0,2.0,0.1,2.0,2.0,0.7,0.9,0.7,55.0,-217.9906197162328,23.078289705525684,599.9814548563663,352.4777784600971
94,94.0,1.0,1.0,2.0,2.0,0.4,3.0,2.0,0.7,0.7,0.9,55.0,-236.19630443343777,23.078289705525684,578.3926476724711,470.3774571816659
95,95.0,1.0,1.0,2.0,2.0,0.3,2.0,2.0,0.7,0.8,0.9,55.0,-288.1513889081479,23.078289705525684,675.560487672471,441.8768017073352
96,96.0,1.0,1.0,2.0,2.0,0.6,2.0,2.0,0.8,1.0,0.8,55.0,-350.25166023626076,19.359945033123836,660.6430912644187,549.4044896488167
97,97.0,1.0,1.0,2.0,2.0,0.2,3.0,2.0,1.0,0.8,0.9,55.0,-207.7049288112902,23.078289705525684,680.515647672471,380.9784339344278
98,98.0,1.0,1.0,2.0,2.0,0.8,3.0,1.0,1.0,0.9,0.8,55.0,-336.277062327694,17.228584059626538,642.7261312644187,534.045056306312
99,99.0,1.0,1.0,2.0,2.0,0.6,1.0,1.0,1.0,0.7,1.0,55.0,-451.9455145474651,19.95577521581524,821.2151640805233,489.8206791722217
100,100.0,1.0,1.0,2.0,2.0,0.3,2.0,1.0,0.9,0.8,0.9,55.0,-289.4998153267723,23.078289705525684,721.304727672471,441.8768017073352
101,101.0,1.0,1.0,2.0,2.0,0.1,1.0,1.0,0.7,0.9,1.0,55.0,-335.69027549787006,23.078289705525684,740.8241640805232,352.4777784600971
102,102.0,1.0,1.0,2.0,2.0,0.5,2.0,2.0,0.7,0.8,0.7,65.0,-154.46195275553032,23.078289705525684,599.9814548563663,563.6735372531499
103,103.0,1.0,1.0,2.0,2.0,0.7,1.0,1.0,0.9,0.7,1.0,45.0,-457.568016289901,14.41242483950786,794.4181640805233,358.9563680282018
104,104.0,1.0,1.0,2.0,2.0,0.4,2.0,2.0,1.0,0.8,0.8,55.0,-324.7113158174733,23.078289705525684,706.3873312644187,502.7751694802426
105,105.0,1.0,1.0,2.0,2.0,0.8,1.0,2.0,1.0,0.8,0.9,65.0,-387.4368788991242,23.078289705525684,783.425647672471,746.368640571872
106,106.0,1.0,1.0,2.0,2.0,0.8,1.0,2.0,0.8,1.0,0.8,55.0,-399.1721871967715,13.682790068623277,692.0421312644187,420.6102192593816
107,107.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.9,0.7,0.8,55.0,-399.1721871967715,13.682790068623277,692.0421312644187,420.6102192593816
