n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
36,36.0,1.0,1.0,2.0,0.7,3.0,1.0,0.7,0.7,0.9,0.7,55.0,-655.2837030874464,97.69713597956785,2472.975420423627,2360.0461621054596
37,37.0,1.0,1.0,2.0,0.5,1.0,1.0,0.8,0.8,0.9,0.7,65.0,-859.2100260168102,130.58794234320223,3466.655480484145,2982.5144363875947
38,38.0,1.0,1.0,2.0,0.6,3.0,1.0,1.0,1.0,0.7,0.9,65.0,-346.38581851990006,130.58794234320223,2672.0166006051813,3656.4887370223314
39,39.0,1.0,1.0,2.0,0.7,2.0,2.0,1.0,1.0,0.8,1.0,55.0,-1195.4882023503505,79.01200480610302,3274.7893206051813,1812.2218958784879
40,40.0,1.0,1.0,2.0,0.2,3.0,2.0,0.7,0.7,0.7,1.0,55.0,50.90976151751617,130.58794234320223,2179.539420423627,2122.6627348416546
41,41.0,1.0,1.0,2.0,0.7,1.0,1.0,1.0,1.0,0.7,1.0,65.0,-1072.7370835515962,90.2139868922699,3317.199600605181,2276.9783885031716
42,42.0,1.0,1.0,2.0,0.4,1.0,2.0,0.8,0.8,1.0,0.9,55.0,-1096.6407114138758,130.58794234320223,3705.542480484145,2825.016224800978
43,43.0,1.0,1.0,2.0,0.8,1.0,1.0,0.9,0.9,0.9,0.8,55.0,-1609.0914460564666,73.94929829919676,3630.8145405446635,1680.4472557411502
44,44.0,1.0,1.0,2.0,0.8,1.0,1.0,0.8,0.8,0.9,1.0,55.0,-1582.2014445147875,68.90193226572049,3466.655480484145,1602.222827032355
45,45.0,1.0,1.0,2.0,0.6,2.0,1.0,1.0,1.0,0.8,0.7,55.0,-947.5788114784344,119.96669715945328,3274.7893206051813,2958.6248491157594
46,46.0,1.0,1.0,2.0,0.8,3.0,2.0,1.0,1.0,0.9,0.9,45.0,-1349.1805516999486,63.93268598001005,2965.452600605181,1391.815241562431
47,47.0,1.0,1.0,2.0,0.2,1.0,1.0,0.9,0.9,0.7,0.9,45.0,-903.8770929335243,130.58794234320223,3153.0405405446627,1993.5437125796243
48,48.0,1.0,1.0,2.0,0.4,2.0,1.0,0.7,0.7,0.8,0.7,45.0,-889.5605262572941,123.94374175228508,2782.312140423627,2356.7133049312297
49,49.0,1.0,1.0,2.0,0.9,1.0,2.0,0.9,0.9,0.8,0.9,55.0,-1407.7080691455355,74.54606869299404,3391.9275405446633,1914.2652504359296
50,50.0,1.0,1.0,2.0,0.4,1.0,1.0,0.9,0.9,0.8,0.7,55.0,-804.8853320018461,130.58794234320223,3391.9275405446633,2566.7781802769177
51,51.0,1.0,1.0,2.0,0.6,2.0,1.0,0.9,0.9,0.9,0.7,55.0,-1230.3400499847878,90.2139868922699,3314.3551005446634,1839.7432269498067
52,52.0,1.0,1.0,2.0,0.1,3.0,1.0,0.8,0.8,0.9,0.8,55.0,-351.36816909534366,130.58794234320223,2637.1344804841456,1448.6884342069175
53,53.0,1.0,1.0,2.0,0.3,3.0,1.0,1.0,1.0,0.9,0.8,65.0,-177.80193886591144,130.58794234320223,2965.452600605181,2280.160946428271
54,54.0,1.0,1.0,2.0,0.2,1.0,1.0,0.8,0.8,0.7,1.0,55.0,-694.046941568118,130.58794234320223,2988.881480484145,2122.6627348416546
55,55.0,1.0,1.0,2.0,0.7,1.0,1.0,0.8,0.8,1.0,0.9,55.0,-1424.7906780349572,84.26963300998734,3705.542480484145,1962.1314659160262
56,56.0,1.0,1.0,2.0,0.8,3.0,1.0,0.8,0.8,0.7,0.9,65.0,-606.6708715620571,81.17930207352828,2343.698480484145,2024.4443352945295
57,57.0,1.0,1.0,2.0,0.1,3.0,1.0,0.8,0.8,0.9,0.8,55.0,-182.26083416445948,130.58794234320223,2637.1344804841456,1448.6884342069175
58,58.0,1.0,1.0,2.0,0.3,3.0,1.0,1.0,1.0,0.7,0.9,55.0,-567.531927163534,130.58794234320223,2672.0166006051813,2409.279968690301
59,59.0,1.0,1.0,2.0,0.8,2.0,2.0,0.7,0.7,0.9,0.9,45.0,-1252.45624185693,74.54606869299404,2986.036980423627,1754.0556283649212
60,60.0,1.0,1.0,2.0,0.4,3.0,1.0,0.9,0.9,0.9,0.8,55.0,-532.2418525367503,130.58794234320223,2801.2935405446633,2695.897202538948
61,61.0,1.0,1.0,2.0,0.4,1.0,2.0,0.7,0.7,0.9,1.0,55.0,-923.49091604432,130.58794234320223,3302.496420423627,2954.135247063008
62,62.0,1.0,1.0,2.0,0.4,3.0,1.0,0.7,0.7,0.8,1.0,55.0,-385.6547476989973,130.58794234320223,2326.257420423627,2954.135247063008
63,63.0,1.0,1.0,2.0,0.4,1.0,1.0,0.7,0.7,0.8,1.0,55.0,-984.0496603171872,119.96669715945328,3063.6094204236274,2570.670165925655
64,64.0,1.0,1.0,2.0,0.5,2.0,2.0,0.8,0.8,1.0,0.9,55.0,-1012.8520198773709,127.66028995263277,3353.920880484145,3122.738720336279
65,65.0,1.0,1.0,2.0,1.0,1.0,2.0,0.9,0.9,0.8,1.0,55.0,-1298.937248258177,76.83579636842755,3391.9275405446633,2230.448946744862
66,66.0,1.0,1.0,2.0,0.5,3.0,2.0,1.0,1.0,0.8,0.9,55.0,-468.5072476416742,130.58794234320223,2818.734600605181,3240.752480911655
67,67.0,1.0,1.0,2.0,0.9,2.0,2.0,1.0,1.0,0.9,1.0,45.0,-1730.80789025328,58.508503492874055,3478.514160605181,1375.6026122407486
68,68.0,1.0,1.0,2.0,0.7,2.0,1.0,0.9,0.9,0.8,0.8,55.0,-1225.4689712397883,77.404691278589,3110.630260544663,1637.2120226337122
69,69.0,1.0,1.0,2.0,0.4,3.0,2.0,0.7,0.7,0.9,0.9,65.0,63.183033878808985,130.58794234320223,2472.975420423627,2825.016224800978
70,70.0,1.0,1.0,2.0,0.3,3.0,2.0,0.8,0.8,0.7,0.7,45.0,-327.16317166491217,130.58794234320223,2343.698480484145,2151.041924166241
71,71.0,1.0,1.0,2.0,0.6,3.0,2.0,0.9,0.9,0.9,0.7,55.0,-728.7470137674279,115.69454427575643,2801.2935405446633,2787.1379118847613
72,72.0,1.0,1.0,2.0,0.9,1.0,2.0,0.7,0.7,0.9,0.7,65.0,-763.8883822622042,118.9423742018294,3302.496420423627,3988.661538201384
73,73.0,1.0,1.0,2.0,1.0,1.0,2.0,0.8,0.8,1.0,0.7,65.0,-1344.6815018819398,77.9143539830844,3705.542480484145,2116.5839612843088
74,74.0,1.0,1.0,2.0,1.0,2.0,2.0,0.9,0.9,1.0,1.0,55.0,-1579.0142593486212,63.93268598001005,3518.0799405446633,1687.5711170375644
75,75.0,1.0,1.0,2.0,1.0,2.0,2.0,0.9,0.9,0.7,0.7,55.0,-1146.025219340045,70.85427533892505,2906.9054205446632,1822.8542985845722
76,76.0,1.0,1.0,2.0,0.3,1.0,2.0,0.9,0.9,0.8,1.0,55.0,-825.566888164261,130.58794234320223,3391.9275405446633,2538.398990952331
77,77.0,1.0,1.0,2.0,0.1,3.0,1.0,0.8,0.8,0.9,0.7,65.0,143.70439051651533,130.58794234320223,2637.1344804841456,1319.5694119448876
78,78.0,1.0,1.0,2.0,0.4,2.0,1.0,0.8,0.8,1.0,1.0,45.0,-1333.8050326748446,99.04983837448052,3353.920880484145,1875.419096127356
79,79.0,1.0,1.0,2.0,1.0,1.0,1.0,0.7,0.7,1.0,0.7,65.0,-1196.162208479255,82.74649910419797,3541.383420423627,2352.4717332831874
80,80.0,1.0,1.0,2.0,0.9,1.0,1.0,0.9,0.9,0.8,0.7,55.0,-1520.1906317810392,68.90193226572049,3391.9275405446633,1604.7141682449471
81,81.0,1.0,1.0,2.0,0.7,3.0,2.0,0.7,0.7,0.9,0.7,55.0,-682.5713588116474,95.436170704721,2472.975420423627,2269.1810887325983
82,82.0,1.0,1.0,2.0,0.7,3.0,1.0,0.9,0.9,0.8,0.7,55.0,-725.2190531838619,97.69713597956785,2654.5755405446635,2360.0461621054596
83,83.0,1.0,1.0,2.0,0.2,1.0,1.0,1.0,1.0,0.9,0.7,65.0,-463.50934647396474,130.58794234320223,3794.973600605181,1735.3056680555642
84,84.0,1.0,1.0,2.0,0.4,3.0,2.0,0.9,0.9,1.0,0.7,45.0,-731.0712567603989,130.58794234320223,2948.011540544663,2566.7781802769177
85,85.0,1.0,1.0,2.0,0.5,1.0,2.0,0.7,0.7,1.0,0.9,55.0,-1137.8130047609486,127.66028995263277,3541.383420423627,3122.738720336279
86,86.0,1.0,1.0,2.0,0.4,3.0,1.0,0.7,0.7,0.8,0.9,45.0,-706.3225456948552,106.29108532121222,2326.257420423627,2013.6914606638097
