n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
35,35.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.1,0.8,0.8,1.0,55.0,157.971941043251,107.28334889774962,580.1240922247281,685.8767165707904
36,36.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.2,0.8,0.7,0.8,55.0,450.47863023872173,107.28334889774962,440.10558069663705,920.6166193633405
37,37.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.4,0.8,0.7,1.0,55.0,430.39333840672066,107.28334889774962,440.10558069663705,1615.664831837561
38,38.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.9,0.9,1.0,1.0,45.0,-608.8798673930754,51.036069720851245,692.7701152809101,1428.9270945828498
39,39.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.8,0.7,0.8,1.0,65.0,303.3040082350851,107.28334889774962,547.7390922247281,2855.3823188599213
40,40.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.5,0.8,0.7,0.9,65.0,73.36489583771431,107.28334889774962,539.9935806966371,1887.9994691116308
41,41.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.8,0.8,1.0,0.7,65.0,-179.6801418459118,107.28334889774962,622.27983528091,2742.598115415361
42,42.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.9,0.7,0.7,0.9,55.0,-245.0126830735202,99.76824155002387,474.266460696637,2861.671027459584
43,43.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.7,1.0,1.0,1.0,55.0,-183.89328927317467,107.28334889774962,600.2951152809101,2545.452947104331
44,44.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.2,0.8,1.0,0.7,65.0,328.09212213509767,107.28334889774962,660.3851152809101,883.0218848818206
45,45.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.7,0.8,0.7,45.0,-530.4284314333456,22.074667526002244,460.33709222472805,758.4495830009824
46,46.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.6,0.7,0.7,0.8,55.0,122.04982315005758,107.28334889774962,507.60858069663703,2160.3341063857015
47,47.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.9,55.0,-322.31579705617327,104.08422941240883,725.1551152809101,3307.140610088456
48,48.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.8,0.7,0.7,0.8,65.0,263.8262486380461,107.28334889774962,420.20658069663705,2780.1928498968814
49,49.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.1,1.0,0.9,1.0,55.0,515.837046137723,107.28334889774962,637.393003752819,685.8767165707904
50,50.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.9,0.9,0.9,0.8,45.0,-376.17299577977974,77.24738678725944,540.2656037528191,2125.3557983153937
51,51.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,0.8,65.0,-2.9731353958829976,107.28334889774962,609.7711637528191,3400.0515934080613
52,52.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.5,0.8,1.0,0.7,55.0,168.5834555661502,107.28334889774962,560.4971152809101,1812.810000148591
53,53.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.7,0.8,1.0,0.9,55.0,-56.73755909777551,107.28334889774962,660.3851152809101,2507.8582126228116
54,54.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.5,0.9,0.7,0.9,45.0,82.30532323037522,107.28334889774962,529.5101406966371,1887.9994691116308
55,55.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.7,0.7,0.9,55.0,-119.36535835828482,104.08422941240883,420.20658069663705,3307.140610088456
56,56.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.9,0.8,1.0,1.0,55.0,-187.28473980145955,107.28334889774962,622.27983528091,3165.3116906155115
57,57.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.6,0.8,0.9,0.9,55.0,65.76840724840784,107.28334889774962,582.149323752819,2197.928840867221
58,58.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.6,1.0,0.9,0.8,55.0,-117.70336080384861,107.28334889774962,637.393003752819,2160.3341063857015
59,59.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.8,0.9,0.9,0.7,45.0,-169.6950787571462,107.28334889774962,609.7711637528191,2742.598115415361
60,60.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.8,0.9,1.0,1.0,55.0,-131.66048876870244,107.28334889774962,649.90167528091,2855.3823188599213
61,61.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.9,0.8,0.9,0.9,65.0,-140.90114394000022,107.28334889774962,582.149323752819,3127.7169561339915
