n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
2749,2749.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.7,0.9,0.9,60.0,-286.69271614756894,23.078289705525684,675.560487672471,519.8071787078861,4.0
2750,2750.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.9,1.0,0.9,20.0,-498.4065465587633,4.435883168136524,721.304727672471,136.71170986157688,8.0
2751,2751.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.7,30.0,-462.5504242935351,4.435883168136524,668.5978148563663,156.1198730509215,10.0
2752,2752.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.8,0.9,0.7,40.0,-401.0308809818843,4.435883168136524,622.8535748563663,130.80380415115704,8.0
2753,2753.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.8,1.0,1.0,40.0,-357.1290014877345,21.34758413565328,650.2231640805235,397.60904280570435,2.0
2754,2754.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.9,0.9,1.0,50.0,-462.5300830451245,16.95437678922671,794.4181640805233,514.360414751726,8.0
2755,2755.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,0.9,0.7,45.0,-302.65101505634544,23.078289705525684,604.9366148563663,633.9210627182342,6.0
2756,2756.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.9,1.0,0.7,20.0,-475.53632231829357,4.435883168136524,681.0496148563664,136.71170986157688,8.0
2757,2757.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.8,0.9,0.7,55.0,-177.7372939127591,23.078289705525684,536.8546148563664,405.69329469753785,2.0
2758,2758.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.9,0.9,1.0,25.0,-522.3690687974437,4.435883168136524,794.4181640805233,111.39564096181242,6.0
2759,2759.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.8,0.9,0.7,45.0,-234.12404748089622,23.078289705525684,536.8546148563664,405.69329469753785,2.0
2760,2760.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.7,0.9,0.7,45.0,-390.9968885382924,4.435883168136524,599.9814548563663,150.21196734050164,10.0
2761,2761.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.7,0.9,0.7,25.0,-368.6409770512826,4.435883168136524,502.8136148563663,150.21196734050164,10.0
2762,2762.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.8,0.9,0.9,45.0,-448.7523686752494,8.126778234860332,729.8316476724711,270.2947056586754,10.0
2763,2763.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.9,0.9,1.0,45.0,-336.50493824938684,23.078289705525684,684.2641640805234,405.69329469753785,2.0
2764,2764.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.8,0.9,0.7,30.0,-417.25074627034843,4.435883168136524,654.2526148563663,111.39564096181242,6.0
2765,2765.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,0.8,30.0,-474.92574341246734,4.435883168136524,745.6361312644187,72.57931458312319,2.0
2766,2766.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.9,0.7,20.0,-478.83043604718154,4.435883168136524,707.8466148563664,111.39564096181242,6.0
2767,2767.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.8,1.0,0.7,55.0,-403.19325250044125,11.036907577547803,654.2526148563663,334.63593136259385,8.0
2768,2768.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.9,55.0,-430.2927207776441,17.228584059626538,744.1768476724711,467.0086083806954,6.0
2769,2769.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.7,0.9,1.0,40.0,-334.87587269385267,23.078289705525684,713.3500040805234,405.69329469753785,2.0
2770,2770.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.8,1.0,0.7,55.0,-257.8626835199154,23.078289705525684,622.8535748563663,438.0910069961145,2.0
2771,2771.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.7,0.9,0.8,55.0,-313.68271862235764,23.078289705525684,665.2451312644187,633.9210627182342,6.0
2772,2772.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.9,1.0,0.7,40.0,-378.58142473620137,15.616849859709033,645.7256948563663,345.73330841108884,4.0
2773,2773.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.8,0.9,0.8,20.0,-449.22232457372,4.435883168136524,660.6430912644187,91.98747777246781,4.0
2774,2774.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.9,0.9,0.7,35.0,-370.1536633161581,18.312927771802244,645.7256948563663,305.7502332188184,2.0
2775,2775.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.9,0.7,60.0,-406.24793306364757,16.098655575530614,707.8466148563664,558.276653001494,10.0
2776,2776.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.9,1.0,0.9,35.0,-386.2080618070475,13.682790068623277,646.4746476724711,236.9964340002603,2.0
2777,2777.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.9,0.9,0.8,30.0,-444.1845616441724,8.126778234860332,718.8391312644187,163.81819329104644,4.0
2778,2778.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.7,1.0,0.7,50.0,-271.30539164507917,17.228584059626538,502.8136148563663,467.0086083806954,6.0
2779,2779.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.8,35.0,-474.4118250055424,4.435883168136524,706.3873312644187,156.1198730509215,10.0
2780,2780.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.9,0.9,60.0,-275.9962948761833,23.078289705525684,744.1768476724711,405.69329469753785,2.0
2781,2781.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.8,0.9,0.7,45.0,-332.11335638438516,11.036907577547803,536.8546148563664,271.9608603773859,6.0
2782,2782.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.9,0.9,0.7,20.0,-470.7400697363518,4.435883168136524,645.7256948563663,150.21196734050164,10.0
2783,2783.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.9,0.9,0.8,50.0,-366.5369937231833,19.359945033123836,683.5152112644187,602.2017006883616,8.0
2784,2784.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,0.7,30.0,-411.9302851698107,4.435883168136524,604.9366148563663,136.71170986157688,8.0
2785,2785.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.9,0.9,1.0,60.0,-291.02683902330773,23.078289705525684,684.2641640805234,633.9210627182342,6.0
2786,2786.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.8,0.9,0.9,40.0,-444.62699691923535,12.39118903747125,729.8316476724711,307.37050765110723,6.0
2787,2787.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.7,1.0,0.7,40.0,-419.39107938745457,4.435883168136524,627.4556148563663,156.1198730509215,10.0
2788,2788.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.9,1.0,0.8,25.0,-422.93224936174965,4.435883168136524,608.6851312644187,156.1198730509215,10.0
2789,2789.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.9,0.9,50.0,-348.32325642416964,23.078289705525684,744.1768476724711,405.69329469753785,2.0
2790,2790.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.7,0.9,0.9,55.0,-329.4966096892762,23.078289705525684,675.560487672471,748.0349467285823,8.0
2791,2791.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.9,0.9,0.7,20.0,-457.10168522830395,4.435883168136524,645.7256948563663,130.80380415115704,8.0
