n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
30,30.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,0.8,0.9,1.0,25.0,-816.2317389563009,22.074667526002244,620.254603752819,836.9179696662056,10.0
31,31.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.9,50.0,-606.4356552912648,78.23144437675305,677.52351528091,2378.57693088861,10.0
32,32.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.7,0.9,1.0,55.0,250.23552959099624,107.28334889774962,500.4676037528191,2149.82971560876,6.0
33,33.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.9,0.9,0.9,45.0,289.8063297278386,107.28334889774962,540.2656037528191,929.6467339315336,2.0
34,34.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.8,1.0,60.0,411.2826845686457,107.28334889774962,644.8940922247282,1558.5355920109073,4.0
35,35.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.7,0.8,0.9,60.0,504.90882921813716,107.28334889774962,514.3969722247281,1520.9408575293871,4.0
36,36.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.9,0.7,0.9,50.0,4.380758504833794,107.28334889774962,529.5101406966371,1520.9408575293871,4.0
37,37.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.7,0.7,0.9,20.0,-372.86976174747923,22.074667526002244,420.20658069663705,221.9666655190702,2.0
38,38.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.8,0.8,0.9,35.0,-513.8176135036364,22.074667526002244,480.2360922247281,677.3319573880829,8.0
39,39.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7,0.9,1.0,50.0,-383.1419215901646,103.27775006678681,587.869603752819,3188.103441847552,10.0
40,40.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.8,0.9,1.0,55.0,-524.4031643165923,37.369367951320605,520.3666037528191,1244.3367942678058,10.0
41,41.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8,1.0,50.0,-215.5158830864392,107.28334889774962,597.2624922247281,2741.1238392066134,8.0
42,42.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.7,0.7,1.0,45.0,-222.56853556286688,107.28334889774962,507.60858069663703,2149.82971560876,6.0
43,43.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,0.8,0.8,1.0,50.0,-35.75806781567033,107.28334889774962,542.0188122247281,2741.1238392066134,8.0
44,44.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.7,0.7,1.0,25.0,-540.663481974382,22.074667526002244,474.266460696637,533.3411084201972,6.0
45,45.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.8,0.8,0.9,50.0,302.9965417942859,107.28334889774962,480.2360922247281,929.6467339315336,2.0
46,46.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,0.8,1.0,0.9,30.0,-633.2420263708509,22.074667526002244,560.4971152809101,677.3319573880829,8.0
47,47.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,1.0,50.0,-97.86741350027745,107.28334889774962,637.393003752819,2741.1238392066134,8.0
48,48.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.8,0.9,60.0,-354.88298695719396,106.10900631115182,644.8940922247282,3251.596814106599,10.0
49,49.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,45.0,-339.6296800059432,107.28334889774962,692.7701152809101,2112.23498112724,6.0
50,50.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,0.7,0.7,0.9,55.0,452.2483855559045,107.28334889774962,420.20658069663705,1520.9408575293871,4.0
51,51.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.7,1.0,0.9,45.0,-468.01047814985674,98.85987866875949,594.65799528091,2468.373039537723,8.0
52,52.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.9,0.8,1.0,45.0,-281.8428343071848,104.90280256184363,500.1350922247281,3245.0612127519466,10.0
53,53.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.7,0.9,50.0,-291.2012773757254,104.08422941240883,479.9035806966371,3179.8748950403933,10.0
54,54.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.9,0.7,0.9,50.0,-278.1556131472632,107.28334889774962,572.3785806966371,2112.23498112724,6.0
55,55.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.7,0.7,1.0,60.0,-161.0814891463058,107.28334889774962,420.20658069663705,2741.1238392066134,8.0
56,56.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.9,0.9,1.0,35.0,-683.7990119600285,22.074667526002244,609.7711637528191,685.1295390432012,8.0
57,57.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.7,0.8,1.0,55.0,243.75011553422874,107.28334889774962,514.3969722247281,1558.5355920109073,4.0
58,58.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.9,0.7,0.9,25.0,-668.2529760611075,22.074667526002244,529.5101406966371,677.3319573880829,8.0
59,59.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.9,0.8,1.0,50.0,-8.34991119994507,107.28334889774962,500.1350922247281,2741.1238392066134,8.0
60,60.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,0.9,1.0,1.0,35.0,-308.58646090421905,107.28334889774962,649.90167528091,1558.5355920109073,4.0
61,61.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.8,1.0,0.9,40.0,-347.4068214100346,107.28334889774962,622.27983528091,1520.9408575293871,4.0
62,62.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.8,0.8,0.9,60.0,36.31276426644032,107.28334889774962,580.1240922247281,1520.9408575293871,4.0
63,63.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.8,1.0,0.9,40.0,-205.13941604985538,107.28334889774962,660.3851152809101,929.6467339315336,2.0
64,64.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.7,0.8,0.9,25.0,-706.6054540725224,22.074667526002244,460.33709222472805,829.1203880110872,10.0
65,65.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.9,45.0,19.034577586334933,107.28334889774962,600.2951152809101,929.6467339315336,2.0
66,66.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.9,0.9,0.9,50.0,-335.4522014666866,104.08422941240883,540.2656037528191,3179.8748950403933,10.0
67,67.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.7,1.0,1.0,35.0,-220.31903540068097,107.28334889774962,540.5981152809101,967.2414684130537,2.0
