n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex,flat
1803,1803.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.7,0.9,0.9,40.0,-1026.207270637831,130.58794234320223,3022.6569949451728,1944.7167332558456,2.0
1804,1804.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,1.0,0.8,1.0,60.0,-989.2182532088602,122.98836071631062,3537.7765933444084,4031.7880686951094,8.0
1805,1805.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.8,0.7,0.9,60.0,-564.0961146281901,106.29108532121222,2380.3184950056907,3127.596730842898,8.0
1806,1806.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.7,1.0,0.9,50.0,-1134.1619782566295,76.26200830265213,2674.6234422059456,1522.1796894427248,6.0
1807,1807.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.9,0.9,0.9,60.0,-191.0908828097033,130.58794234320223,2782.98353328389,1944.7167332558456,2.0
1808,1808.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.9,0.9,45.0,-1759.620209956095,52.38197966632623,3320.8064276844,1296.4470010963419,10.0
1809,1809.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,1.0,1.0,35.0,-2126.3387020326445,41.50495899604326,3596.313442205946,1005.6107053696289,10.0
1810,1810.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,1.0,1.0,40.0,-1236.7557300852939,130.58794234320223,3353.920880484145,2073.835755517876,2.0
1811,1811.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,1.0,1.0,0.9,60.0,-750.8803132765834,130.58794234320223,3075.550586083635,3510.0077990509953,6.0
1812,1812.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,0.7,0.9,30.0,-1560.9540824689032,41.50495899604326,2779.3663750056908,523.8595910492817,4.0
1813,1813.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.8,1.0,60.0,-871.6178150527987,130.58794234320223,3118.5394422059458,3639.1268213130256,6.0
1814,1814.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.8,1.0,0.9,50.0,-1277.8855822018293,127.66028995263277,3723.8524877449177,3388.8437192038896,6.0
1815,1815.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,1.0,1.0,1.0,55.0,-1323.4245510931264,63.93268598001005,3075.550586083635,1737.8403144970719,10.0
1816,1816.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.8,1.0,1.0,50.0,-1679.047619674792,66.12130743186812,3687.232473223372,1826.3643241059954,10.0
1817,1817.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,0.7,0.7,0.9,45.0,-986.3042286922258,63.93268598001005,2197.8494276843994,1167.9792324953817,6.0
1818,1818.0,1.0,1.0,1.0,1.0,2.0,1.0,0.7,0.7,0.9,1.0,35.0,-1777.1640964674384,41.50495899604326,2986.036980423627,853.1346878562751,8.0
1819,1819.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,0.8,1.0,20.0,-1929.2323901357356,41.50495899604326,2983.0912150056906,700.6586703429214,6.0
1820,1820.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,50.0,-1918.8276920705625,51.538084700205125,3630.8145405446635,1300.782368618483,10.0
1821,1821.0,1.0,1.0,1.0,1.0,2.0,2.0,0.8,0.8,0.9,1.0,55.0,-810.4731373500972,130.58794234320223,3150.196040484145,2856.4812884154503,4.0
1822,1822.0,1.0,1.0,1.0,1.0,3.0,1.0,0.7,1.0,0.7,1.0,60.0,-305.7072287405778,130.58794234320223,2617.0865788228625,2073.835755517876,2.0
1823,1823.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,0.8,1.0,0.9,40.0,-1770.3212153810175,54.19626560599414,3372.230887744918,1143.853948733113,8.0
1824,1824.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,1.0,45.0,-1799.7893940687684,52.38197966632623,3410.237547805436,1126.8207313890969,8.0
1825,1825.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,0.7,0.9,0.9,45.0,-1174.432886464346,63.93268598001005,2509.595434945173,1167.9792324953817,6.0
1826,1826.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.9,60.0,-1714.2184495150402,63.93268598001005,3758.3535860836355,1696.0819665646923,10.0
1827,1827.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.7,0.7,1.0,45.0,-450.3205457866184,130.58794234320223,2578.5873004236273,2073.835755517876,2.0
1828,1828.0,1.0,1.0,1.0,1.0,2.0,2.0,0.7,0.9,0.9,1.0,50.0,-1456.73037365247,68.90193226572049,3277.735086023117,1645.1552771195327,8.0
1829,1829.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,1.0,55.0,-1642.2885741549524,86.29487042938065,3851.3915332838906,1917.5143084382416,6.0
1830,1830.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.9,0.9,0.9,60.0,-783.7421837464567,95.87431963506812,2819.6035478054364,3163.77599955805,10.0
1831,1831.0,1.0,1.0,1.0,1.0,3.0,1.0,0.8,1.0,0.7,1.0,45.0,-1414.4529570942063,41.50495899604326,2635.3965860836356,1005.6107053696289,10.0
1832,1832.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.9,1.0,40.0,-1527.256164713687,84.26963300998734,3478.514160605181,1444.1675399974267,4.0
1833,1833.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,0.7,0.9,25.0,-1693.774445990908,41.50495899604326,2779.3663750056908,676.3356085626353,6.0
