n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
366,366,490696.0707,0.92,1.0,0.4,55,0.91,60.1150688842,422729.6644127
367,367,488941.6806,0.91,0.98,1,55,0.99,59.2259741852,422766.7733001
368,368,490953.4695,0.91,0.96,0.3,55,1.0,58.7097445798,422768.6112643
369,369,168491.1097,0.93,0.98,0.5,40,0.98,59.9717043724,422760.5988507
370,370,59549.9118,0.96,0.91,0.7,35,1.0,59.2834960345,422770.0567594
371,371,-47251.0445,0.93,0.99,0.2,30,0.92,60.2298191751,422733.3092458
372,372,72908.0346,0.91,0.92,0.7,35,0.99,57.677285369,422765.6891788
373,373,52500.4961,1.0,0.92,0.1,35,0.95,61.0330712118,422746.0506138
374,374,66257.7949,0.96,0.92,0.9,35,0.92,59.5416108372,422735.8388622
375,375,473901.7594,0.99,0.98,0.2,55,0.92,62.2088949343,422733.3092458
376,376,162128.504,0.96,0.98,1,40,0.96,61.0902996534,422753.6705583
377,377,491407.6235,0.91,0.97,0.1,55,0.98,58.9678593825,422759.1533556
378,378,391551.8786,0.91,0.95,0.9,50,0.96,58.4516297771,422753.3091846
379,379,375883.6145,0.96,0.99,1,50,0.93,61.3484144561,422740.5678166
380,380,-54764.5178,0.97,0.91,0.5,30,0.99,59.6563611282,422764.9664312
381,381,68998.6822,0.93,0.93,1,35,0.96,58.681130359,422753.6705583
382,382,179622.4886,0.93,0.95,0.9,40,0.91,59.1973599644,422731.4712816
383,383,464246.5625,0.99,1.0,0.5,55,1.0,62.7251245397,422769.3340118
384,384,494281.6056,0.92,0.94,0.7,55,0.96,58.566380068,422752.586437
385,385,55036.0075,0.97,0.93,0.8,35,0.99,60.1725907336,422766.0505526
386,386,-42845.3647,0.94,0.94,0.3,30,0.92,59.3121102553,422733.6706196
387,387,581666.7429,0.97,1.0,0.2,60,0.91,61.9793943524,422728.9416652
388,388,164911.1189,1.0,0.91,0.9,40,0.92,60.7749564091,422735.8388622
389,389,180093.3844,0.91,0.98,0.5,40,0.92,59.2259741852,422734.3933671
390,390,590066.6373,0.96,0.95,0.4,60,0.92,60.3159552453,422734.0319933
391,391,-72826.5972,1.0,1.0,0.4,30,0.95,63.0979896333,422747.1347351
392,392,394326.8428,0.92,0.94,0.6,50,0.92,58.566380068,422734.7547409
393,393,492630.195,0.93,0.94,0.2,55,0.95,58.9392451617,422746.4119876
394,394,488371.7878,0.97,0.91,0.8,55,0.92,59.6563611282,422735.4774884
395,395,591023.587,0.94,0.99,0.1,60,0.91,60.6026842688,422728.5802914
396,396,386114.9585,0.92,0.95,0.1,50,0.99,58.8244948707,422763.5209361
397,397,473512.8485,0.96,0.99,0.7,55,1.0,61.3484144561,422770.0567594
398,398,480992.2322,0.94,1.0,0.6,55,0.96,60.8607990715,422752.2250632
399,399,484136.0345,0.96,0.95,0.3,55,0.94,60.3159552453,422742.4057807
