n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
67,67.0,1.0,1.0,1.0,1.0,0.3,2.0,1.0,0.7,0.9,0.7,50.0,-258.79846729994665,23.078289705525684,599.9814548563663,474.2745140059118
68,68.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.9,1.0,0.9,60.0,-345.89154368046,14.9190934620702,646.4746476724711,534.6991730476664
69,69.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.9,0.9,1.0,60.0,-344.4639805402139,23.078289705525684,794.4181640805233,596.0712495517265
70,70.0,1.0,1.0,1.0,1.0,0.9,3.0,2.0,0.9,1.0,0.7,60.0,-245.26085385432975,22.29896888868372,570.8956148563664,833.5703832060716
71,71.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.8,1.0,0.9,60.0,-280.58208652525445,23.078289705525684,729.8316476724711,506.6722263044884
72,72.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.8,0.9,0.9,30.0,-460.97648116797484,4.435883168136524,729.8316476724711,107.96386264888082
73,73.0,1.0,1.0,1.0,1.0,0.8,1.0,2.0,1.0,1.0,1.0,30.0,-529.3593079129281,4.435883168136524,821.2151640805233,132.13600544433473
74,74.0,1.0,1.0,1.0,1.0,0.9,3.0,2.0,1.0,0.9,0.7,30.0,-399.10732307582214,4.435883168136524,604.9366148563663,135.36021827643194
75,75.0,1.0,1.0,1.0,1.0,0.1,2.0,2.0,0.7,1.0,0.8,50.0,-215.88638938208115,23.078289705525684,637.7709712644187,384.8754907586737
76,76.0,1.0,1.0,1.0,1.0,0.6,3.0,2.0,1.0,1.0,0.7,40.0,-345.7075687468649,13.682790068623277,604.9366148563663,359.3542877479627
77,77.0,1.0,1.0,1.0,1.0,0.9,3.0,1.0,0.7,1.0,0.8,40.0,-354.00539807351447,4.435883168136524,540.6031312644187,141.26812398685178
78,78.0,1.0,1.0,1.0,1.0,0.2,3.0,1.0,0.7,1.0,1.0,60.0,-193.85434498631275,23.078289705525684,616.1821640805234,445.773858531581
79,79.0,1.0,1.0,1.0,1.0,0.1,2.0,1.0,0.7,1.0,1.0,50.0,-302.54517966628157,23.078289705525684,713.3500040805234,384.8754907586737
80,80.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.7,1.0,1.0,40.0,-421.05794073700037,17.228584059626538,740.8241640805232,350.9456035835528
81,81.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,1.0,0.9,1.0,30.0,-457.03548283849636,4.435883168136524,718.3051640805235,89.69962556384674
82,82.0,1.0,1.0,1.0,1.0,0.3,2.0,2.0,1.0,1.0,0.7,60.0,-205.0785255378648,23.078289705525684,668.5978148563663,506.6722263044884
83,83.0,1.0,1.0,1.0,1.0,0.8,2.0,2.0,0.8,1.0,0.8,40.0,-401.9041278395743,10.930340600310041,660.6430912644187,324.5175148942139
84,84.0,1.0,1.0,1.0,1.0,0.2,2.0,2.0,0.9,0.9,0.7,40.0,-295.60327589726853,23.078289705525684,645.7256948563663,413.3761462330045
85,85.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.7,0.9,0.9,30.0,-444.4738600332807,4.435883168136524,703.0346476724711,107.96386264888082
86,86.0,1.0,1.0,1.0,1.0,0.4,2.0,1.0,1.0,1.0,1.0,60.0,-329.24699699129974,23.078289705525684,781.9663640805235,567.5705940773958
87,87.0,1.0,1.0,1.0,1.0,0.1,2.0,1.0,0.7,0.9,0.9,60.0,-204.9435544308382,23.078289705525684,675.560487672471,352.4777784600971
88,88.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.7,0.9,1.0,50.0,-354.30301044041414,23.078289705525684,740.8241640805232,656.9696173246339
89,89.0,1.0,1.0,1.0,1.0,0.9,1.0,2.0,1.0,0.9,0.9,60.0,-365.4899262817335,23.078289705525684,783.425647672471,839.6647206433558
90,90.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.9,0.7,60.0,-309.722267384802,23.078289705525684,707.8466148563664,656.9696173246339
91,91.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,0.9,1.0,1.0,50.0,-358.0108463021781,23.078289705525684,759.0942440805235,628.468961850303
92,92.0,1.0,1.0,1.0,1.0,0.7,2.0,2.0,0.7,0.9,0.9,50.0,-331.65650464314695,22.29896888868372,675.560487672471,686.2722664963071
93,93.0,1.0,1.0,1.0,1.0,0.4,1.0,2.0,0.9,1.0,1.0,50.0,-362.71047614118737,23.078289705525684,794.4181640805233,567.5705940773958
94,94.0,1.0,1.0,1.0,1.0,0.3,3.0,1.0,1.0,0.9,0.7,60.0,-195.00709528126595,23.078289705525684,604.9366148563663,474.2745140059118
95,95.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.8,30.0,-429.7546474030708,4.435883168136524,642.7261312644187,150.40024252936882
96,96.0,1.0,1.0,1.0,1.0,0.1,3.0,2.0,0.7,0.9,0.8,40.0,-213.67106544817224,23.078289705525684,540.6031312644187,352.4777784600971
97,97.0,1.0,1.0,1.0,1.0,0.9,2.0,1.0,0.9,0.9,0.9,60.0,-368.4058747230409,18.929612245231564,721.304727672471,648.4288600097419
98,98.0,1.0,1.0,1.0,1.0,0.2,1.0,2.0,0.7,1.0,0.8,40.0,-316.7818471444564,23.078289705525684,665.2451312644187,445.773858531581
99,99.0,1.0,1.0,1.0,1.0,0.3,3.0,1.0,0.9,0.9,0.7,40.0,-308.1261194329751,20.369443467053202,570.8956148563664,404.21187017950035
100,100.0,1.0,1.0,1.0,1.0,0.2,3.0,1.0,0.9,0.9,0.7,40.0,-290.69470114310684,23.078289705525684,570.8956148563664,413.3761462330045
101,101.0,1.0,1.0,1.0,1.0,0.9,2.0,1.0,0.9,1.0,0.9,30.0,-486.24063770035224,4.435883168136524,721.304727672471,141.26812398685178
102,102.0,1.0,1.0,1.0,1.0,0.9,2.0,1.0,0.8,0.9,1.0,50.0,-434.05961886600727,10.930340600310041,736.2221240805234,333.9332517144548
103,103.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.8,1.0,0.9,60.0,-263.4819318804105,23.078289705525684,729.8316476724711,445.773858531581
104,104.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.8,1.0,0.7,30.0,-407.6761816250767,4.435883168136524,622.8535748563663,104.73964981678361
105,105.0,1.0,1.0,1.0,1.0,0.7,2.0,2.0,0.9,0.9,0.8,50.0,-337.0358540489179,22.29896888868372,683.5152112644187,686.2722664963071
106,106.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.8,1.0,0.9,40.0,-407.14399083669724,17.228584059626538,729.8316476724711,433.2829670103884
107,107.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,1.0,1.0,0.9,50.0,-390.6319102539197,23.078289705525684,783.425647672471,689.3673296232106
108,108.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.8,0.9,0.7,40.0,-352.7729462871581,18.312927771802244,654.2526148563663,443.0220528425354
109,109.0,1.0,1.0,1.0,1.0,0.6,1.0,2.0,0.9,0.9,0.9,40.0,-430.2886376258991,15.616849859709033,756.6286476724712,400.22908435863167
110,110.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,0.9,0.9,0.7,50.0,-274.5587882115332,23.078289705525684,681.0496148563664,352.4777784600971
111,111.0,1.0,1.0,1.0,1.0,0.9,1.0,2.0,0.7,0.9,1.0,30.0,-481.4461367898793,4.435883168136524,740.8241640805232,135.36021827643194
112,112.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.8,40.0,-479.92135580796435,4.435883168136524,745.6361312644187,141.26812398685178
113,113.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0.8,60.0,-376.31311498538736,17.228584059626538,718.8391312644187,597.9576938640598
114,114.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.7,1.0,1.0,50.0,-388.00901510626346,17.228584059626538,713.3500040805234,474.4516487238063
115,115.0,1.0,1.0,1.0,1.0,0.8,3.0,2.0,1.0,1.0,0.8,30.0,-420.29412710643834,4.435883168136524,642.7261312644187,132.13600544433473
116,116.0,1.0,1.0,1.0,1.0,0.8,3.0,1.0,1.0,0.9,0.7,30.0,-407.6120344968115,4.435883168136524,604.9366148563663,126.2280997339149
117,117.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.9,1.0,0.9,60.0,-326.58538711062727,23.078289705525684,721.304727672471,689.3673296232106
118,118.0,1.0,1.0,1.0,1.0,0.4,3.0,1.0,0.9,1.0,1.0,60.0,-269.162201717527,23.078289705525684,684.2641640805234,567.5705940773958
119,119.0,1.0,1.0,1.0,1.0,0.4,1.0,2.0,1.0,0.9,0.8,30.0,-452.86160243760554,10.930340600310041,745.6361312644187,217.63467307650404
120,120.0,1.0,1.0,1.0,1.0,0.7,3.0,1.0,0.7,1.0,0.7,40.0,-321.7633814652319,4.435883168136524,502.8136148563663,123.00388690181768
121,121.0,1.0,1.0,1.0,1.0,0.7,2.0,1.0,1.0,1.0,0.7,50.0,-376.34791430512416,14.823148120062866,668.5978148563663,428.83477603322774
122,122.0,1.0,1.0,1.0,1.0,0.2,1.0,2.0,0.8,0.9,0.9,40.0,-346.46343186972786,23.078289705525684,729.8316476724711,413.3761462330045
123,123.0,1.0,1.0,1.0,1.0,0.2,2.0,2.0,0.7,0.9,1.0,60.0,-206.90065903604784,23.078289705525684,713.3500040805234,413.3761462330045
124,124.0,1.0,1.0,1.0,1.0,0.8,1.0,2.0,0.7,1.0,0.8,40.0,-404.77909291274995,10.930340600310041,665.2451312644187,324.5175148942139
125,125.0,1.0,1.0,1.0,1.0,0.8,2.0,1.0,1.0,0.9,0.7,30.0,-446.89223992016406,4.435883168136524,668.5978148563663,126.2280997339149
126,126.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7,1.0,1.0,40.0,-447.6941722455791,10.930340600310041,740.8241640805232,254.73836771144352
127,127.0,1.0,1.0,1.0,1.0,0.6,2.0,1.0,0.9,1.0,0.9,60.0,-326.58538711062727,23.078289705525684,721.304727672471,689.3673296232106
128,128.0,1.0,1.0,1.0,1.0,0.3,1.0,2.0,1.0,1.0,1.0,30.0,-493.7088398566437,12.39118903747125,821.2151640805233,239.12393847371362
