,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
336,336.0,1.0,1.0,1.0,0.8,3.0,2.0,0.7,0.7,0.7,1.0,40.0,-955.5092336837932,63.20979733698361,2179.539420423627,1409.4329927834892
337,337.0,1.0,1.0,1.0,0.7,1.0,2.0,0.7,0.7,0.8,0.9,30.0,-1680.287770922237,46.63961656469059,3063.6094204236274,832.9349654092925
338,338.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.8,0.9,50.0,-1451.224955435822,60.12499419562551,3063.6094204236274,1507.5357020042613
339,339.0,1.0,1.0,1.0,0.2,1.0,2.0,0.9,0.9,0.9,0.9,40.0,-1161.19463539088,130.58794234320223,3630.8145405446635,1993.5437125796243
340,340.0,1.0,1.0,1.0,0.9,2.0,1.0,0.7,0.7,0.8,1.0,40.0,-1512.5468123559963,41.50495899604326,2782.312140423627,892.5688017360948
341,341.0,1.0,1.0,1.0,0.7,2.0,2.0,1.0,1.0,0.7,0.9,50.0,-997.2045513488348,87.79537208254564,3071.064480605181,2105.675993649822
342,342.0,1.0,1.0,1.0,0.2,3.0,1.0,1.0,1.0,1.0,0.9,40.0,-1080.2670655804927,130.58794234320223,3112.170600605181,1993.5437125796243
343,343.0,1.0,1.0,1.0,0.4,2.0,2.0,0.7,0.7,1.0,1.0,40.0,-1228.14564998137,101.2290504822933,3189.7618204236273,1943.7774461077354
344,344.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.7,0.9,40.0,-1324.3582864965047,83.79852469307862,3317.199600605181,1550.5390293297644
345,345.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.8,1.0,40.0,-1658.1751346533126,52.38197966632623,3274.7893206051813,1283.627474944131
346,346.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.8,0.8,1.0,40.0,-1663.9376883121279,52.38197966632623,3227.768480484145,1283.627474944131
347,347.0,1.0,1.0,1.0,0.5,3.0,1.0,1.0,1.0,1.0,1.0,30.0,-1713.0120995429677,41.50495899604326,3112.170600605181,603.9740533213238
348,348.0,1.0,1.0,1.0,0.4,1.0,2.0,1.0,1.0,0.7,0.9,40.0,-1210.9005844525902,109.13859191897987,3317.199600605181,2103.315754334294
349,349.0,1.0,1.0,1.0,0.7,2.0,2.0,0.8,0.8,1.0,1.0,40.0,-1570.104427386527,68.90193226572049,3353.920880484145,1460.1174772316795
350,350.0,1.0,1.0,1.0,0.9,1.0,2.0,0.9,0.9,1.0,1.0,40.0,-1976.5174628955374,58.508503492874055,3869.7015405446637,1375.6026122407486
351,351.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9,0.9,50.0,-1565.9334424849499,60.12499419562551,3314.3551005446634,1507.5357020042613
352,352.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.8,1.0,30.0,-1965.0735698024018,41.50495899604326,3391.9275405446633,964.7174888397876
353,353.0,1.0,1.0,1.0,0.1,2.0,2.0,0.9,0.9,0.7,1.0,60.0,-30.328132678414608,130.58794234320223,2906.9054205446632,1706.9264787309778
354,354.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.7,1.0,40.0,-1145.9636346922084,52.38197966632623,2343.698480484145,1283.627474944131
355,355.0,1.0,1.0,1.0,0.5,3.0,1.0,1.0,1.0,0.7,0.9,30.0,-1438.6252517112594,41.50495899604326,2672.0166006051813,579.6509915410379
356,356.0,1.0,1.0,1.0,0.4,2.0,1.0,0.8,0.8,1.0,1.0,40.0,-1523.885473798216,77.404691278589,3353.920880484145,1237.9646187869655
357,357.0,1.0,1.0,1.0,0.3,1.0,1.0,0.9,0.9,1.0,1.0,60.0,-876.2138258900644,130.58794234320223,3869.7015405446637,2538.398990952331
358,358.0,1.0,1.0,1.0,1.0,1.0,2.0,0.9,0.9,0.7,0.9,40.0,-1586.0330049631427,52.38197966632623,3153.0405405446627,1251.6049283326943
359,359.0,1.0,1.0,1.0,0.8,3.0,2.0,0.7,0.7,0.8,1.0,50.0,-721.0542849996694,77.404691278589,2326.257420423627,1918.849174159744
360,360.0,1.0,1.0,1.0,0.2,3.0,2.0,0.8,0.8,0.8,1.0,40.0,-568.3920666421502,130.58794234320223,2490.4164804841457,2122.6627348416546
361,361.0,1.0,1.0,1.0,0.9,2.0,2.0,0.8,0.8,0.9,1.0,50.0,-1265.6085739822952,74.54606869299404,3150.196040484145,1966.7517673022462
362,362.0,1.0,1.0,1.0,0.5,2.0,1.0,0.9,0.9,0.8,0.9,60.0,-655.873234510276,130.58794234320223,3110.630260544663,3240.752480911655
363,363.0,1.0,1.0,1.0,0.6,2.0,1.0,1.0,1.0,1.0,1.0,40.0,-1828.657010213241,63.93268598001005,3682.2390006051814,1179.5760619520563
364,364.0,1.0,1.0,1.0,0.7,3.0,2.0,0.9,0.9,0.8,1.0,50.0,-805.0286927486486,82.74649910419797,2654.5755405446635,1963.00204051517
365,365.0,1.0,1.0,1.0,0.3,1.0,2.0,0.8,0.8,0.8,0.9,30.0,-1495.473315812866,77.9143539830844,3227.768480484145,1023.5445230613075
366,366.0,1.0,1.0,1.0,0.4,2.0,2.0,0.7,0.7,0.9,0.9,50.0,-673.3962541180102,130.58794234320223,2986.036980423627,2825.016224800978
367,367.0,1.0,1.0,1.0,1.0,1.0,2.0,0.8,0.8,0.8,0.9,30.0,-1872.8900502771282,41.50495899604326,3227.768480484145,940.3944270595016
368,368.0,1.0,1.0,1.0,0.3,2.0,2.0,0.7,0.7,0.9,0.9,30.0,-1372.4402659752104,77.9143539830844,2986.036980423627,1023.5445230613075
