n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
370,370,579560.4872,0.98,0.95,0.4,60,0.98,61.0616854326,422760.2374769
371,371,-63052.7355,1.0,0.9,0.1,30,1.0,60.5168416064,422767.8885167
372,372,184738.336,0.9,0.98,0.9,40,0.9,58.8531090915,422727.103701
373,373,179847.3697,0.9,0.98,0.3,40,0.95,58.8531090915,422746.7733613
374,374,399401.865,0.9,0.95,0.1,50,0.9,58.0787646834,422724.2127108
375,375,174785.2569,0.9,0.98,0.2,40,1.0,58.8531090915,422768.2498905
376,376,576788.3033,1.0,0.95,0.5,60,0.95,61.8074156199,422747.4961089
377,377,157763.7963,0.98,0.98,0.7,40,0.95,61.8360298407,422748.2188564
378,378,165831.1246,0.98,0.9,0.4,40,0.98,59.7711114191,422760.2374769
379,379,-61353.1057,0.95,1.0,0.5,30,0.98,61.2336641651,422760.5988507
380,380,587465.0021,0.95,0.95,0.7,60,0.98,59.9430901517,422761.3215982
381,381,372939.5528,0.95,0.98,0.7,50,1.0,60.7174345597,422770.0567594
382,382,359674.8033,1.0,0.98,0.5,50,1.0,62.581760028,422769.3340118
383,383,575430.2402,0.98,1.0,0.6,60,0.95,62.352259446,422747.8574827
384,384,383541.132,0.9,1.0,0.9,50,1.0,59.3693386969,422770.7795069
385,385,364944.4799,0.98,0.98,0.7,50,1.0,61.8360298407,422770.0567594
386,386,392177.7943,0.9,0.95,1.0,50,0.98,58.0787646834,422762.4057195
387,387,375410.1631,1.0,0.9,0.3,50,0.95,60.5168416064,422746.7733613
388,388,184909.4826,0.9,0.98,0.4,40,0.9,58.8531090915,422725.2968321
389,389,359674.8033,1.0,0.98,0.5,50,1.0,62.581760028,422769.3340118
390,390,180786.0643,0.9,0.95,0.7,40,0.98,58.0787646834,422761.3215982
391,391,-59673.2759,1.0,0.95,0.1,30,0.9,61.8074156199,422724.2127108
392,392,595190.7451,0.9,0.98,0.3,60,1.0,58.8531090915,422768.6112643
393,393,149116.639,1.0,0.98,1.0,40,0.98,62.581760028,422762.4057195
394,394,592467.2028,0.9,1.0,0.5,60,1.0,59.3693386969,422769.3340118
395,395,572842.1895,0.98,1.0,0.6,60,0.98,62.352259446,422760.9602244
396,396,382021.6161,0.95,0.98,0.3,50,0.9,60.7174345597,422724.9354584
397,397,592367.3746,0.95,0.9,0.8,60,1.0,58.6525161382,422770.4181332
398,398,368939.2353,0.98,0.95,0.7,50,1.0,61.0616854326,422770.0567594
399,399,151416.8952,1.0,0.95,0.4,40,1.0,61.8074156199,422768.9726381
