n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
66,66.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4,0.9,1.0,0.9,45.0,-39.60446282657775,190.19516550018875,1081.17411528091,2458.11310616342
67,67.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.8,0.8,0.9,0.9,20.0,-1333.5755895246407,56.00568523776178,1253.4518110213291,1268.0531509062475
68,68.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.6,0.8,0.7,1.0,35.0,-178.57204291826216,190.19516550018875,764.8735806966372,3423.7156125480915
69,69.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.8,1.0,0.9,55.0,21.970002900387254,190.19516550018875,1005.6331152809101,5129.102871005686
70,70.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.4,0.7,1.0,1.0,40.0,-41.14971400333945,190.19516550018875,1195.8564344681429,2533.3856909340016
71,71.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.8,0.8,0.9,55.0,-116.0424930415904,190.19516550018875,879.3436122247281,5129.102871005686
72,72.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.5,1.0,0.9,0.9,60.0,636.3280094648487,190.19516550018875,1059.049003752819,2903.2780669704653
73,73.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.8,0.8,1.0,0.9,55.0,238.0140031661982,190.19516550018875,959.6046352809101,4238.772949391597
74,74.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.8,1.0,45.0,-101.64532573045666,190.19516550018875,1373.3231475745145,2088.2207301269577
75,75.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.1,0.7,0.8,1.0,60.0,1180.4678565046445,190.19516550018875,744.509092224728,1197.8908085128685
76,76.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.3,0.7,0.7,1.0,25.0,-646.7567710798854,115.02198370795362,964.1390041277003,1206.3838581512803
77,77.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.2,0.9,0.7,0.9,45.0,180.97741653112448,190.19516550018875,1085.1290041277005,1567.7831845493306
78,78.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.3,0.8,0.8,1.0,50.0,607.1827917297242,190.19516550018875,805.0040922247281,2088.2207301269577
