n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
0,0,-233250.2208,0.8,1.0,0.7,50,1.0,2,1,0,0,1,1,1,0,1,1,0,89.61177029532189,71.47093109077267,36.74077672846306,1069.3675842994185,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,14.0867,22.4415,70642.62764390383,1662.2567763951,1696.5657257
1,1,-248615.8828,0.8,0.9,0.7,20,0.9,2,1,0,0,1,1,1,0,1,1,0,56.952903867416595,37.894886537828896,33.98354535410814,969.1516638047351,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.303,16.089,32822.895756455335,568.4327941892,957.7188324
2,2,-209847.9633,0.9,1.0,0.8,35,0.9,2,1,0,0,1,1,1,0,1,1,0,71.31354670308866,54.01665625099753,27.650909575671324,673.5986152854142,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0089,20.6932,44253.53123179495,955.4737986418,1440.8864509
3,3,-372044.6752,0.7,1.0,0.7,25,1.0,2,1,0,0,1,1,1,0,1,1,0,64.1060427772248,46.064239689513855,32.156106306213395,810.8979679576601,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.2423,23.8518,35815.63020564397,903.1456013434,1300.6061194
4,4,-164675.8555,0.8,1.0,1.0,40,1.0,2,1,0,0,1,1,1,0,1,1,0,80.51912482735062,63.34383293777132,32.43199632435494,897.8818945997634,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0702,19.1243,55261.23355235607,1104.8553541959,1587.2906813
5,5,-91058.8086,0.8,0.7,0.1,35,0.9,2,1,0,0,1,1,1,0,1,1,0,59.15667843611002,31.784872314488933,33.863574941625565,906.1109101147072,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0366,15.2554,31426.77226715582,517.0910063321,910.4975734
6,6,-200219.5844,0.9,0.7,0.4,20,0.9,2,1,0,0,1,1,1,0,1,1,0,45.13951497189997,25.400274058644037,25.714806866766267,634.1000260102512,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.8464,17.0275,23318.566209853845,425.9178127519,885.4579452
7,7,-53408.3528,0.9,1.0,0.4,50,1.0,2,1,0,0,1,1,1,0,1,1,0,71.54132444615114,51.06955714428267,36.14434960115461,1171.2851264494823,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0662996340837344,11.2339,18.0182,50527.02015940312,969.8837257824,1284.9924502
8,8,-84305.2621,0.7,0.7,0.5,45,1.0,2,1,0,0,1,1,1,0,1,1,0,73.1635331587108,53.66537769855819,35.21903417158563,1019.9910557487581,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.483,17.9182,50113.243927731564,950.6058321662,1334.2172718
9,9,35224.1226,1.0,1.0,0.2,50,0.9,2,1,0,0,1,1,1,0,1,1,0,48.99787938526501,30.202500499910872,27.909308831216492,870.3134882005309,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3624145543688412,9.9634,14.5544,29697.531990685267,464.1989973406,909.4620091
10,10,-32736.1984,1.0,0.9,0.9,55,0.9,2,1,0,0,1,1,1,0,1,1,0,67.74842070015377,47.292495468109195,33.68173580314055,1009.9055965222134,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.13186896882902469,13.3932,17.9178,49305.58098406944,938.022165941,1181.6867907
11,11,-393314.817,0.8,0.7,0.9,45,1.0,2,1,0,0,1,1,1,0,1,1,0,70.83391611762286,48.46862666861844,30.417069730596545,856.8264101795173,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.323,38.027,37036.68948648742,1476.2594327235,1853.6428099
12,12,-433537.0128,0.7,1.0,0.4,30,0.9,2,1,0,0,1,1,1,0,1,1,0,63.519859640552966,44.862099047333984,30.58111415704556,867.8380084629711,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,8.2669,32.5188,35722.396578671665,1225.5740685061,1205.6768429
13,13,71774.9274,0.8,0.9,0.2,55,0.9,2,1,0,0,1,1,1,0,1,1,0,48.76209375540444,31.283868980252212,29.063841156374142,916.6906903171321,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5302451042912576,10.7555,14.178,30879.564583644868,471.8345698315,915.7865221
14,14,-273634.7406,1.0,1.0,0.6,40,0.9,2,1,0,0,1,1,1,0,1,1,0,83.22373585159713,61.68536977011983,35.208454487873375,904.8793233523076,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.2286,23.9819,55561.181844644045,1395.2780730186,1328.491043
15,15,-116827.5985,1.0,0.8,0.4,50,1.0,2,1,0,0,1,1,1,0,1,1,0,76.34559540098616,57.716354423455456,36.09916711714253,1189.5289834397356,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,11.4501,20.5359,57060.62880057208,1239.9159973182,1353.2515019
16,16,-145152.1943,0.8,1.0,1.0,30,0.9,2,1,0,0,1,1,1,0,1,1,0,52.693366873782345,32.190434585849445,27.46938172359343,674.4519669732605,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.6495,19.611,26289.64827262562,547.8891280252,1043.7378671
17,17,-274192.0214,0.7,0.8,0.1,20,0.9,2,1,0,0,1,1,1,0,1,1,0,53.990220622950915,35.22330583833528,31.901796353313614,970.7440210111117,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.5224,18.8764,29118.413581506837,589.8377342519,944.2247746
18,18,-579789.8758,0.7,1.0,0.7,20,0.9,2,1,0,0,1,1,1,0,1,1,0,66.73264789079089,42.232529304527574,31.29235723220834,725.7948811141177,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.9396,40.0052,29488.22429479722,1246.2864880169,1330.0184552
19,19,-65094.1348,1.0,1.0,1.0,30,0.9,2,1,0,0,1,1,1,0,1,1,0,45.01370730664486,25.183585518156807,25.460780558265082,617.5053421109211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.928,14.6318,22649.810895674804,357.0977068426,909.4007345
20,20,-111909.6858,0.8,0.8,0.2,50,1.0,2,1,0,0,1,1,1,0,1,1,0,92.20862392273924,71.66252688949163,37.71918584367885,1232.3584194511586,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.253,19.8504,71167.3286422228,1482.8246502709,1446.3904216
21,21,108320.0954,0.8,0.7,1.0,60,0.9,2,1,0,0,1,1,1,0,1,1,0,43.186699580501454,24.221369307721794,24.435898297952164,618.247106787659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8246251558371195,7.5343,15.504,21131.457911637975,353.3175077224,912.3259909
22,22,-100004.4984,1.0,1.0,0.4,50,0.9,2,1,0,0,1,1,1,0,1,1,0,79.61355551705408,58.64329495875171,29.97522461387922,753.3754278161693,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.5191,20.5907,58475.5626345512,1251.08441401,1300.4341387
23,23,-62064.0242,1.0,0.8,0.9,55,0.9,2,1,0,0,1,1,1,0,1,1,0,58.985979028785465,41.57090356565712,28.844385271657778,840.7255931852318,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.044386037006392084,14.5564,20.9112,41172.29606530937,909.4140007494,1186.2858734
24,24,-233981.2726,0.9,1.0,0.4,40,1.0,2,1,0,0,1,1,1,0,1,1,0,57.24266946332828,38.86411533599073,23.05020240797459,509.83299706044806,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8261,27.4577,34292.75589011724,985.6537760613,1464.6946794
25,25,-360758.8604,1.0,1.0,0.8,40,0.9,2,1,0,0,1,1,1,0,1,1,0,69.33488623652123,50.2837133870959,34.65966829097961,1035.199138696694,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8.9289,31.973,38902.12708866764,1319.8193788622,1357.8602558
26,26,-171565.2912,1.0,1.0,0.1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,79.28417200559456,60.317522377022485,32.007194053621554,953.770510499119,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.3134,19.0688,59604.61466858852,1185.8964789699,1282.9974084
27,27,-127198.416,0.9,0.7,0.5,55,1.0,2,1,0,0,1,1,1,0,1,1,0,72.09546226257775,54.94357442192788,32.18141656473743,838.759505636616,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,13.877,22.465,54557.43883314885,1287.4570604531,1414.751049
28,28,-655174.9954,0.8,0.9,1.0,25,0.9,2,1,0,0,1,1,1,0,1,1,0,87.09042148725058,71.66902247305816,35.665903221984344,1073.1670024013142,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8.2727,31.2651,50657.503275354386,1663.5341284848,1685.4093854
29,29,-178080.1142,0.9,1.0,0.9,25,1.0,2,1,0,0,1,1,1,0,1,1,0,46.82821427455086,26.894913962168257,26.26853670444932,761.7912594451699,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.542,17.2295,24113.777852638283,444.5954162844,1098.3918226
30,30,-44401.4885,0.8,0.9,0.1,35,1.0,2,1,0,0,1,1,1,0,1,1,0,39.75522338841712,20.428591363850014,22.34163271762452,521.8162045426925,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.4505,14.7936,19344.09183266386,307.9763270016,986.9414096
31,31,-186781.3237,0.9,0.8,1.0,50,1.0,2,1,0,0,1,1,1,0,1,1,0,77.8727006921265,58.6264173344843,32.05196273685418,880.0564398205463,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.5821,25.4851,50527.71817565658,1344.9573846204,1725.2082039
32,32,8142.2473,1.0,0.7,0.1,50,1.0,2,1,0,0,1,1,1,0,1,1,0,68.04869504859734,50.723864834065594,27.457060337680357,817.8266599609841,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2085357110337004,9.3138,17.2225,49695.68855846294,891.9599680871,1190.7503396
33,33,-25865.2366,0.8,0.7,0.2,55,0.9,2,1,0,0,1,1,1,0,1,1,0,69.20154648825158,46.369249485201635,27.391010072988127,657.7755383529671,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12884119597971574,8.9164,22.446,45785.442889548634,1071.0667319331,1069.178736
34,34,-292617.7178,0.7,0.9,0.7,40,1.0,2,1,0,0,1,1,1,0,1,1,0,78.27507740180569,60.145095997451946,32.68158834856619,879.5397508998159,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,11.1712,24.1299,53269.639025931654,1344.762809568,1567.1623999
35,35,-61230.8949,0.9,0.9,0.1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,53.989489116678016,36.5946644777447,32.286100720723894,969.1355909042222,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.1525,14.432,35963.30292536407,559.1544508693,944.0828038
36,36,-67337.7165,0.9,0.7,1.0,45,1.0,2,1,0,0,1,1,1,0,1,1,0,55.61491953050054,35.93320322762406,32.79769651264402,967.9133038661882,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,10.3709,18.0953,32681.499508865967,636.6742541458,1131.5961166
37,37,-121227.6852,0.8,0.8,0.1,45,0.9,2,1,0,0,1,1,1,0,1,1,0,58.761987325159176,40.043303615535294,21.364492234266354,521.0631008336106,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9511,24.1621,39184.65455848543,981.7556768757,985.7734309
38,38,-30521.2304,1.0,0.9,0.2,40,0.9,2,1,0,0,1,1,1,0,1,1,0,55.886389182623816,35.24057669465873,29.609847951049197,673.2848280870463,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.053587620636289704,7.1778,15.8296,32899.95135994123,555.481791764,923.9911956
39,39,-9193.8319,1.0,0.9,1.0,50,0.9,2,1,0,0,1,1,1,0,1,1,0,84.48645538569335,64.32942418422539,32.89787625220875,870.2187317315569,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.16552877857708506,9.3894,18.5344,57254.45510039952,1104.2987851386,1435.4510824
40,40,-129644.457,1.0,0.7,0.4,55,1.0,2,1,0,0,1,1,1,0,1,1,0,83.90420539752546,63.13498946724795,32.69096805223224,897.2993491680213,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.5273,23.2291,62829.761397021066,1520.3861843446,1507.7967074
41,41,-193975.745,0.7,0.7,1.0,25,1.0,2,1,0,0,1,1,1,0,1,1,0,51.90032421586558,31.79336658842132,30.607481680188485,823.0977403001095,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.2477,16.5844,28373.075237441135,505.2999074063,1099.4097969
42,42,-212952.5686,1.0,1.0,0.7,20,0.9,2,1,0,0,1,1,1,0,1,1,0,44.52448959349767,27.25770104160402,25.33783110467315,764.9022287944813,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.1998,16.9484,24688.015101644753,447.5573645603,926.8413588
43,43,88064.7498,1.0,0.7,0.2,60,1.0,2,1,0,0,1,1,1,0,1,1,0,87.10064325373138,67.3960378957548,31.399483828046954,743.8796097701814,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.373528722731762,8.9114,19.2416,67087.35741620426,1338.94058552,1299.8998832
44,44,69317.4853,1.0,1.0,0.2,60,1.0,2,1,0,0,1,1,1,0,1,1,0,73.58429687533435,50.009547452233164,37.071574285499025,1003.8290147521577,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3895062858894243,12.0167,16.6215,52972.36749754832,938.0033233338,1229.9063567
45,45,-359083.6202,1.0,1.0,0.4,20,1.0,2,1,0,0,1,1,1,0,1,1,0,53.57827696196836,34.6696040211013,27.074701401734487,786.9594143898859,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.5149,23.0482,29313.392356209046,715.8181507408,1160.6394632
46,46,-423131.3858,1.0,0.7,0.5,30,1.0,2,1,0,0,1,1,1,0,1,1,0,73.04888165532677,54.451357561513426,32.56283633558957,892.4107231975179,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.5993,24.41,48076.63947681026,1233.4169653903,1403.7486123
47,47,-315048.182,1.0,0.8,0.7,20,0.9,2,1,0,0,1,1,1,0,1,1,0,48.25724529091721,26.57934375577272,21.95905243792749,458.86523635799665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1974,33.3998,18526.484884939055,667.8864622674,1191.5526945
48,48,-499812.5453,0.7,0.7,1.0,25,0.9,2,1,0,0,1,1,1,0,1,1,0,78.78383428769031,59.22206556711515,31.60395563882444,843.6232775769516,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.3146,28.9138,43815.43957562684,1326.3321242375,1550.5689034
49,49,-3190.3023,1.0,0.8,1.0,60,0.9,2,1,0,0,1,1,1,0,1,1,0,80.90606376201939,59.15032527409467,29.89042655396395,714.7699927535405,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.18465380548627314,14.3859,22.109,53486.747141598105,1227.2888072203,1693.2688877
50,50,80353.9827,1.0,0.7,0.4,60,1.0,2,1,0,0,1,1,1,0,1,1,0,82.65962195333853,64.70884036742481,28.89837840266158,742.2442891490771,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.36816073524138915,10.9776,18.9133,64953.124793886185,1271.5625239715,1396.0304569
51,51,-316881.3125,0.9,0.8,0.3,30,1.0,2,1,0,0,1,1,1,0,1,1,0,81.29570686025545,60.430298699923604,36.08236383967247,1040.0709438039207,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0672,19.1512,55164.904024717325,1111.5395377942,1369.3798418
52,52,2100.4259,0.8,0.9,0.3,55,0.9,2,1,0,0,1,1,1,0,1,1,0,72.32972033129269,52.94934100598368,29.740747621139153,834.6289299235781,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2035091443184535,10.2711,19.6212,52366.58998389142,1073.3177791092,1157.685429
53,53,-562039.5534,1.0,0.8,0.9,25,1.0,2,1,0,0,1,1,1,0,1,1,0,99.48136501065126,78.6466718973711,35.08030785105682,760.3412945855637,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.3856,23.3308,64330.494151095496,1559.28416341,1769.4621715
54,54,-545051.3837,1.0,1.0,0.9,20,1.0,2,1,0,0,1,1,1,0,1,1,0,58.434142335918324,40.09795039680232,28.23933717098475,718.9595636205091,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.3312,39.5477,25856.677552880174,1086.0766513172,1565.7464967
55,55,-337001.7959,0.7,0.7,0.9,50,0.9,2,1,0,0,1,1,1,0,1,1,0,75.43820129830152,58.9772683179348,35.188244756452285,1232.943279037126,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,11.5942,33.4582,47248.334981849854,1670.5242450966,1664.2006361
56,56,-144768.1998,0.8,0.7,0.8,30,1.0,2,1,0,0,1,1,1,0,1,1,0,46.91154462117558,30.038275085227628,28.284542499935306,658.0314352884461,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.7288,16.8828,26134.860785539327,474.4990549766,1060.6551896
57,57,48961.4508,0.8,0.8,0.1,55,1.0,2,1,0,0,1,1,1,0,1,1,0,38.287299483022025,20.25188124725843,21.400670680912548,590.809440118612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45930986910777616,10.6971,16.2864,18865.894071492025,330.4562516532,999.4789443
58,58,-146502.6972,0.7,0.7,1.0,40,0.9,2,1,0,0,1,1,1,0,1,1,0,84.62081096702505,64.27778856436508,34.37456013089948,1021.382366930206,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.7014,19.8838,54108.07136822632,1126.5515059859,1400.2766115
59,59,26720.7065,0.9,0.9,0.2,50,0.9,2,1,0,0,1,1,1,0,1,1,0,48.93343929905519,29.329139424887124,28.78585039333042,795.9969907028583,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3246359660753705,10.1327,14.5459,28756.09619227872,450.794138923,897.5026251
60,60,-402258.9714,1.0,0.7,1.0,25,0.9,2,1,0,0,1,1,1,0,1,1,0,77.02735613556271,56.67918538211073,27.35120307489191,597.2133211254463,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.8419,24.4351,44175.534423075296,1122.3309466986,1463.6095473
61,61,-416038.3579,1.0,0.9,0.7,25,0.9,2,1,0,0,1,1,1,0,1,1,0,71.43798166863192,52.70509071483035,24.480085438660836,571.4941444542501,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9231,27.7466,38154.807356982936,1102.6934714207,1503.4049639
62,62,72309.2821,0.7,1.0,1.0,60,0.9,2,1,0,0,1,1,1,0,1,1,0,67.1814263242693,49.085504648174535,33.901799644985694,1009.1647767125097,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.41099040819871374,13.4238,16.0888,50697.173409106326,867.5155715233,1191.3058827
63,63,-168568.4904,0.7,0.8,1.0,25,0.9,2,1,0,0,1,1,1,0,1,1,0,53.67582551908746,32.878535086791885,31.95255152469057,793.0010220962781,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.3802,15.5163,29895.58443559063,499.6511625431,916.8039769
64,64,-291046.2686,0.8,0.9,1.0,35,1.0,2,1,0,0,1,1,1,0,1,1,0,77.38656656634421,60.02855631707534,28.610260820678583,719.1700783090059,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0612,21.979,48678.833464756324,1115.0001491813,1887.8848702
65,65,-247222.5217,0.8,0.9,0.9,30,0.9,2,1,0,0,1,1,1,0,1,1,0,77.85310477835004,57.979082283456506,32.541204483882396,827.8407259655444,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7.2681,19.416,47248.00225291414,958.0217012193,1283.324757
66,66,-126597.087,1.0,0.9,0.4,45,0.9,2,1,0,0,1,1,1,0,1,1,0,73.87724482557267,54.21838977458971,34.34213018316157,1025.787883784073,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,10.5682,18.7938,54056.56062202557,1071.1321771063,1157.6863803
67,67,-252545.1564,0.9,0.8,0.8,20,0.9,2,1,0,0,1,1,1,0,1,1,0,50.0450589768891,31.54180646009347,29.725104968519254,826.0680714799798,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.645,18.5828,27353.405051550057,545.218405931,930.7183136
68,68,-366509.7435,0.7,0.8,0.6,35,1.0,2,1,0,0,1,1,1,0,1,1,0,65.04476241623398,46.70002069084069,27.65755132528915,733.8072282384038,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,11.4607,30.5196,35987.727795938365,1151.5889670337,1653.4814563
69,69,131203.0442,1.0,0.8,1.0,55,0.9,2,1,0,0,1,1,1,0,1,1,0,95.46724459277817,76.03445121410815,32.92762539725235,755.9149340202772,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.49285028097907496,10.9375,15.813,70718.9499781755,1158.4355500002,1645.5843127
70,70,-332460.965,1.0,0.7,0.4,40,1.0,2,1,0,0,1,1,1,0,1,1,0,81.88469003395986,62.20375592867904,30.653052334218188,863.9031961219684,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.7297,24.9022,57958.476501999736,1500.9008031845,1515.1773578
71,71,-196270.5265,0.8,0.8,1.0,55,0.9,2,1,0,0,1,1,1,0,1,1,0,90.14859786192542,69.31402823339201,36.4210963399174,1067.8726418825056,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0865,22.1123,71451.94824369313,1656.0960358828,1685.3920539
72,72,89847.382,0.9,1.0,0.5,60,0.9,2,1,0,0,1,1,1,0,1,1,0,81.03714468227395,59.24461476032353,33.70115103661499,876.9106464696015,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.43021462651543496,11.9732,17.0795,60551.410638777095,1083.1528426633,1286.7060641
73,73,34113.8701,1.0,0.8,0.8,55,0.9,2,1,0,0,1,1,1,0,1,1,0,46.847282770645236,27.552851586676617,26.480403360618862,761.656758539766,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.35809684614194864,11.5017,16.354,26931.971239202692,472.8079968994,928.0384853
74,74,-86334.3002,0.8,1.0,0.3,45,1.0,2,1,0,0,1,1,1,0,1,1,0,88.50206224510639,70.04856161043125,35.51097006377068,1044.935501173476,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01746706128834821,9.8069,16.9429,69270.83764537658,1227.4150199476,1368.4963621
75,75,-224.4722,0.8,0.7,0.1,60,1.0,2,1,0,0,1,1,1,0,1,1,0,79.51687856490518,59.55450649335627,32.89900308184277,997.4700420004403,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.1960029768200726,9.9181,21.9207,59455.16570452529,1363.7605762783,1288.936813
76,76,-232031.9429,0.7,0.7,0.3,25,1.0,2,1,0,0,1,1,1,0,1,1,0,54.7615946394041,34.999366950429746,27.781420770207163,783.6310049575899,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.9911,17.6444,32163.093725927316,601.4775725962,1143.4526259
77,77,1025.2591,0.7,0.9,0.2,45,0.9,2,1,0,0,1,1,1,0,1,1,0,49.48423285549954,30.626515186312748,29.306281446306393,796.727738195432,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2009799444739334,9.943,13.9468,30172.22167296247,453.5143093281,897.0052669
78,78,-84576.3412,0.8,0.8,0.3,50,1.0,2,1,0,0,1,1,1,0,1,1,0,78.38394692682594,58.75988890688424,35.52772233369478,1037.8154462322032,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.017686613504084396,11.2308,19.2614,57958.728692913035,1178.021537529,1358.56251
79,79,-169864.4668,0.8,1.0,0.7,20,1.0,2,1,0,0,1,1,1,0,1,1,0,42.48652216826898,22.70860946755519,23.949550712328165,588.8323537057506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.461,15.5275,20201.150395369837,337.4411332684,1047.0963516
80,80,-414042.7761,0.7,0.9,0.8,30,0.9,2,1,0,0,1,1,1,0,1,1,0,68.43900162326942,49.78070074495989,29.711146122614597,725.1835630176421,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.35,29.3337,37829.757535421544,1162.6162267691,1341.2253382
81,81,-400496.0831,0.8,0.7,0.6,35,0.9,2,1,0,0,1,1,1,0,1,1,0,85.58905481843196,64.20288555105576,34.112936884992365,755.0229558343531,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.3075,25.7955,55731.90368994753,1499.3997973484,1413.7422034
82,82,-35401.9242,1.0,0.9,0.6,55,0.9,2,1,0,0,1,1,1,0,1,1,0,80.82271579022554,60.24728148468516,30.990717647170626,751.1507278208019,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.12700628794381108,13.215,19.9761,60023.08647505879,1247.5756701137,1422.7588796
83,83,-120611.3054,0.7,1.0,0.8,20,1.0,2,1,0,0,1,1,1,0,1,1,0,37.05950988559453,18.16178240699928,20.67360066900178,444.7026948872928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9265,14.4625,15359.792507058079,238.717652002,1031.971215
84,84,-420270.397,0.7,1.0,0.7,25,0.9,2,1,0,0,1,1,1,0,1,1,0,66.81419826829045,48.71611934615556,33.619869911063006,1011.6243258182661,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.6643,26.3009,37722.81615284287,1051.8794052565,1147.167386
85,85,80849.7859,0.7,0.8,1.0,55,1.0,2,1,0,0,1,1,1,0,1,1,0,38.45769533652615,17.175784246139212,21.10996132310858,443.38960760746346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7974076056315638,7.5592,14.4347,15335.204464088336,239.6178820016,1053.2272184
86,86,-240444.7597,0.9,1.0,0.4,25,0.9,2,1,0,0,1,1,1,0,1,1,0,56.54377892108515,35.81299148081946,33.254916240777774,968.238963614657,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.5679,19.0609,31185.211491443442,639.4648558611,951.1453359
87,87,-62927.7392,0.8,0.9,0.9,55,0.9,2,1,0,0,1,1,1,0,1,1,0,65.51139227454547,46.76702921268223,32.850292372230015,808.096533120007,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0639139865937409,13.5268,19.4772,48944.03485023008,1010.0988215127,1156.1426819
