n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
504,504,-75860.3894,0.9,1.0,0.6,35,0.9,2,1,0,0,1,1,1,0,1,1,0,50.580535072373124,32.33105475021084,30.026044158548864,826.0523054466213,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.1532,15.6327,29031.13681086817,488.4419218575,923.2037099
505,505,-18706.7816,1.0,1.0,0.3,45,1.0,2,1,0,0,1,1,1,0,1,1,0,54.03625004757789,36.54859768507133,32.64382519141009,950.852088621353,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.12237402145549084,11.228,14.6608,36244.405192563965,572.9174338358,1092.3803777
506,506,-214673.9093,0.9,1.0,1.0,20,0.9,2,1,0,0,1,1,1,0,1,1,0,51.897604248215835,32.27007703576045,30.681207638042025,823.4996014907024,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.3787,15.9748,28357.138939635613,486.29362914,935.5345654
507,507,-61171.9099,0.9,0.9,0.4,50,1.0,2,1,0,0,1,1,1,0,1,1,0,52.62948486596729,35.217976738554945,29.1813719634783,849.6003790202712,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.5148,20.6829,31983.236964827287,704.4643343008,1167.8966136
508,508,-118536.274,0.8,0.7,0.8,35,1.0,2,1,0,0,1,1,1,0,1,1,0,57.24343213525579,34.65028904220653,33.19727486649868,966.7788757261787,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.6273,16.7087,31227.091322959797,561.2214510695,1125.5975551
509,509,-597748.7299,0.8,1.0,0.7,25,1.0,2,1,0,0,1,1,1,0,1,1,0,83.74116050134649,62.82882416563778,31.579217757689747,861.6481085519262,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,9.4256,29.8232,48226.58675957992,1500.3506003312,1700.7609764
510,510,-172016.2625,0.7,0.7,1.0,45,0.9,2,1,0,0,1,1,1,0,1,1,0,76.07858664115791,58.66576392764128,31.232569591778827,882.4005430926694,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,10.5342,23.7605,47677.946592133594,1183.2778187553,1555.4602411
511,511,-88846.83,0.9,1.0,0.9,50,1.0,2,1,0,0,1,1,1,0,1,1,0,81.25607412125237,53.636925124134684,31.73879947219565,710.7639305571237,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,12.4018,21.5635,46445.3201151633,1042.3087837192,1674.2299216
512,512,-56322.2025,0.8,0.8,0.9,60,0.9,2,1,0,0,1,1,1,0,1,1,0,84.18552575767721,65.83689197953464,36.140019662256954,1052.5012007635605,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11354245944981539,14.3675,20.9215,67534.72326304688,1486.5025457448,1488.5952832
513,513,-419770.2392,0.9,0.9,0.7,30,0.9,2,1,0,0,1,1,1,0,1,1,0,56.009443232477864,37.04945690381684,26.45006603808509,614.1577530121048,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.3282,35.9148,28297.923789572316,1071.9899449954,1307.4155688
