n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
62,62.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.4,0.8,0.7,1.0,55.0,500.9435876228454,190.19516550018875,764.8735806966372,2533.3856909340016
63,63.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.4,0.8,0.7,1.0,55.0,99.73794878304749,190.19516550018875,885.2415806966371,2533.3856909340016
64,64.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.5,1.0,0.8,0.9,55.0,113.45929077664485,190.19516550018875,1018.9184922247282,2903.2780669704653
65,65.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,55.0,-133.00070852316173,190.19516550018875,1299.480291021329,5204.37545577627
66,66.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.5,0.8,1.0,0.9,55.0,562.4556489484909,190.19516550018875,885.2651152809101,2903.2780669704653
67,67.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.9,0.9,1.0,1.0,45.0,-843.4384548848758,135.48321153713508,1400.478394468143,3325.5238897013783
68,68.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.7,0.8,0.9,0.8,55.0,-174.20110535763868,190.19516550018875,919.474123752819,3718.335403813972
69,69.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.4,0.9,0.7,0.9,65.0,923.6050442424792,190.19516550018875,1085.1290041277005,2458.11310616342
70,70.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.3,0.7,0.8,0.7,45.0,360.7872123776815,190.19516550018875,1041.3781475745143,1862.4029758152108
71,71.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,2.0,0.6,0.9,0.9,0.7,55.0,118.09619802247194,190.19516550018875,905.6296037528191,3197.897858236344
72,72.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.9,0.9,0.7,0.7,65.0,534.2527374639218,190.19516550018875,960.7825806966371,4533.3927406574785
73,73.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,0.8,0.7,65.0,-82.57490385983698,190.19516550018875,1076.4540922247281,4978.557701464523
74,74.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.9,1.0,55.0,-402.1900983481269,190.19516550018875,1059.049003752819,5204.37545577627
75,75.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.7,0.9,0.7,55.0,-399.9935006076567,190.19516550018875,1183.664371021329,4978.557701464523
76,76.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.3,0.8,0.9,1.0,55.0,309.5484584270541,190.19516550018875,965.502603752819,2088.2207301269577
77,77.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.1,0.9,0.8,0.7,65.0,1113.49438858666,190.19516550018875,865.4990922247281,972.0730542011215
78,78.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4,1.0,0.8,1.0,45.0,-157.0639253667581,190.19516550018875,1315.7875475745145,2533.3856909340016
79,79.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7,0.7,65.0,178.3362696907623,190.19516550018875,1036.323580696637,4978.557701464523
80,80.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.9,0.8,0.9,0.7,55.0,-399.67428295801795,166.2523362810506,965.502603752819,4032.2751952030735
81,81.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.7,0.9,0.7,0.7,55.0,-52.063416647283226,190.19516550018875,1085.1290041277005,3643.0628190433886
82,82.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.7,0.8,0.9,0.7,55.0,215.3457132074577,190.19516550018875,845.1346037528192,3643.0628190433886
83,83.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.9,1.0,0.7,65.0,698.1474500852124,190.19516550018875,1452.260434468143,1417.2380150081663
84,84.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.4,1.0,0.9,0.7,45.0,285.0366941741125,190.19516550018875,966.124603752819,2307.5679366222553
85,85.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.5,1.0,0.7,0.9,55.0,102.72451675218322,190.19516550018875,1036.323580696637,2903.2780669704653
86,86.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.4,0.8,0.7,0.9,45.0,31.799784375475337,190.19516550018875,1024.6340041277006,2458.11310616342
87,87.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.5,0.8,0.8,1.0,45.0,-450.5023195895879,190.19516550018875,1222.2411475745146,2978.5506517410463
88,88.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.4,0.8,0.9,1.0,55.0,500.4134729506238,190.19516550018875,1179.1122910213292,2533.3856909340016
89,89.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.8,0.7,55.0,366.68159689107614,190.19516550018875,1315.7875475745145,2752.7328974292996
90,90.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.6,1.0,0.8,0.7,45.0,-444.5830550746308,190.19516550018875,1076.4540922247281,3197.897858236344
