n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,DAKOTA_WF_CAIPAL,DAKOTA_WF_456,DAKOTA_WF_7,DAKOTA_WF_123,DAKOTA_WF_89,D_DLLO_IAV_89,DAKOTA_IAV_123,DAKOTA_IAV_456,DAKOTA_IAV_7,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
22,22,-79356.2282,0.0,0.0,0.8,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07097234024185116,14.5176,19.1235,72418.17280792864,1453.0284339939,1204.2432
23,23,-60387.3001,0.0,0.30000000000000004,0.6,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10151758718653396,13.061,19.0896,72418.17280792864,1450.4553817689,1148.9707
24,24,-52682.8535,0.0,0.0,0.5,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11411302571589647,12.3326,19.1235,72418.17280792864,1453.0284339939,1121.3345
25,25,-43985.7434,0.09999999999999998,0.0,0.4,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.12880679659009028,11.6043,19.1183,72418.17280792864,1452.6292315833,1093.6982
26,26,-52684.7546,0.0,0.30000000000000004,0.4,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1059923861865353,12.3093,19.5994,70599.37952535566,1450.4553817689,1289.2234
27,27,-62203.0373,0.0,0.09999999999999998,0.5,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09040896950102925,13.057,19.6226,70599.37952535566,1452.1707499189,1316.8596
28,28,-70134.3348,0.19999999999999996,0.30000000000000004,0.6,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0777850965078562,13.8048,19.5886,70599.37952535566,1449.6570837025,1344.4958
29,29,-43116.9222,0.0,0.30000000000000004,0.4,30,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13032471771490872,11.6043,19.0896,72418.17280792864,1450.4553817689,1093.6982
30,30,-43285.5296,0.09999999999999998,0.19999999999999996,0.4,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13002790281189422,11.6043,19.0957,72418.17280792864,1450.9138634333,1093.6982
31,31,-35021.3366,0.09999999999999998,0.19999999999999996,0.3,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14442768316957894,10.876,19.0957,72418.17280792864,1450.9138634333,1066.062
