n,ID,VPN,I_SENSI_CAPEX_FACIL ,I_SENSI_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultCAPEXPerfo_palagua,D_CANT_TALADROS_INFILL,D_CANT_TALADROS_WF,D_TIPO_COMPLET_INFILL_WF,D_TIPO_COMPLET_V,D_DLLO_INFILL_B_123,D_DLLO_INFILL_B_456,D_DLLO_INFILL_B_7,D_DLLO_INFILL_B_CAIPAL,D_DLLO_INFILL_B_89,D_DLLO_PILOTO,DAKOTA_WF_CAIPAL,DAKOTA_WF_456,DAKOTA_WF_7,DAKOTA_WF_123,DAKOTA_WF_89,D_DLLO_IAV_89,DAKOTA_IAV_123,DAKOTA_IAV_456,DAKOTA_IAV_7,D_CAPEX_FACILIDADES,VOL_TEC_TOTAL_OIL,VOL_TEC_INCREMENTAL,VOL_TEC_TOTAL_GAS,VOL_TEC_TOTAL_WATER,D_DLLO_IAV_456,D_DLLO_IAV_7,D_DLLO_IAV_123,D_DLLO_WF_CAIPAL,D_DLLO_WF_456,D_DLLO_WF_7,D_DLLO_WF_123,D_DLLO_WF_89,EFI_55,Lif_Cost_55,Dev_Cost_55,Vol_tol_le_55,Total_capex,Total_opex
62,62,-60740.4972,0.0,0.19999999999999996,0.6,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10092196992982781,13.061,19.1009,72418.17280792864,1451.3130658439,1148.9707
63,63,-70499.0048,0.0,0.30000000000000004,0.6,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07718525565816023,13.8048,19.5994,70599.37952535566,1450.4553817689,1344.4958
64,64,-70499.0048,0.0,0.30000000000000004,0.6,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07718525565816023,13.8048,19.5994,70599.37952535566,1450.4553817689,1344.4958
65,65,-78277.8651,0.19999999999999996,0.19999999999999996,0.8,30,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07272722848025101,14.5176,19.0904,72418.17280792864,1450.5147677775,1204.2432
66,66,-61659.1419,0.30000000000000004,0.09999999999999998,0.5,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0913190962500294,13.057,19.6064,70599.37952535566,1450.9734629504,1316.8596
67,67,-36151.7691,0.30000000000000004,0.0,0.2,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13390579253881327,10.8137,19.618,70599.37952535566,1451.8311470254,1233.9509
68,68,-45104.2727,0.0,0.0,0.3,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1185805746103962,11.5615,19.6342,70599.37952535566,1453.0284339939,1261.5871
69,69,-45104.2727,0.0,0.0,0.3,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1185805746103962,11.5615,19.6342,70599.37952535566,1453.0284339939,1261.5871
70,70,-98702.1807,0.0,0.19999999999999996,0.9,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.03341548938210873,16.0482,19.611,70599.37952535566,1451.3130658439,1427.4045
71,71,-96869.0151,0.30000000000000004,0.09999999999999998,1.0,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0436453841353301,15.9743,19.0964,72418.17280792864,1450.9734629504,1259.5157
72,72,-53022.0379,0.19999999999999996,0.09999999999999998,0.4,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10541162302670837,12.3093,19.6118,70599.37952535566,1451.3724518525,1289.2234
73,73,-70838.8787,0.19999999999999996,0.09999999999999998,0.6,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.076619628147065,13.8048,19.6118,70599.37952535566,1451.3724518525,1344.4958
74,74,-88133.2396,0.0,0.09999999999999998,0.9,30,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.057163037451092275,15.246,19.1122,72418.17280792864,1452.1707499189,1231.8794
75,75,-69558.8516,0.0,0.19999999999999996,0.7,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08652619827297615,13.7893,19.1009,72418.17280792864,1451.3130658439,1176.6069
76,76,-43518.3691,0.30000000000000004,0.30000000000000004,0.3,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.12133198408337761,11.5615,19.5832,70599.37952535566,1449.2580948004,1261.5871
77,77,-69899.5745,0.19999999999999996,0.0,0.7,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08595597145481412,13.7893,19.113,72418.17280792864,1452.2301359275,1176.6069
78,78,-69363.6145,0.30000000000000004,0.09999999999999998,0.7,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08684540293458373,13.7893,19.0964,72418.17280792864,1450.9734629504,1176.6069
79,79,-35818.0516,0.09999999999999998,0.19999999999999996,0.2,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13450152594359346,10.8137,19.6056,70599.37952535566,1450.9138634333,1233.9509
80,80,-34839.8851,0.19999999999999996,0.19999999999999996,0.3,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1447461849387276,10.876,19.0904,72418.17280792864,1450.5147677775,1066.062
81,81,-80141.2831,0.30000000000000004,0.0,0.7,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06194470999365323,14.5526,19.618,70599.37952535566,1451.8311470254,1372.1321
82,82,-43698.8183,0.19999999999999996,0.30000000000000004,0.3,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.12101982070044191,11.5615,19.5886,70599.37952535566,1449.6570837025,1261.5871
83,83,-97782.1295,0.0,0.0,1.0,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.042211883259154384,15.9743,19.1235,72418.17280792864,1453.0284339939,1259.5157
84,84,-79449.0407,0.09999999999999998,0.30000000000000004,0.7,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06307760203373029,14.5526,19.594,70599.37952535566,1450.0561793583,1372.1321
85,85,-35471.349,0.09999999999999998,0.30000000000000004,0.2,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13511549357010535,10.8137,19.594,70599.37952535566,1450.0561793583,1233.9509
86,86,-43866.5065,0.30000000000000004,0.19999999999999996,0.3,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1207251394606699,11.5615,19.5948,70599.37952535566,1450.1157788754,1261.5871
87,87,-96705.175,0.19999999999999996,0.0,1.0,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.017746363463101336,13.7501,21.8622,63449.96707092519,1452.2301359275,1455.0408
88,88,-43804.2919,0.19999999999999996,0.0,0.4,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1291206075083648,11.6043,19.113,72418.17280792864,1452.2301359275,1093.6982
89,89,-42935.4226,0.09999999999999998,0.30000000000000004,0.4,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13063944782592174,11.6043,19.0844,72418.17280792864,1450.0561793583,1093.6982
90,90,-28103.44,0.0,0.09999999999999998,0.1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14796091541711345,10.0659,19.6226,70599.37952535566,1452.1707499189,1206.3146
91,91,-89951.5571,0.0,0.0,0.8,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.04667943215365426,15.3004,19.6342,70599.37952535566,1453.0284339939,1399.7683
92,92,-19120.0306,0.19999999999999996,0.09999999999999998,0.1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.17291916234460297,9.4193,19.1017,72418.17280792864,1451.3724518525,1010.7895
93,93,-69193.1803,0.19999999999999996,0.19999999999999996,0.7,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08713101977194627,13.7893,19.0904,72418.17280792864,1450.5147677775,1176.6069
94,94,-27232.8125,0.09999999999999998,0.30000000000000004,0.1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14952307187738031,10.0659,19.594,70599.37952535566,1450.0561793583,1206.3146
95,95,-96880.7986,0.09999999999999998,0.19999999999999996,1.0,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.04362922066578737,15.9743,19.0957,72418.17280792864,1450.9138634333,1259.5157
96,96,-60557.6373,0.09999999999999998,0.19999999999999996,0.6,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1012283420965255,13.061,19.0957,72418.17280792864,1450.9138634333,1148.9707
97,97,-51615.7731,0.19999999999999996,0.19999999999999996,0.5,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11593860235533697,12.3326,19.0904,72418.17280792864,1450.5147677775,1121.3345
98,98,-77922.4815,0.19999999999999996,0.30000000000000004,0.8,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07330780918272084,14.5176,19.0791,72418.17280792864,1449.6570837025,1204.2432
99,99,-69912.0487,0.0,0.09999999999999998,0.7,60,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08593901040913422,13.7893,19.1122,72418.17280792864,1452.1707499189,1176.6069
100,100,-80335.9437,0.0,0.09999999999999998,0.7,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06163299654298715,14.5526,19.6226,70599.37952535566,1452.1707499189,1372.1321
101,101,-44167.243,0.0,0.0,0.4,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.12849325420724478,11.6043,19.1235,72418.17280792864,1453.0284339939,1093.6982
102,102,-53203.3364,0.09999999999999998,0.09999999999999998,0.4,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10510424087526418,12.3093,19.6172,70599.37952535566,1451.7715475083,1289.2234
103,103,-79971.2737,0.19999999999999996,0.09999999999999998,0.7,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06222363070724339,14.5526,19.6118,70599.37952535566,1451.3724518525,1372.1321
104,104,-18242.9088,0.30000000000000004,0.30000000000000004,0.1,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1745158175825979,9.4193,19.0738,72418.17280792864,1449.2580948004,1010.7895
105,105,-80335.9437,0.0,0.09999999999999998,0.7,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06163299654298715,14.5526,19.6226,70599.37952535566,1452.1707499189,1372.1321
106,106,-69952.0724,0.30000000000000004,0.30000000000000004,0.6,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07808520736661477,13.8048,19.5832,70599.37952535566,1449.2580948004,1344.4958
107,107,-43467.0291,0.0,0.19999999999999996,0.4,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1297135132435305,11.6043,19.1009,72418.17280792864,1451.3130658439,1093.6982
108,108,-27219.6918,0.30000000000000004,0.19999999999999996,0.1,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14954071068938257,10.0659,19.5948,70599.37952535566,1450.1157788754,1206.3146
109,109,-35638.1839,0.19999999999999996,0.19999999999999996,0.2,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13481726286768023,10.8137,19.6002,70599.37952535566,1450.5147677775,1233.9509
110,110,-96001.3531,0.19999999999999996,0.19999999999999996,1.0,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.018847555754171973,13.7501,21.8363,63449.96707092519,1450.5147677775,1455.0408
111,111,-89951.5571,0.0,0.0,0.8,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.04667943215365426,15.3004,19.6342,70599.37952535566,1453.0284339939,1399.7683
112,112,-61081.2201,0.19999999999999996,0.0,0.6,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10034418347266454,13.061,19.113,72418.17280792864,1452.2301359275,1148.9707
113,113,-70656.6162,0.30000000000000004,0.09999999999999998,0.6,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0769190899836115,13.8048,19.6064,70599.37952535566,1450.9734629504,1344.4958
114,114,-88133.2396,0.0,0.09999999999999998,0.9,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.057163037451092275,15.246,19.1122,72418.17280792864,1452.1707499189,1231.8794
115,115,-97979.7643,0.19999999999999996,0.30000000000000004,0.9,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0345503723152705,16.0482,19.5886,70599.37952535566,1449.6570837025,1427.4045
116,116,-52672.0737,0.19999999999999996,0.19999999999999996,0.4,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10600968028428961,12.3093,19.6002,70599.37952535566,1450.5147677775,1289.2234
117,117,-80323.5456,0.19999999999999996,0.0,0.7,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06164957657983593,14.5526,19.6234,70599.37952535566,1452.2301359275,1372.1321
118,118,-60959.2135,0.30000000000000004,0.30000000000000004,0.5,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09250079960553577,13.057,19.5832,70599.37952535566,1449.2580948004,1316.8596
119,119,-78106.2551,0.09999999999999998,0.30000000000000004,0.8,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07300913459682187,14.5176,19.0844,72418.17280792864,1450.0561793583,1204.2432
120,120,-35358.6956,0.30000000000000004,0.0,0.3,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1438267357997873,10.876,19.1077,72418.17280792864,1451.8311470254,1066.062
121,121,-35471.349,0.09999999999999998,0.30000000000000004,0.2,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.13511549357010535,10.8137,19.594,70599.37952535566,1450.0561793583,1233.9509
122,122,-61503.109,0.0,0.30000000000000004,0.5,40,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09158882092234777,13.057,19.5994,70599.37952535566,1450.4553817689,1316.8596
123,123,-89229.1407,0.19999999999999996,0.09999999999999998,0.8,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.047827633267421864,15.3004,19.6118,70599.37952535566,1451.3724518525,1399.7683
124,124,-89400.7873,0.30000000000000004,0.0,0.8,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.04755249348462133,15.3004,19.618,70599.37952535566,1451.8311470254,1399.7683
125,125,-43985.7434,0.09999999999999998,0.0,0.4,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.12880679659009028,11.6043,19.1183,72418.17280792864,1452.6292315833,1093.6982
126,126,-51979.9209,0.0,0.19999999999999996,0.5,30,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11531774158667923,12.3326,19.1009,72418.17280792864,1451.3130658439,1121.3345
127,127,-79356.2282,0.0,0.0,0.8,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.07097234024185116,14.5176,19.1235,72418.17280792864,1453.0284339939,1204.2432
128,128,-44407.9979,0.0,0.19999999999999996,0.3,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.11979011932321731,11.5615,19.611,70599.37952535566,1451.3130658439,1261.5871
129,129,-35903.05,0.0,0.0,0.3,50,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.14287348269859332,10.876,19.1235,72418.17280792864,1453.0284339939,1066.062
130,130,-96171.3954,0.30000000000000004,0.09999999999999998,1.0,60,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.018579882431270327,13.7501,21.8432,63449.96707092519,1450.9734629504,1455.0408
131,131,-52503.408,0.09999999999999998,0.30000000000000004,0.4,30,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10630033695555542,12.3093,19.594,70599.37952535566,1450.0561793583,1289.2234
132,132,-43985.7434,0.09999999999999998,0.0,0.4,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.12880679659009028,11.6043,19.1183,72418.17280792864,1452.6292315833,1093.6982
133,133,-27278.671,0.09999999999999998,0.09999999999999998,0.2,40,0.9,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1582010011136154,10.1476,19.107,72418.17280792864,1451.7715475083,1038.4258
134,134,-53734.6471,0.0,0.0,0.4,50,1.0,2,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,89.61802539461888,70.47419921910499,36.4813081885409,1069.3513307121962,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1042003461190479,12.3093,19.6342,70599.37952535566,1453.0284339939,1289.2234
