n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
248,248.0,1.0,1.0,1.0,1.0,0.3,2.0,1.0,0.7,0.9,1.0,50.0,-327.1429562348967,23.078289705525684,713.3500040805234,474.2745140059118
249,249.0,1.0,1.0,1.0,1.0,0.1,2.0,2.0,0.9,1.0,0.7,60.0,-166.97197668331665,23.078289705525684,645.7256948563663,384.8754907586737
250,250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,0.7,30.0,-434.20244743983363,4.435883168136524,627.4556148563663,150.40024252936882
251,251.0,1.0,1.0,1.0,1.0,0.3,2.0,1.0,0.9,0.9,1.0,50.0,-355.30380195231766,23.078289705525684,759.0942440805235,474.2745140059118
252,252.0,1.0,1.0,1.0,1.0,0.4,1.0,2.0,1.0,0.9,0.7,40.0,-368.10599080550406,23.078289705525684,707.8466148563664,535.1728817788191
253,253.0,1.0,1.0,1.0,1.0,0.3,3.0,2.0,0.9,0.9,1.0,50.0,-268.203631876355,23.078289705525684,684.2641640805234,474.2745140059118
254,254.0,1.0,1.0,1.0,1.0,0.2,2.0,1.0,0.8,1.0,1.0,50.0,-333.7257571698361,23.078289705525684,736.2221240805234,445.773858531581
255,255.0,1.0,1.0,1.0,1.0,0.3,2.0,2.0,0.9,0.9,0.7,50.0,-245.8635153564673,23.078289705525684,645.7256948563663,474.2745140059118
256,256.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.9,0.9,0.7,30.0,-440.42082110035835,4.435883168136524,681.0496148563664,98.83174410636377
257,257.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.8,0.9,0.7,60.0,-218.52107280966928,23.078289705525684,654.2526148563663,596.0712495517265
258,258.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,40.0,-505.84615942928764,4.435883168136524,794.4181640805233,135.36021827643194
259,259.0,1.0,1.0,1.0,1.0,0.6,3.0,2.0,0.7,1.0,0.7,40.0,-283.29379919560466,13.682790068623277,502.8136148563663,359.3542877479627
260,260.0,1.0,1.0,1.0,1.0,0.1,3.0,1.0,1.0,0.9,0.8,30.0,-384.80118146073823,13.682790068623277,642.7261312644187,188.65580964804477
261,261.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.7,0.9,0.8,40.0,-342.3651187852427,4.435883168136524,540.6031312644187,144.49233681894896
262,262.0,1.0,1.0,1.0,1.0,0.3,1.0,2.0,0.9,1.0,0.9,50.0,-322.8288251846937,23.078289705525684,756.6286476724712,506.6722263044884
263,263.0,1.0,1.0,1.0,1.0,0.4,1.0,2.0,1.0,0.9,0.9,50.0,-346.8290682431589,23.078289705525684,783.425647672471,535.1728817788191
264,264.0,1.0,1.0,1.0,1.0,0.7,1.0,2.0,0.7,0.9,1.0,60.0,-304.5632498996128,23.078289705525684,740.8241640805232,717.8679850975411
265,265.0,1.0,1.0,1.0,1.0,0.2,2.0,1.0,1.0,1.0,0.8,30.0,-444.42774320919875,4.435883168136524,706.3873312644187,77.3432941892325
266,266.0,1.0,1.0,1.0,1.0,0.1,3.0,1.0,1.0,0.9,0.9,30.0,-407.58267777238814,13.682790068623277,680.515647672471,188.65580964804477
267,267.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.9,0.9,40.0,-385.95120494731276,4.435883168136524,612.4336476724711,144.49233681894896
268,268.0,1.0,1.0,1.0,1.0,0.3,3.0,1.0,0.8,1.0,1.0,50.0,-298.0973724079083,23.078289705525684,650.2231640805235,506.6722263044884
269,269.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.9,50.0,-363.3270893354442,23.078289705525684,783.425647672471,445.773858531581
270,270.0,1.0,1.0,1.0,1.0,0.9,3.0,1.0,0.8,1.0,1.0,40.0,-420.3729805472344,4.435883168136524,650.2231640805235,141.26812398685178
271,271.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.7,1.0,0.9,40.0,-398.2764444253506,17.228584059626538,703.0346476724711,350.9456035835528
272,272.0,1.0,1.0,1.0,1.0,0.9,3.0,2.0,0.9,1.0,0.8,50.0,-331.29762788125197,14.823148120062866,608.6851312644187,496.594514823454
273,273.0,1.0,1.0,1.0,1.0,0.3,1.0,1.0,0.7,1.0,1.0,60.0,-286.8609617022102,23.078289705525684,740.8241640805232,506.6722263044884
274,274.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.9,1.0,1.0,60.0,-376.7866217877441,19.70101240444786,759.0942440805235,758.5359520751812
275,275.0,1.0,1.0,1.0,1.0,0.1,3.0,2.0,0.7,1.0,1.0,60.0,-150.39375257292636,23.078289705525684,616.1821640805234,384.8754907586737
276,276.0,1.0,1.0,1.0,1.0,0.4,2.0,2.0,0.9,1.0,0.7,40.0,-339.59896975491534,21.34758413565328,645.7256948563663,513.2896307532426
277,277.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9,0.9,60.0,-372.44584540853896,16.098655575530614,703.0346476724711,566.060016343606
278,278.0,1.0,1.0,1.0,1.0,0.3,2.0,2.0,0.8,0.9,1.0,40.0,-366.96749661835196,23.078289705525684,736.2221240805234,474.2745140059118
279,279.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.9,0.9,0.9,40.0,-465.9951387821005,4.435883168136524,721.304727672471,144.49233681894896
280,280.0,1.0,1.0,1.0,1.0,0.7,2.0,2.0,1.0,1.0,1.0,40.0,-465.64771927447055,11.036907577547803,781.9663640805235,304.6318982329067
