n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
110,110.0,1.0,1.0,1.0,1.0,3.0,2.0,0.8,0.8,0.8,1.0,40.0,-1233.1138037817734,52.38197966632623,2490.4164804841457,1283.627474944131
111,111.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,60.0,-1524.507777850532,82.74649910419797,4033.8606006051814,2154.8393552058697
112,112.0,1.0,1.0,1.0,0.6,1.0,1.0,0.8,0.8,1.0,0.9,40.0,-1855.6771725856677,63.93268598001005,3705.542480484145,1137.817714019677
113,113.0,1.0,1.0,1.0,0.6,3.0,2.0,0.7,0.7,0.9,1.0,60.0,-310.66704726876327,130.58794234320223,2472.975420423627,3785.6077592843617
114,114.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9,0.9,50.0,-1763.8427639682177,63.93268598001005,3794.973600605181,1518.8140053338082
115,115.0,1.0,1.0,1.0,0.9,2.0,1.0,0.8,0.8,0.7,1.0,30.0,-1675.42407635806,41.50495899604326,2742.746360484145,892.5688017360948
116,116.0,1.0,1.0,1.0,0.4,3.0,1.0,0.8,0.8,0.8,1.0,50.0,-621.8185363685294,123.94374175228508,2490.4164804841457,2711.722903178539
117,117.0,1.0,1.0,1.0,0.7,2.0,1.0,0.8,0.8,1.0,1.0,40.0,-1732.3850067132173,57.70311697755309,3353.920880484145,1129.7622063257222
118,118.0,1.0,1.0,1.0,0.5,2.0,1.0,0.7,0.7,0.7,1.0,60.0,-446.7964822955285,130.58794234320223,2578.5873004236273,3369.8715031736847
119,119.0,1.0,1.0,1.0,0.8,2.0,1.0,0.9,0.9,0.7,0.9,50.0,-1187.030405412883,73.34474891161356,2906.9054205446632,1710.446611633813
120,120.0,1.0,1.0,1.0,0.3,2.0,1.0,0.7,0.7,1.0,0.9,40.0,-1306.28386690425,106.29108532121222,3189.7618204236273,1718.0604870180723
121,121.0,1.0,1.0,1.0,0.2,3.0,1.0,0.9,0.9,0.7,1.0,60.0,-90.62367060543997,130.58794234320223,2507.857540544663,2122.6627348416546
122,122.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7,1.0,40.0,-1541.9563573865285,70.85427533892505,3317.199600605181,1226.9149160208622
123,123.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.8,0.9,1.0,60.0,-1225.0102652701505,82.74649910419797,3466.655480484145,2154.8393552058697
124,124.0,1.0,1.0,1.0,0.8,3.0,1.0,0.7,0.7,1.0,1.0,60.0,-749.4270746189391,82.74649910419797,2619.6934204236272,2154.8393552058697
125,125.0,1.0,1.0,1.0,0.4,3.0,1.0,0.9,0.9,1.0,0.9,40.0,-1245.5587652761333,77.9143539830844,2948.011540544663,1195.7828417588385
126,126.0,1.0,1.0,1.0,0.5,3.0,1.0,1.0,1.0,0.8,0.9,30.0,-1525.7754208008248,41.50495899604326,2818.734600605181,579.6509915410379
127,127.0,1.0,1.0,1.0,0.8,2.0,1.0,1.0,1.0,1.0,0.9,50.0,-1627.6907064989716,73.34474891161356,3682.2390006051814,1710.446611633813
128,128.0,1.0,1.0,1.0,0.3,3.0,1.0,1.0,1.0,0.8,1.0,60.0,-319.7880152096076,130.58794234320223,2818.734600605181,2538.398990952331
129,129.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,0.9,50.0,-1314.0956198118029,130.58794234320223,4033.8606006051814,2409.279968690301
130,130.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.9,1.0,60.0,-1111.5828949301094,77.404691278589,3302.496420423627,2259.2914518461334
131,131.0,1.0,1.0,1.0,0.4,3.0,2.0,0.9,0.9,0.7,1.0,30.0,-1164.2673489365432,68.90193226572049,2507.857540544663,1033.8014278296514
132,132.0,1.0,1.0,1.0,0.4,2.0,1.0,0.9,0.9,1.0,0.9,40.0,-1578.7674814599056,77.9143539830844,3518.0799405446633,1195.7828417588385
133,133.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9,0.9,0.9,0.9,40.0,-1398.5465876253152,130.58794234320223,3630.8145405446635,1993.5437125796243
134,134.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,50.0,-1475.4023016270705,123.94374175228508,4033.8606006051814,2711.722903178539
135,135.0,1.0,1.0,1.0,0.4,3.0,1.0,1.0,1.0,0.7,0.9,50.0,-653.8097009624513,130.58794234320223,2672.0166006051813,2825.016224800978
136,136.0,1.0,1.0,1.0,0.6,2.0,1.0,0.9,0.9,1.0,0.9,50.0,-1390.2709838648748,83.79852469307862,3518.0799405446633,1746.7476930699306
137,137.0,1.0,1.0,1.0,0.1,3.0,1.0,1.0,1.0,0.7,1.0,60.0,-67.66220815828882,130.58794234320223,2672.0166006051813,1706.9264787309778
138,138.0,1.0,1.0,1.0,0.8,2.0,2.0,0.7,0.7,0.7,0.9,30.0,-1434.3595486837537,41.50495899604326,2578.5873004236273,796.0970528521161
139,139.0,1.0,1.0,1.0,0.6,2.0,1.0,1.0,1.0,1.0,1.0,50.0,-1501.3401400963273,77.9143539830844,3682.2390006051814,1596.573875483757
140,140.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.9,0.9,30.0,-1608.4635137986002,41.50495899604326,2801.2935405446633,940.3944270595016
141,141.0,1.0,1.0,1.0,0.6,2.0,1.0,0.7,0.7,0.9,0.9,30.0,-1712.349582738919,41.50495899604326,2986.036980423627,651.7996786447306
142,142.0,1.0,1.0,1.0,1.0,3.0,2.0,0.9,0.9,0.7,0.9,60.0,-589.9101186649552,77.9143539830844,2507.857540544663,2229.212753944023
143,143.0,1.0,1.0,1.0,0.9,2.0,1.0,0.8,0.8,0.7,0.9,40.0,-1457.3387522605829,45.618047621683765,2742.746360484145,972.4295451837893
144,144.0,1.0,1.0,1.0,0.7,2.0,2.0,0.7,0.7,1.0,0.9,40.0,-1461.6143200391143,70.85427533892505,3189.7618204236273,1474.997984945687
145,145.0,1.0,1.0,1.0,0.1,2.0,1.0,0.8,0.8,0.7,1.0,50.0,-443.372513952579,130.58794234320223,2742.746360484145,1706.9264787309778
146,146.0,1.0,1.0,1.0,0.8,1.0,2.0,0.7,0.7,0.8,1.0,50.0,-1151.631978139478,77.404691278589,3063.6094204236274,1918.849174159744
147,147.0,1.0,1.0,1.0,0.9,1.0,1.0,0.8,0.8,0.9,1.0,30.0,-2101.1551833051985,41.50495899604326,3466.655480484145,892.5688017360948
148,148.0,1.0,1.0,1.0,0.3,2.0,1.0,0.9,0.9,1.0,0.9,60.0,-661.3812802940256,130.58794234320223,3518.0799405446633,2409.279968690301
149,149.0,1.0,1.0,1.0,0.6,2.0,1.0,0.9,0.9,0.8,0.9,60.0,-757.719336764957,127.66028995263277,3110.630260544663,3523.562470924159
150,150.0,1.0,1.0,1.0,0.4,3.0,1.0,0.9,0.9,1.0,1.0,60.0,-504.4077483512533,130.58794234320223,2948.011540544663,2954.135247063008
151,151.0,1.0,1.0,1.0,0.4,3.0,2.0,0.7,0.7,0.9,1.0,40.0,-807.7867647080332,101.2290504822933,2472.975420423627,1943.7774461077354
152,152.0,1.0,1.0,1.0,0.4,3.0,1.0,0.9,0.9,0.9,1.0,40.0,-1182.7737674871398,77.404691278589,2801.2935405446633,1237.9646187869655
153,153.0,1.0,1.0,1.0,1.0,1.0,2.0,0.7,0.7,0.7,1.0,50.0,-1163.5939578956356,68.90193226572049,2824.7224204236268,1886.433526633707
154,154.0,1.0,1.0,1.0,0.5,3.0,2.0,0.9,0.9,1.0,1.0,40.0,-1161.5224280980633,77.9143539830844,2948.011540544663,1424.3355567862263
155,155.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.7,0.9,40.0,-1665.2801839254037,52.38197966632623,3317.199600605181,1251.6049283326943
156,156.0,1.0,1.0,1.0,0.7,3.0,2.0,1.0,1.0,0.8,1.0,50.0,-884.2479734915869,82.74649910419797,2818.734600605181,1963.00204051517
157,157.0,1.0,1.0,1.0,0.8,2.0,2.0,1.0,1.0,0.9,0.9,60.0,-940.4361254637422,106.29108532121222,3478.514160605181,3196.2153552467585
158,158.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.9,0.9,30.0,-2097.6024599870384,41.50495899604326,3794.973600605181,579.6509915410379
159,159.0,1.0,1.0,1.0,0.7,1.0,2.0,0.9,0.9,1.0,0.9,40.0,-1825.429817442807,70.85427533892505,3869.7015405446637,1474.997984945687
160,160.0,1.0,1.0,1.0,0.1,3.0,1.0,0.7,0.7,0.8,0.9,50.0,-225.3410120361961,130.58794234320223,2326.257420423627,1577.807456468948
161,161.0,1.0,1.0,1.0,0.9,2.0,2.0,0.7,0.7,0.9,1.0,60.0,-845.4411945794365,84.26963300998734,2986.036980423627,2422.373777386755
162,162.0,1.0,1.0,1.0,0.4,2.0,1.0,0.8,0.8,0.7,0.9,30.0,-1459.8684100300572,52.38197966632623,2742.746360484145,673.5637230348368
163,163.0,1.0,1.0,1.0,0.6,2.0,2.0,0.8,0.8,0.7,1.0,40.0,-1133.6205762730503,76.26200830265213,2742.746360484145,1540.22046372621
164,164.0,1.0,1.0,1.0,0.6,2.0,2.0,0.9,0.9,0.8,1.0,40.0,-1333.3387959432537,76.26200830265213,3110.630260544663,1540.22046372621
165,165.0,1.0,1.0,1.0,0.5,2.0,2.0,0.9,0.9,0.7,0.9,40.0,-1101.386309898824,83.79852469307862,2906.9054205446632,1550.5390293297644
166,166.0,1.0,1.0,1.0,0.1,2.0,2.0,1.0,1.0,0.9,1.0,60.0,-290.7517163941283,130.58794234320223,3478.514160605181,1706.9264787309778
167,167.0,1.0,1.0,1.0,0.3,3.0,2.0,1.0,1.0,0.7,1.0,60.0,-71.16443252460546,130.58794234320223,2672.0166006051813,2538.398990952331
168,168.0,1.0,1.0,1.0,0.4,2.0,1.0,0.7,0.7,0.7,1.0,60.0,-346.4571106435855,130.58794234320223,2578.5873004236273,2954.135247063008
169,169.0,1.0,1.0,1.0,0.1,2.0,1.0,1.0,1.0,0.7,1.0,50.0,-577.2465396768733,130.58794234320223,3071.064480605181,1706.9264787309778
170,170.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.7,1.0,60.0,-470.3822600945774,130.58794234320223,3317.199600605181,2122.6627348416546
171,171.0,1.0,1.0,1.0,0.2,1.0,2.0,0.7,0.7,1.0,1.0,60.0,-458.5267167176849,130.58794234320223,3541.383420423627,2122.6627348416546
172,172.0,1.0,1.0,1.0,0.9,2.0,1.0,0.9,0.9,1.0,1.0,60.0,-1314.180355111408,77.404691278589,3518.0799405446633,2089.0703130029387
173,173.0,1.0,1.0,1.0,0.8,2.0,2.0,0.8,0.8,0.9,0.9,50.0,-1162.6867138980365,77.404691278589,3150.196040484145,1863.1411678183256
174,174.0,1.0,1.0,1.0,0.1,2.0,2.0,0.9,0.9,0.8,1.0,60.0,-129.4983218383967,130.58794234320223,3110.630260544663,1706.9264787309778
175,175.0,1.0,1.0,1.0,0.5,2.0,1.0,0.9,0.9,0.9,1.0,30.0,-1846.5025960565365,41.50495899604326,3314.3551005446634,603.9740533213238
