n,ID,D_ActivacionIncrem_Nar,D_ActivacionIncrem_Unr,Opt_CalculoRagaliasIncrementales_Nar,Opt_CalculoRagaliasIncrementales_Unr,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXPerfo_UGEUnr,Unc_MultOPEX_UGEUnr,Unc_MultCAPEXFacilidades_Nar,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
35,35.0,1.0,0.0,1.0,2.0,0.4,3.0,1.0,0.7,0.7,0.7,55.0,-94.58521503860803,11.963835853492505,248.80348301467743,175.89687144374537
36,36.0,1.0,0.0,1.0,2.0,0.7,2.0,1.0,0.8,0.9,1.0,55.0,-197.6478850390315,11.963835853492505,373.35050716382494,260.45788973954194
37,37.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.9,0.9,0.9,45.0,-192.4252272354815,6.455532174825935,319.8901924474425,153.17244871424649
38,38.0,1.0,0.0,1.0,2.0,0.8,1.0,1.0,0.7,1.0,0.8,55.0,-144.36579923802978,11.963835853492505,339.87783773105997,293.5024994573216
39,39.0,1.0,0.0,1.0,2.0,0.7,2.0,1.0,1.0,0.8,1.0,55.0,-221.2514642219888,11.963835853492505,419.09474716382493,245.88507888199968
40,40.0,1.0,0.0,1.0,2.0,0.1,2.0,2.0,0.8,0.9,0.9,55.0,-133.58929937451694,11.963835853492505,354.3131524474424,149.62709657811791
41,41.0,1.0,0.0,1.0,2.0,0.2,2.0,2.0,0.7,0.8,0.8,55.0,-67.6230647506769,11.963835853492505,312.40367773106,153.5260845808129
42,42.0,1.0,0.0,1.0,2.0,0.2,1.0,1.0,1.0,0.9,1.0,45.0,-247.5242685841373,11.963835853492505,458.3435471638249,168.09889543835527
43,43.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.7,0.8,0.7,45.0,-203.4705510865486,1.7069018034739536,320.84048301467743,36.91010174901247
44,44.0,1.0,0.0,1.0,2.0,0.2,2.0,2.0,1.0,0.9,0.7,55.0,-144.74305471287252,11.963835853492505,361.98268301467743,168.09889543835527
45,45.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,0.9,0.9,0.9,55.0,-166.39457865813125,11.963835853492505,412.50919244744244,223.51429201906728
46,46.0,1.0,0.0,1.0,2.0,0.9,2.0,1.0,0.8,1.0,1.0,55.0,-170.43611774740438,11.963835853492505,373.35050716382494,311.974298317559
47,47.0,1.0,0.0,1.0,2.0,0.9,2.0,2.0,0.8,0.8,0.9,55.0,-176.78480565399246,11.963835853492505,354.3131524474424,282.8286766024744
48,48.0,1.0,0.0,1.0,2.0,0.1,2.0,2.0,0.9,0.8,0.8,65.0,-104.31061253196677,11.963835853492505,358.14791773106,135.0542857205756
49,49.0,1.0,0.0,1.0,2.0,0.9,3.0,2.0,0.9,0.8,1.0,45.0,-195.5804911616605,7.73385501546214,338.92754716382495,168.94278580435358
50,50.0,1.0,0.0,1.0,2.0,0.4,1.0,2.0,0.7,0.8,0.9,55.0,-149.8142877184561,11.963835853492505,358.91519244744245,190.46968230128763
51,51.0,1.0,0.0,1.0,2.0,0.1,2.0,1.0,1.0,0.7,0.7,55.0,-146.41533760585915,11.963835853492505,361.98268301467743,120.4814748630333
52,52.0,1.0,0.0,1.0,2.0,0.6,1.0,1.0,1.0,1.0,0.8,55.0,-181.93546943862762,11.963835853492505,420.26883773106,256.55890173684696
53,53.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,0.7,0.9,1.0,55.0,-107.10879614515976,11.963835853492505,305.91554716382495,315.8732863202541
54,54.0,1.0,0.0,1.0,2.0,0.5,2.0,1.0,0.7,0.9,0.9,55.0,-160.14117548643247,11.963835853492505,331.44103244744247,223.51429201906728
55,55.0,1.0,0.0,1.0,2.0,0.5,3.0,1.0,0.8,1.0,0.9,45.0,-175.73598952830736,7.73385501546214,303.3841924474425,140.70497026925756
56,56.0,1.0,0.0,1.0,2.0,0.9,3.0,2.0,0.7,1.0,0.9,45.0,-171.04660790066342,6.455532174825935,286.8781924474425,150.84302133849994
57,57.0,1.0,0.0,1.0,2.0,0.8,2.0,2.0,0.9,1.0,0.9,65.0,-107.14656886581672,11.963835853492505,377.18527244744246,293.5024994573216
58,58.0,1.0,0.0,1.0,2.0,0.5,3.0,2.0,0.9,0.9,1.0,45.0,-175.02105532614323,11.963835853492505,338.92754716382495,223.51429201906728
59,59.0,1.0,0.0,1.0,2.0,0.7,1.0,1.0,0.7,0.8,0.7,55.0,-161.50130310653176,11.963835853492505,320.84048301467743,245.88507888199968
60,60.0,1.0,0.0,1.0,2.0,0.9,3.0,1.0,0.7,1.0,0.9,55.0,-162.12276381408682,7.73385501546214,286.8781924474425,185.80801794041562
61,61.0,1.0,0.0,1.0,2.0,0.3,1.0,2.0,0.9,0.9,0.9,65.0,-154.0686618440062,11.963835853492505,412.50919244744244,186.57069429859263
62,62.0,1.0,0.0,1.0,2.0,0.7,1.0,2.0,0.7,0.7,0.8,55.0,-151.67621749881565,11.963835853492505,339.87783773105997,231.31226802445735
63,63.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.8,1.0,55.0,-200.9091648456211,8.841748728381628,355.4335471638249,210.656244453086
64,64.0,1.0,0.0,1.0,2.0,0.7,2.0,1.0,1.0,1.0,0.9,55.0,-219.0869242600848,11.206913153645337,400.05739244744245,253.89075545306636
65,65.0,1.0,0.0,1.0,2.0,0.9,3.0,2.0,1.0,0.8,0.7,55.0,-92.57535948686764,11.963835853492505,298.3214830146775,282.8286766024744
66,66.0,1.0,0.0,1.0,2.0,0.6,3.0,2.0,0.8,1.0,0.7,55.0,-113.59169759820277,11.963835853492505,265.3094830146775,256.55890173684696
67,67.0,1.0,0.0,1.0,2.0,0.3,3.0,2.0,0.7,0.8,0.7,55.0,-76.41747240767299,11.963835853492505,248.80348301467743,171.9978834410503
68,68.0,1.0,0.0,1.0,2.0,0.9,1.0,2.0,0.8,0.9,1.0,65.0,-124.30165271227668,11.963835853492505,404.74954716382496,297.4014874600167
69,69.0,1.0,0.0,1.0,2.0,0.8,3.0,2.0,0.7,0.8,0.7,65.0,-78.92391733982537,11.963835853492505,248.80348301467743,264.35687774223703
70,70.0,1.0,0.0,1.0,2.0,0.3,2.0,1.0,0.8,1.0,0.8,65.0,-128.01354010915824,11.963835853492505,335.27579773106,201.1435051561349
71,71.0,1.0,0.0,1.0,2.0,0.9,2.0,1.0,0.7,1.0,0.9,45.0,-211.62471096934263,0.48617512011684705,331.44103244744247,11.442476407306152
72,72.0,1.0,0.0,1.0,2.0,0.1,1.0,1.0,1.0,0.9,0.8,55.0,-147.53271989545192,11.963835853492505,420.26883773106,149.62709657811791
73,73.0,1.0,0.0,1.0,2.0,0.9,2.0,1.0,0.9,0.7,0.8,45.0,-218.18409549340544,6.455532174825935,358.14791773106,130.33594108216604
74,74.0,1.0,0.0,1.0,2.0,0.1,3.0,2.0,0.9,0.9,0.8,55.0,-100.8294438618062,11.963835853492505,300.85283773106005,149.62709657811791
75,75.0,1.0,0.0,1.0,2.0,0.5,2.0,2.0,0.7,0.8,0.8,45.0,-154.67894097446813,11.963835853492505,312.40367773106,208.94148116152505
76,76.0,1.0,0.0,1.0,2.0,0.5,3.0,2.0,0.7,0.7,0.8,55.0,-53.96146530963816,11.963835853492505,267.84083773106,194.36867030398267
77,77.0,1.0,0.0,1.0,2.0,0.6,2.0,1.0,0.8,0.7,0.7,65.0,-73.13794591746084,11.963835853492505,316.23844301467744,212.84046916422
78,78.0,1.0,0.0,1.0,2.0,0.3,2.0,2.0,0.9,1.0,0.9,45.0,-151.84348218485832,11.963835853492505,377.18527244744246,201.1435051561349
79,79.0,1.0,0.0,1.0,2.0,0.6,3.0,1.0,1.0,1.0,0.9,55.0,-129.92137474584172,11.963835853492505,336.39619244744244,256.55890173684696
80,80.0,1.0,0.0,1.0,2.0,0.6,2.0,2.0,0.9,1.0,1.0,55.0,-193.560565266807,11.963835853492505,396.22262716382494,256.55890173684696
81,81.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.7,0.7,0.8,45.0,-157.26180751772517,11.963835853492505,339.87783773105997,286.7276646051694
82,82.0,1.0,0.0,1.0,2.0,0.7,1.0,1.0,0.9,0.7,0.9,45.0,-241.20062367690397,8.841748728381628,412.50919244744244,161.32277986214388
83,83.0,1.0,0.0,1.0,2.0,0.1,1.0,1.0,0.8,0.9,0.7,45.0,-174.0856492417949,11.963835853492505,347.63748301467746,149.62709657811791
84,84.0,1.0,0.0,1.0,2.0,0.2,2.0,2.0,0.9,0.8,0.8,65.0,-64.64193205807241,11.963835853492505,358.14791773106,153.5260845808129
85,85.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.8,0.8,0.8,55.0,-144.3144942994117,11.963835853492505,335.27579773106,301.3004754627118
86,86.0,1.0,0.0,1.0,2.0,0.9,3.0,2.0,0.7,0.7,0.7,45.0,-95.35308569734606,11.963835853492505,248.80348301467743,268.2558657449321
87,87.0,1.0,0.0,1.0,2.0,0.8,2.0,2.0,0.9,1.0,0.7,55.0,-120.92057851869477,11.963835853492505,339.11056301467744,293.5024994573216
88,88.0,1.0,0.0,1.0,2.0,0.9,2.0,2.0,0.8,1.0,0.8,55.0,-174.41124523251597,11.963835853492505,335.27579773106,311.974298317559
89,89.0,1.0,0.0,1.0,2.0,0.6,1.0,2.0,0.9,0.9,0.8,55.0,-137.7129967550036,11.963835853492505,393.47183773106,241.98609087930458
90,90.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,0.9,0.8,1.0,55.0,-173.32540561407143,11.963835853492505,431.54654716382487,208.94148116152505
91,91.0,1.0,0.0,1.0,2.0,0.1,1.0,2.0,0.7,0.8,0.9,55.0,-131.90699791322888,11.963835853492505,358.91519244744245,135.0542857205756
92,92.0,1.0,0.0,1.0,2.0,0.4,1.0,2.0,1.0,0.8,0.7,65.0,-149.00692606517129,11.963835853492505,401.2314830146775,190.46968230128763
93,93.0,1.0,0.0,1.0,2.0,0.9,2.0,1.0,0.9,1.0,0.8,55.0,-206.2916598374507,7.73385501546214,358.14791773106,185.80801794041562
94,94.0,1.0,0.0,1.0,2.0,0.8,2.0,1.0,0.7,0.9,0.9,65.0,-150.70942721509994,11.963835853492505,331.44103244744247,278.92968859977935
95,95.0,1.0,0.0,1.0,2.0,0.4,2.0,1.0,0.7,0.9,0.7,65.0,-103.85685382732257,11.963835853492505,293.36632301467745,205.04249315882996
96,96.0,1.0,0.0,1.0,2.0,0.1,3.0,2.0,0.7,0.9,0.7,55.0,-69.89039325109765,11.963835853492505,248.80348301467743,149.62709657811791
97,97.0,1.0,0.0,1.0,2.0,0.3,3.0,1.0,1.0,0.9,0.9,55.0,-107.45681840615083,11.963835853492505,336.39619244744244,186.57069429859263
98,98.0,1.0,0.0,1.0,2.0,0.9,1.0,1.0,0.7,1.0,0.9,55.0,-161.82298933017609,11.963835853492505,358.91519244744245,311.974298317559
99,99.0,1.0,0.0,1.0,2.0,0.9,3.0,1.0,0.8,0.9,1.0,55.0,-134.45468687425864,11.963835853492505,322.421547163825,297.4014874600167
100,100.0,1.0,0.0,1.0,2.0,0.4,3.0,2.0,0.9,0.8,0.8,55.0,-114.17946713256973,11.963835853492505,300.85283773106005,190.46968230128763
101,101.0,1.0,0.0,1.0,2.0,0.2,1.0,2.0,1.0,0.7,1.0,55.0,-194.31478487499405,11.963835853492505,458.3435471638249,138.95327372327068
102,102.0,1.0,0.0,1.0,2.0,0.9,1.0,1.0,1.0,1.0,1.0,55.0,-267.5702524368062,7.73385501546214,458.3435471638249,185.80801794041562
103,103.0,1.0,0.0,1.0,2.0,0.3,3.0,2.0,0.9,0.8,0.7,55.0,-96.72227704042344,11.963835853492505,281.81548301467745,171.9978834410503
104,104.0,1.0,0.0,1.0,2.0,0.8,2.0,2.0,0.9,0.8,0.8,55.0,-173.4080384205566,11.963835853492505,358.14791773106,264.35687774223703
105,105.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.8,55.0,-219.67359986646082,11.963835853492505,420.26883773106,238.08710287660958
106,106.0,1.0,0.0,1.0,2.0,0.9,1.0,1.0,1.0,0.7,1.0,55.0,-209.14714662127153,11.963835853492505,458.3435471638249,268.2558657449321
107,107.0,1.0,0.0,1.0,2.0,0.1,3.0,1.0,0.9,0.8,0.9,65.0,-56.682771620195,11.963835853492505,319.8901924474425,135.0542857205756
108,108.0,1.0,0.0,1.0,2.0,0.6,1.0,2.0,1.0,0.8,1.0,55.0,-172.63453833604197,11.963835853492505,458.3435471638249,227.41328002176232
109,109.0,1.0,0.0,1.0,2.0,0.3,2.0,2.0,0.7,0.8,0.7,65.0,-78.56915530617245,11.963835853492505,293.36632301467745,171.9978834410503
110,110.0,1.0,0.0,1.0,2.0,0.7,3.0,1.0,0.8,1.0,0.8,55.0,-104.09757322442977,11.963835853492505,284.34683773106,275.03070059708426
111,111.0,1.0,0.0,1.0,2.0,0.8,3.0,1.0,0.7,0.8,0.7,55.0,-123.01886798004129,11.963835853492505,248.80348301467743,264.35687774223703
112,112.0,1.0,0.0,1.0,2.0,0.7,1.0,2.0,0.8,0.9,0.8,55.0,-127.17947222205186,11.963835853492505,366.67483773106,260.45788973954194
113,113.0,1.0,0.0,1.0,2.0,0.4,2.0,2.0,0.7,0.9,0.7,55.0,-69.65560164463439,11.963835853492505,293.36632301467745,205.04249315882996
114,114.0,1.0,0.0,1.0,2.0,0.9,2.0,2.0,1.0,0.9,0.7,45.0,-214.7276073374772,6.505456290033537,361.98268301467743,145.3125545473177
115,115.0,1.0,0.0,1.0,2.0,0.1,2.0,2.0,0.8,0.7,0.9,65.0,-98.04052924184673,11.963835853492505,354.3131524474424,120.4814748630333
116,116.0,1.0,0.0,1.0,2.0,0.3,2.0,2.0,0.9,0.9,0.9,55.0,-159.6079154367122,11.963835853492505,377.18527244744246,186.57069429859263
117,117.0,1.0,0.0,1.0,2.0,0.8,3.0,2.0,1.0,0.9,1.0,65.0,-148.4026712946264,11.963835853492505,355.4335471638249,278.92968859977935
118,118.0,1.0,0.0,1.0,2.0,0.1,3.0,1.0,0.9,0.9,0.9,55.0,-86.8905925997247,11.963835853492505,319.8901924474425,149.62709657811791
119,119.0,1.0,0.0,1.0,2.0,0.1,2.0,1.0,0.7,0.8,0.9,55.0,-131.7075225449991,11.963835853492505,331.44103244744247,135.0542857205756
120,120.0,1.0,0.0,1.0,2.0,0.6,3.0,2.0,0.7,0.7,0.9,55.0,-67.75556270146993,11.963835853492505,286.8781924474425,212.84046916422
121,121.0,1.0,0.0,1.0,2.0,0.9,3.0,1.0,0.7,0.7,0.7,45.0,-151.03901248923373,6.455532174825935,248.80348301467743,130.33594108216604
