n,ID,VPN,Unc_Mult_CAPEX_FACIL,Unc_Mult_CAPEX_PERFO,Unc_MultPreciobaseValorGas,E_Brent,Unc_MultOpex,Total_capex,Total_opex
820,820,-297688.7912,0.92,0.93,0.4,20,0.91,766.8440852576,422729.6644127
821,821,76302.2631,0.91,0.94,0.6,35,0.93,767.0532520159,422739.1223215
822,822,478748.6309,0.96,0.95,1.0,55,1.0,791.5021455872,422771.1408807
823,823,-53422.4111,0.95,0.94,0.6,30,0.99,783.2130698912,422765.327805
824,824,-320170.2634,0.95,0.95,0.2,20,0.97,787.4621911184,422755.1471487
825,825,365232.4675,0.99,0.98,0.9,50,0.97,816.3693726751,422757.6767652
826,826,-173530.5554,0.95,0.95,1.0,25,0.97,787.4621911184,422758.0381389
827,827,44501.6264,1.0,1.0,0.2,35,0.92,828.9075695983,422733.3092458
828,828,58071.8629,0.98,0.91,0.9,35,0.96,782.5855696162,422753.3091846
829,829,54502.1947,0.97,0.98,0.1,35,0.93,808.2894637375,422737.3154526
830,830,-56508.3935,0.97,0.98,0.3,30,0.91,808.2894637375,422729.303039
831,831,170576.1553,0.94,0.96,0.4,40,0.96,787.6713578767,422751.5023157
832,832,66090.0736,0.94,0.91,0.6,35,0.99,766.4257517409,422765.327805
833,833,-53399.6797,0.94,0.98,1.0,30,0.96,796.169600331,422753.6705583
834,834,-331424.1133,1.0,0.97,0.8,20,0.91,816.1602059168,422731.1099078
835,835,273327.0632,0.95,0.99,0.4,45,0.93,804.458676027,422738.3995739
836,836,381097.8415,0.94,1.0,0.3,50,0.92,804.6678427853,422733.6706196
837,837,585105.0557,0.95,0.98,1.0,60,0.96,800.2095547998,422753.6705583
838,838,174894.3543,0.91,0.98,0.8,40,0.97,784.0497369245,422757.3153914
839,839,258357.425,1.0,0.95,0.2,45,1.0,807.6619634625,422768.2498905
840,840,284998.7178,0.91,0.96,0.3,45,0.96,775.5514944702,422751.1409419
841,841,65453.7371,0.95,0.91,0.4,35,0.97,770.4657062098,422755.8698963
842,842,38351.7865,1.0,1.0,0.3,35,0.98,828.9075695983,422759.8761031
843,843,-188854.9945,0.98,0.98,0.6,25,0.98,812.3294182063,422760.9602244
844,844,62037.2303,0.94,0.97,0.2,35,0.95,791.9204791038,422746.4119876
845,845,169213.0737,0.97,0.94,0.3,40,0.92,791.2929788289,422733.6706196
846,846,-311179.5888,0.96,0.93,0.6,20,0.91,783.0039031329,422730.3871603
847,847,256517.5999,1.0,0.97,0.8,45,0.99,816.1602059168,422766.0505526
848,848,173053.9675,0.95,0.93,0.2,40,0.95,778.9639486641,422746.4119876
849,849,486660.0051,0.98,0.91,0.5,55,0.91,782.5855696162,422730.0257865
850,850,586994.2465,0.96,0.94,0.7,60,0.97,787.25302436,422756.9540176
851,851,472360.5254,0.97,0.98,0.1,55,1.0,808.2894637375,422767.8885167
852,852,-156859.8178,0.92,0.91,1.0,25,0.96,758.3458428033,422753.6705583
853,853,378230.4652,0.94,0.99,0.9,50,0.96,800.4187215581,422753.3091846
854,854,-174111.5333,0.98,0.91,0.9,25,0.95,782.5855696162,422748.941604
855,855,-34587.6139,0.93,0.91,0.5,30,0.91,762.3857972721,422730.0257865
856,856,65033.967,0.91,0.97,0.6,35,1.0,779.8006156973,422769.6953856
857,857,285994.229,0.92,0.97,0.4,45,0.91,783.8405701662,422729.6644127
858,858,-177696.8403,0.98,0.91,0.8,25,0.98,782.5855696162,422761.682972
859,859,284312.4301,0.92,0.96,0.4,45,0.94,779.591448939,422742.7671545
