n,ID,D_ActivacionIncrem_Jaz,D_ActivacionIncrem_Abr,D_ActivacionIncrem_Gir,Opt_CalculoRagaliasIncrementales_Jaz,Opt_EscVentaCrudo,Opt_EscCAPEX_Perforacion,Opt_AlternativasFacilidades_ICV_AbrGir,Opt_CalculoRagaliasIncrementales_AbrGir,Unc_MultPreciobaseValorGas,Unc_MultCAPEXPerfo_UGEJaz,Unc_MultCAPEXFacilidades_Jaz,Unc_MultOPEX_UGEJaz,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
456,456.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.8,0.9,1.0,1.0,45.0,-456.6493090944287,51.036069720851245,580.3961152809101,1289.5151602822189
457,457.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.1,0.9,0.8,0.9,60.0,402.75434790052043,107.28334889774962,500.1350922247281,648.2819820892704
458,458.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.9,1.0,0.9,1.0,35.0,-563.1518439966508,51.036069720851245,637.393003752819,1428.9270945828498
459,459.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.2,0.9,0.7,0.9,45.0,63.65135797398292,107.28334889774962,529.5101406966371,958.2113538448607
460,460.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.4,0.9,0.8,1.0,50.0,-132.66790435626123,107.28334889774962,569.6406522247281,1615.664831837561
461,461.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.1,1.0,1.0,0.9,30.0,-321.704074185007,107.28334889774962,677.52351528091,648.2819820892704
462,462.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.5,0.9,0.7,1.0,25.0,-589.0638630849841,22.074667526002244,572.3785806966371,429.9090722587611
463,463.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.7,0.9,1.0,1.0,20.0,-699.0592809569063,22.074667526002244,580.3961152809101,570.6823745417917
464,464.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.9,1.0,0.7,1.0,45.0,-575.033728023186,22.074667526002244,557.1319806966371,711.4556768248224
465,465.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.9,1.0,0.8,1.0,35.0,-689.8682943895062,22.074667526002244,597.2624922247281,711.4556768248224
466,466.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.9,0.9,45.0,-18.213250433163438,107.28334889774962,685.0246037528191,1887.9994691116308
467,467.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.3,1.0,0.9,0.9,20.0,-506.6687395621391,76.25365251927991,685.0246037528191,863.2291618801501
468,468.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.8,1.0,0.9,0.9,40.0,-572.5501871886945,22.074667526002244,560.1646037528191,633.2714440281887
469,469.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.8,1.0,0.9,0.9,35.0,-639.7451817943943,22.074667526002244,685.0246037528191,633.2714440281887
470,470.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.9,1.0,1.0,35.0,-718.2547964000605,22.074667526002244,580.3961152809101,781.8423279663377
471,471.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.7,1.0,0.8,1.0,55.0,-56.218379325566865,107.28334889774962,644.8940922247282,2545.452947104331
472,472.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.9,0.9,0.8,0.9,40.0,-518.6945677191667,22.074667526002244,500.1350922247281,703.658095169704
473,473.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.3,1.0,0.7,1.0,35.0,-118.89224564781834,107.28334889774962,479.9035806966371,1305.7354600819706
474,474.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.8,1.0,0.9,0.9,45.0,-154.67990712180656,107.28334889774962,560.1646037528191,2817.7875843784013
475,475.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.4,1.0,0.8,0.9,55.0,93.65369481186906,107.28334889774962,520.034092224728,1578.070097356041
476,476.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.5,1.0,0.8,1.0,25.0,-480.8870475813759,51.036069720851245,597.2624922247281,871.2793573803269
477,477.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,0.7,1.0,0.8,1.0,60.0,-47.24649561384511,107.28334889774962,520.034092224728,2545.452947104331
478,478.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.7,0.9,0.9,1.0,55.0,-332.26011241067954,103.27775006678681,652.6396037528191,2425.90200528943
