n,ID,D_ActivacionIAV_Mor,D_ActivacionICV_Mor,Opt_CalculoRagaliasIncrementales_Mor,Unc_MultPreciobaseValorGas,Opt_EscCAPEX_Perforacion,Opt_EscVentaCrudo,Unc_MultCAPEXFacilidadesIAV_Mor,Unc_MultCAPEXFacilidadesICV_Mor,Unc_MultCAPEXPerfo_UGE_Mor,Unc_MultOPEX_Mor,E_Brent,Total_VPN,volumen_Mbls,Capex,opex
1874,1874.0,1.0,1.0,2.0,0.6,3.0,2.0,0.8,0.7,0.7,0.7,50.0,-590.398351735804,95.87431963506812,2197.8494276843994,2038.567639716407
1875,1875.0,1.0,1.0,2.0,0.5,2.0,2.0,0.9,0.9,1.0,0.8,60.0,-887.0566262296355,130.58794234320223,3518.0799405446633,3111.6334586496246
1876,1876.0,1.0,1.0,2.0,0.8,2.0,2.0,0.9,0.7,0.8,0.9,35.0,-1556.4011778988165,41.50495899604326,2818.9321549451724,796.0970528521161
1877,1877.0,1.0,1.0,2.0,0.7,3.0,2.0,0.7,0.8,0.9,0.8,45.0,-915.0900963439589,77.404691278589,2618.8244732233725,1637.2120226337122
1878,1878.0,1.0,1.0,2.0,0.4,2.0,2.0,0.7,0.8,0.7,0.7,50.0,-451.3391416007653,130.58794234320223,2724.4363532233724,2566.7781802769177
1879,1879.0,1.0,1.0,2.0,0.5,3.0,2.0,0.8,0.9,0.9,0.8,40.0,-1155.2220211426134,77.404691278589,2782.98353328389,1296.769744947323
1880,1880.0,1.0,1.0,2.0,0.1,2.0,2.0,1.0,0.9,0.9,0.9,55.0,-362.86272291042786,130.58794234320223,3332.6651078054365,1577.807456468948
1881,1881.0,1.0,1.0,2.0,0.7,1.0,1.0,0.8,0.7,0.8,0.9,40.0,-1665.0101038312728,51.538084700205125,3081.9194276844005,942.1088364079789
1882,1882.0,1.0,1.0,2.0,0.6,2.0,1.0,0.9,0.8,1.0,0.8,40.0,-1643.8728016055404,68.23891945444271,3372.230887744918,1207.2215539016065
1883,1883.0,1.0,1.0,2.0,0.7,1.0,1.0,0.9,1.0,0.9,0.7,55.0,-1359.977806453216,97.69713597956785,3776.6635933444086,2360.0461621054596
1884,1884.0,1.0,1.0,2.0,0.6,2.0,1.0,0.8,0.7,0.9,0.7,25.0,-1837.3786850551398,41.50495899604326,3004.3469876844,603.1535550841585
1885,1885.0,1.0,1.0,2.0,0.6,3.0,1.0,0.8,0.9,0.9,0.7,40.0,-1368.4872441446944,60.12499419562551,2782.98353328389,965.8443367714661
1886,1886.0,1.0,1.0,2.0,0.4,1.0,2.0,0.9,0.8,0.9,0.8,25.0,-1868.812848536218,58.508503492874055,3484.965487744918,742.7134206103727
1887,1887.0,1.0,1.0,2.0,0.2,1.0,2.0,0.9,0.7,1.0,0.8,60.0,-644.8231370707625,130.58794234320223,3578.003434945173,1864.4246903175942
1888,1888.0,1.0,1.0,2.0,0.8,2.0,1.0,1.0,0.7,0.8,0.9,50.0,-1190.492046975271,73.34474891161356,2837.2421622059455,1710.446611633813
1889,1889.0,1.0,1.0,2.0,0.3,3.0,2.0,0.7,0.8,0.9,0.7,25.0,-1259.1372884869236,74.54606869299404,2618.8244732233725,848.0344842772441
1890,1890.0,1.0,1.0,2.0,0.7,1.0,1.0,0.9,0.8,0.8,0.7,25.0,-1962.6665190873282,41.50495899604326,3246.078487744918,675.3022421878512
1891,1891.0,1.0,1.0,2.0,0.4,2.0,2.0,1.0,0.8,0.9,0.7,20.0,-1847.5870945902254,41.50495899604326,3186.816055005691,458.85618087677307
1892,1892.0,1.0,1.0,2.0,0.6,1.0,1.0,1.0,0.9,1.0,0.7,25.0,-2321.6652231667754,41.50495899604326,3888.0115478054367,603.1535550841585
1893,1893.0,1.0,1.0,2.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,40.0,-2280.8960868918753,41.50495899604326,3997.2405860836357,964.7174888397876
1894,1894.0,1.0,1.0,2.0,0.8,3.0,1.0,0.7,0.9,0.9,0.7,60.0,-694.356118415691,99.04983837448052,2764.6735260231176,2677.110546324151
1895,1895.0,1.0,1.0,2.0,0.3,1.0,2.0,0.8,0.8,1.0,1.0,20.0,-2147.253972110481,41.50495899604326,3705.542480484145,459.67667911393835
1896,1896.0,1.0,1.0,2.0,0.9,2.0,1.0,1.0,1.0,1.0,1.0,60.0,-1393.4275340736692,77.404691278589,3682.2390006051814,2089.0703130029387
1897,1897.0,1.0,1.0,2.0,0.6,2.0,2.0,0.9,0.8,1.0,0.8,45.0,-1454.7062865353955,77.404691278589,3372.230887744918,1466.9908837905175
1898,1898.0,1.0,1.0,2.0,0.1,2.0,1.0,1.0,1.0,1.0,0.8,30.0,-1687.7356226888623,118.9423742018294,3682.2390006051814,1242.0120703607517
1899,1899.0,1.0,1.0,2.0,0.6,2.0,1.0,0.9,0.9,0.8,0.9,25.0,-1852.4234628293711,41.50495899604326,3110.630260544663,651.7996786447306
1900,1900.0,1.0,1.0,2.0,0.9,2.0,2.0,1.0,1.0,1.0,0.7,50.0,-1654.3502958436443,70.24022911054423,3682.2390006051814,1652.2558522812146
1901,1901.0,1.0,1.0,2.0,0.1,2.0,1.0,1.0,0.8,1.0,0.8,50.0,-908.8086699484478,130.58794234320223,3390.540895005691,1448.6884342069175
1902,1902.0,1.0,1.0,2.0,0.5,2.0,1.0,0.7,0.8,0.9,1.0,45.0,-1299.0599945646704,77.404691278589,3131.886033223372,1408.1857576301604
1903,1903.0,1.0,1.0,2.0,0.1,3.0,1.0,1.0,1.0,0.9,0.7,45.0,-598.606265493105,130.58794234320223,2965.452600605181,1319.5694119448876
1904,1904.0,1.0,1.0,2.0,0.5,3.0,2.0,0.9,0.7,1.0,0.8,60.0,-478.7286284434166,130.58794234320223,2656.313434945173,3111.6334586496246
1905,1905.0,1.0,1.0,2.0,0.1,1.0,1.0,0.9,1.0,0.9,1.0,35.0,-1735.5397920036446,106.29108532121222,3776.6635933444086,1219.1504915133603
1906,1906.0,1.0,1.0,2.0,0.8,2.0,1.0,1.0,1.0,0.9,0.8,30.0,-2011.7101494025242,41.50495899604326,3478.514160605181,771.7739910718301
1907,1907.0,1.0,1.0,2.0,0.7,1.0,1.0,0.8,0.9,0.9,0.8,30.0,-2066.1459912086107,41.50495899604326,3612.5045332838904,699.6253039681374
1908,1908.0,1.0,1.0,2.0,0.1,1.0,2.0,1.0,0.8,0.8,1.0,55.0,-375.52718861950217,130.58794234320223,3264.388495005691,1706.9264787309778
1909,1909.0,1.0,1.0,2.0,0.8,3.0,1.0,0.8,0.9,1.0,1.0,40.0,-1602.392001519826,41.50495899604326,2929.70153328389,820.420114632402
1910,1910.0,1.0,1.0,2.0,0.9,2.0,1.0,0.9,0.7,0.7,1.0,30.0,-1623.833536581777,41.50495899604326,2615.2073149451726,892.5688017360948
1911,1911.0,1.0,1.0,2.0,0.9,2.0,2.0,0.9,0.7,0.7,0.9,45.0,-1112.80436829944,66.12130743186812,2615.2073149451726,1597.1415882576205
1912,1912.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,0.9,0.9,60.0,-832.959276849372,130.58794234320223,3478.514160605181,3240.752480911655
1913,1913.0,1.0,1.0,2.0,0.5,2.0,2.0,0.7,0.9,1.0,0.7,45.0,-1144.3178470522007,123.94374175228508,3481.4599260231175,2738.8026988531064
1914,1914.0,1.0,1.0,2.0,0.9,2.0,2.0,0.9,0.7,1.0,0.8,50.0,-1473.4722581107856,68.90193226572049,3226.3818349451726,1651.2521711076417
1915,1915.0,1.0,1.0,2.0,0.5,1.0,2.0,0.7,0.8,1.0,1.0,60.0,-1063.4322831838317,130.58794234320223,3687.232473223372,3369.8715031736847
1916,1916.0,1.0,1.0,2.0,0.4,2.0,2.0,1.0,0.7,0.8,0.8,50.0,-771.3404740286961,130.58794234320223,2837.2421622059455,2695.897202538948
1917,1917.0,1.0,1.0,2.0,0.7,3.0,1.0,0.8,0.9,0.7,1.0,20.0,-1658.93196751708,41.50495899604326,2489.54753328389,748.2714275287093
1918,1918.0,1.0,1.0,2.0,0.2,1.0,1.0,0.9,0.7,0.9,0.9,30.0,-1781.1021054192488,67.54025364798026,3339.116434945173,682.4951283780297
1919,1919.0,1.0,1.0,2.0,0.8,1.0,2.0,0.8,0.9,1.0,0.9,50.0,-1744.3852607656236,73.34474891161356,3851.3915332838906,1710.446611633813
1920,1920.0,1.0,1.0,2.0,1.0,2.0,1.0,0.8,1.0,0.9,0.7,25.0,-2182.7460038426243,41.50495899604326,3441.8941460836354,891.7483034989297
1921,1921.0,1.0,1.0,2.0,0.9,2.0,2.0,0.9,0.9,1.0,0.8,30.0,-1978.6083733390076,41.50495899604326,3518.0799405446633,843.9226781755228
1922,1922.0,1.0,1.0,2.0,0.8,1.0,1.0,1.0,1.0,0.8,0.7,55.0,-1333.9661623592192,79.01200480610302,3556.0866006051815,1816.0784339484767
1923,1923.0,1.0,1.0,2.0,0.3,3.0,2.0,0.7,0.9,0.7,0.9,25.0,-1277.4610987618826,58.508503492874055,2471.2375260231174,667.8485345075007
1924,1924.0,1.0,1.0,2.0,0.8,1.0,1.0,0.9,0.9,0.7,1.0,50.0,-1353.1491490758888,70.24022911054423,3153.0405405446627,1649.5932304138048
1925,1925.0,1.0,1.0,2.0,1.0,2.0,1.0,0.9,0.9,0.8,1.0,35.0,-1810.3694183243083,41.50495899604326,3110.630260544663,964.7174888397876
1926,1926.0,1.0,1.0,2.0,0.7,3.0,2.0,0.9,1.0,0.7,1.0,25.0,-1502.7358829158748,41.50495899604326,2653.7065933444082,748.2714275287093
1927,1927.0,1.0,1.0,2.0,0.1,1.0,2.0,0.9,0.8,0.7,1.0,40.0,-917.8960092188106,130.58794234320223,3007.1914877449176,1706.9264787309778
1928,1928.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.8,0.8,0.7,45.0,-1123.0761303022991,95.436170704721,2983.0912150056906,1776.6069662148914
1929,1929.0,1.0,1.0,2.0,0.1,2.0,1.0,1.0,0.9,0.7,0.9,30.0,-1303.0509809027794,106.29108532121222,2925.215427805436,1126.7985397265982
1930,1930.0,1.0,1.0,2.0,0.9,2.0,2.0,0.9,1.0,0.9,0.7,40.0,-1653.0358465656955,63.20979733698361,3460.204153344408,1411.0114789742388
1931,1931.0,1.0,1.0,2.0,0.5,3.0,2.0,0.9,0.7,1.0,0.7,35.0,-1248.4506415729245,70.85427533892505,2656.313434945173,1081.3051775307501
1932,1932.0,1.0,1.0,2.0,0.1,2.0,2.0,0.8,0.8,1.0,0.8,60.0,-211.4857865215921,130.58794234320223,3353.920880484145,1448.6884342069175
1933,1933.0,1.0,1.0,2.0,1.0,3.0,1.0,0.8,0.8,0.9,1.0,55.0,-1221.2769785559437,58.508503492874055,2637.1344804841456,1487.4053213601946
1934,1934.0,1.0,1.0,2.0,0.7,3.0,2.0,0.8,0.7,0.9,0.8,25.0,-1441.0786422681754,41.50495899604326,2491.2854276844,699.6253039681374
1935,1935.0,1.0,1.0,2.0,0.9,3.0,2.0,0.7,0.9,0.7,0.8,45.0,-1113.6283703823594,58.508503492874055,2471.2375260231174,1301.7269662076014
1936,1936.0,1.0,1.0,2.0,0.9,2.0,1.0,0.7,0.7,0.7,0.9,30.0,-1631.4969810730763,41.50495899604326,2578.5873004236273,868.2457399558089
1937,1937.0,1.0,1.0,2.0,0.4,2.0,2.0,0.7,0.9,1.0,0.7,20.0,-1955.728093488175,41.50495899604326,3481.4599260231175,458.85618087677307
1938,1938.0,1.0,1.0,2.0,0.7,3.0,1.0,0.8,0.8,0.7,0.8,25.0,-1478.8233874128161,41.50495899604326,2343.698480484145,699.6253039681374
1939,1939.0,1.0,1.0,2.0,0.5,1.0,2.0,0.7,0.9,0.7,1.0,40.0,-1249.3861806074494,77.9143539830844,3116.420526023117,1424.3355567862263
1940,1940.0,1.0,1.0,2.0,0.2,2.0,1.0,0.9,0.7,0.9,0.8,45.0,-832.8032032926388,130.58794234320223,3022.6569949451728,1864.4246903175942
1941,1941.0,1.0,1.0,2.0,0.1,3.0,1.0,1.0,1.0,0.7,0.9,60.0,-227.26123411425758,130.58794234320223,2672.0166006051813,1577.807456468948
1942,1942.0,1.0,1.0,2.0,0.5,3.0,1.0,1.0,1.0,0.9,1.0,60.0,-820.7967834233563,114.57875446462984,2965.452600605181,2719.4661088044522
1943,1943.0,1.0,1.0,2.0,0.1,1.0,1.0,1.0,0.7,0.7,1.0,25.0,-1549.2525384735065,63.93268598001005,2879.6524422059456,544.5822430951712
1944,1944.0,1.0,1.0,2.0,0.1,1.0,1.0,0.8,0.8,0.7,1.0,60.0,-444.3136552639834,130.58794234320223,2988.881480484145,1706.9264787309778
1945,1945.0,1.0,1.0,2.0,0.8,3.0,1.0,0.8,0.8,0.7,0.9,20.0,-1617.8544527547128,41.50495899604326,2343.698480484145,796.0970528521161
1946,1946.0,1.0,1.0,2.0,0.1,2.0,1.0,0.9,1.0,0.7,1.0,40.0,-956.0961496821751,130.58794234320223,3052.754473344408,1706.9264787309778
1947,1947.0,1.0,1.0,2.0,0.1,2.0,2.0,0.8,0.8,0.9,0.7,30.0,-1256.0645550156046,130.58794234320223,3150.196040484145,1319.5694119448876
1948,1948.0,1.0,1.0,2.0,0.1,1.0,2.0,0.8,0.8,1.0,0.7,30.0,-1581.8567352027178,130.58794234320223,3705.542480484145,1319.5694119448876
1949,1949.0,1.0,1.0,2.0,0.8,1.0,2.0,0.9,1.0,0.8,0.9,35.0,-1916.9146675899685,41.50495899604326,3537.7765933444084,796.0970528521161
1950,1950.0,1.0,1.0,2.0,0.4,2.0,1.0,0.8,0.9,0.7,0.9,20.0,-1767.4086727729557,41.50495899604326,2888.59541328389,507.5023044373451
